Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12
3.7,4.6,5.5,5.9,6.6,7.2,7.8,8.6,,,,
10.4,11.3,11.8,12.7,13.3,14.0,14.6,,,,,
16.4,17.1,17.8,18.5,19.1,19.6,20.1,20.7,21.2,,,
22.6,23.3,23.8,24.3,24.9,25.5,26.0,,,,,
27.1,27.6,28.3,28.9,29.5,30.0,,,,,,
31.2,32.1,32.6,33.2,33.9,34.5,35.1,35.6,36.2,36.7,,
37.7,38.6,39.1,39.6,40.2,40.8,41.4,41.9,,,,
43.0,43.8,44.3,44.8,45.5,46.1,46.6,47.2,47.7,,,
49.3,49.8,50.4,51.0,51.8,52.3,53.0,53.6,54.2,54.9,,
56.4,57.4,58.1,58.8,59.5,60.0,60.5,61.1,61.7,,,
63.1,63.9,64.7,65.2,65.7,66.3,66.9,67.4,68.1,68.7,,
69.8,70.7,71.3,71.8,72.4,72.9,73.4,74.0,74.5,75.5,,
76.5,77.4,78.5,79.2,79.9,80.6,81.3,82.0,82.7,83.3,83.9,84.5
86.0,87.0,87.7,88.3,89.2,89.7,90.3,90.7,,,,
91.4,92.1,92.6,93.2,93.8,94.4,95.0,95.5,,,,
96.2,97.0,97.6,98.1,98.6,99.1,99.7,100.4,100.9,101.4,,
102.4,103.2,103.9,104.5,104.9,105.4,105.9,106.3,106.8,,,
107.8,108.6,109.7,110.8,111.5,112.1,112.7,113.1,113.6,114.3,114.7,115.3
117.0,118.3,119.8,121.3,121.8,122.4,123.0,123.6,,,,
124.6,125.5,126.2,126.9,127.5,128.2,128.8,,,,,
130.4,131.3,131.9,132.5,133.5,134.0,134.6,135.0,135.7,136.5,137.3,
137.8,138.4,139.4,140.3,140.8,,,,,,,
142.0,143.0,143.5,144.1,144.7,145.4,145.9,146.5,147.1,147.7,,
148.4,149.3,149.9,150.4,151.0,151.7,152.2,152.8,,,,
154.0,154.9,155.5,156.1,156.7,157.3,,,,,,
158.5,159.3,159.8,160.2,160.8,,,,,,,
161.9,162.8,163.5,164.2,164.8,165.4,,,,,,
166.5,167.4,168.1,168.5,169.2,169.7,170.4,170.9,171.5,,,
173.0,173.7,174.4,174.8,,,,,,,,
175.9,176.6,177.5,178.0,178.5,,,,,,,
179.2,179.6,,,,,,,,,,
