Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15
3.7,4.3,4.8,5.4,6.0,6.4,8.1,8.3,8.7,9.2,10.1,10.8,11.3,12.1,
13.0,13.7,14.1,14.6,15.2,15.8,16.4,16.9,17.4,17.9,18.4,18.8,19.4,20.0,20.5
21.7,22.4,23.0,23.5,24.1,24.7,25.2,26.0,26.4,,,,,,
26.9,27.4,28.0,28.6,29.0,29.5,29.9,30.5,,,,,,,
31.6,32.1,32.9,33.6,34.2,34.6,35.3,35.9,36.4,36.8,37.4,37.9,38.5,39.2,39.8
41.3,42.0,42.6,43.3,43.8,44.4,45.0,45.4,45.9,46.4,47.0,47.4,48.1,48.8,
49.8,50.4,51.0,51.4,51.8,52.3,52.8,53.3,53.7,54.3,,,,,
55.3,55.9,56.6,57.1,57.6,58.2,58.7,59.3,59.7,60.3,60.8,61.3,62.0,62.7,
63.5,64.4,65.0,65.6,66.0,66.5,67.0,67.5,68.0,68.5,69.0,69.5,,,
70.1,70.6,71.3,71.8,72.2,72.9,73.3,73.9,,,,,,,
75.4,75.9,76.7,77.3,77.8,78.3,78.8,79.4,79.9,80.5,81.1,81.6,82.6,83.3,
84.1,84.9,,,,,,,,,,,,,
85.5,86.1,86.7,87.3,87.9,88.3,88.8,89.4,90.0,,,,,,
90.8,91.5,92.0,92.5,93.1,93.7,94.1,94.6,95.1,95.9,,,,,
96.3,97.0,97.7,98.3,98.9,99.5,100.0,100.7,101.6,,,,,,
102.9,103.6,104.3,105.0,105.6,106.1,106.7,107.2,107.6,108.1,108.9,109.4,110.0,,
111.5,112.2,112.9,113.4,113.9,114.3,114.8,115.3,115.8,116.3,,,,,
117.8,118.7,119.5,120.2,120.8,121.4,122.0,122.6,123.2,123.6,124.1,124.7,125.6,,
126.4,127.1,127.8,128.7,129.3,129.8,130.3,130.8,131.3,131.7,132.5,,,,
133.5,134.2,135.0,135.4,136.1,136.7,137.2,137.8,138.3,,,,,,
139.1,139.6,140.2,140.7,141.2,141.8,142.3,142.8,143.3,143.9,,,,,
144.5,145.3,145.9,146.4,146.9,147.8,148.3,148.8,149.5,150.4,,,,,
151.3,152.0,152.5,153.1,153.7,154.2,155.0,155.4,,,,,,,
156.4,157.1,157.8,158.3,159.0,159.6,160.2,160.8,161.3,,,,,,
161.9,162.4,163.2,163.8,164.6,165.1,165.8,166.2,166.7,167.3,167.8,168.4,168.9,,
169.6,170.4,171.1,171.7,172.3,172.8,173.4,173.9,,,,,,,
174.7,175.3,175.8,176.6,177.2,177.7,178.4,179.1,179.8,,,,,,
