Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23
6.8,10.3,11.2,12.3,13.0,13.7,14.4,15.2,15.9,16.9,,,,,,,,,,,,,
18.7,19.5,20.4,21.1,21.9,22.4,23.0,23.7,24.3,24.9,26.4,26.9,27.9,29.5,,,,,,,,,
33.2,33.9,34.8,35.5,36.7,37.4,38.8,40.5,41.6,42.6,43.4,45.5,,,,,,,,,,,
47.5,48.4,49.0,49.6,50.2,50.9,52.7,53.4,54.4,55.1,55.8,56.4,57.3,58.3,,,,,,,,,
60.9,61.9,62.6,63.3,64.9,65.9,67.1,68.3,69.0,69.9,70.6,72.1,73.0,73.7,74.5,75.4,76.4,77.8,,,,,
83.6,84.4,85.2,86.1,87.5,88.1,88.9,89.5,,,,,,,,,,,,,,,
91.3,93.3,94.2,94.7,95.2,95.8,96.5,97.2,98.3,98.9,101.0,102.1,103.3,104.0,104.8,,,,,,,,
108.0,108.7,109.3,109.8,110.6,111.7,112.5,113.1,114.2,115.8,117.1,117.9,119.7,,,,,,,,,,
122.1,123.3,124.3,125.2,126.0,127.0,127.9,128.7,129.7,130.6,131.3,132.1,133.1,,,,,,,,,,
135.3,137.0,138.2,139.1,139.9,140.8,141.7,142.7,143.7,144.5,145.8,146.9,,,,,,,,,,,
149.4,150.4,151.1,151.8,152.6,153.2,153.9,155.1,155.9,156.9,157.8,160.2,161.9,162.8,164.2,165.5,166.8,168.1,169.2,170.3,171.5,173.3,175.3
178.7,,,,,,,,,,,,,,,,,,,,,,
