Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17
3.2,3.9,4.7,5.1,5.8,6.4,7.0,7.6,,,,,,,,,
8.9,9.5,10.0,10.5,11.1,11.7,12.4,13.5,14.2,15.5,16.2,,,,,,
17.0,17.7,18.8,19.6,20.4,20.9,21.6,,,,,,,,,,
23.6,24.3,24.8,25.4,25.9,26.4,26.8,27.3,27.8,28.3,29.1,29.6,,,,,
30.8,31.3,31.8,32.3,32.9,33.3,33.8,34.3,34.9,36.8,,,,,,,
38.2,38.6,39.1,39.6,40.1,40.6,41.0,41.7,42.3,,,,,,,,
43.2,43.7,44.3,44.9,45.8,46.2,46.9,47.3,47.8,48.3,49.0,49.7,50.5,,,,
51.8,52.5,53.3,53.9,54.5,55.0,55.6,56.1,56.5,57.2,57.6,58.1,58.7,59.3,60.1,61.3,61.9
63.5,64.4,64.9,65.6,66.3,66.9,67.6,68.3,,,,,,,,,
70.2,70.7,71.3,71.8,72.5,73.0,73.5,,,,,,,,,,
75.8,76.4,77.0,77.4,78.0,78.6,79.2,80.0,,,,,,,,,
81.3,81.9,82.5,83.1,83.6,84.2,85.0,85.4,86.0,86.6,87.4,,,,,,
88.9,89.5,90.0,90.6,91.0,91.6,92.1,92.7,93.2,94.0,95.4,,,,,,
97.0,97.7,98.1,98.6,99.1,99.9,,,,,,,,,,,
103.5,104.2,104.8,105.4,106.0,106.5,,,,,,,,,,,
107.7,108.3,109.0,109.7,110.2,110.9,111.5,112.0,,,,,,,,,
114.2,114.9,115.6,116.3,117.0,117.7,118.3,119.1,119.9,,,,,,,,
122.3,122.8,123.3,123.9,124.4,,,,,,,,,,,,
125.2,125.6,126.1,126.7,127.1,,,,,,,,,,,,
127.8,128.5,129.2,129.8,,,,,,,,,,,,,
131.4,131.9,132.4,132.9,133.4,133.9,134.5,135.0,135.5,136.1,136.7,,,,,,
139.3,140.0,140.6,141.0,141.6,142.1,142.6,143.3,143.8,,,,,,,,
145.7,146.6,147.2,147.9,148.3,149.1,150.1,,,,,,,,,,
152.3,153.2,153.8,154.6,155.2,155.7,156.2,156.8,157.3,159.7,160.3,,,,,,
161.9,162.4,162.9,163.6,164.0,164.4,165.0,165.4,166.1,,,,,,,,
168.2,168.8,169.2,169.7,170.1,170.5,171.0,171.5,172.1,172.5,173.6,174.5,,,,,
178.1,178.7,179.3,180.0,,,,,,,,,,,,,
