Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15
5.1,5.9,6.4,7.0,7.5,8.0,8.5,9.1,9.5,10.4,11.3,12.0,,,
13.8,14.6,15.5,16.1,16.7,17.3,18.0,18.6,19.2,19.8,20.6,21.2,,,
23.0,24.5,25.2,25.9,26.8,27.3,27.9,28.5,29.4,29.9,30.6,31.2,32.1,,
34.8,35.5,36.3,37.0,37.6,38.1,38.8,39.5,40.0,40.7,41.2,41.8,42.5,43.1,44.0
46.3,46.9,47.6,48.2,48.8,49.4,50.3,50.9,51.5,52.2,52.9,53.6,54.3,54.9,55.6
57.4,58.0,58.9,59.4,60.0,60.5,61.0,61.5,62.1,62.8,63.4,64.5,,,
66.3,67.0,68.0,68.5,69.5,70.0,70.6,71.4,72.2,73.0,73.8,74.5,75.4,,
77.5,78.3,79.3,79.9,80.6,81.2,82.3,82.9,83.8,84.4,85.0,85.7,86.4,87.1,88.0
89.6,90.3,91.1,91.9,92.6,93.4,94.2,94.8,95.4,96.2,96.8,97.6,98.3,99.0,100.5
101.8,102.5,103.1,103.7,104.4,105.1,105.9,106.8,107.4,108.3,109.6,110.2,111.5,,
113.9,114.7,115.6,116.1,116.7,117.5,117.9,118.6,119.1,119.6,120.4,121.1,122.1,,
124.4,125.3,125.7,126.3,127.1,127.6,128.1,128.7,129.4,130.0,130.4,131.2,,,
133.0,133.9,135.1,136.1,136.8,137.5,138.1,140.4,141.0,141.6,,,,,
144.2,144.9,145.4,145.9,146.4,147.1,147.9,148.5,149.1,149.9,,,,,
152.5,153.4,154.1,154.6,155.2,155.9,156.5,157.2,158.3,,,,,,
161.1,161.9,162.7,163.3,163.9,164.5,165.4,,,,,,,,
167.1,167.9,168.8,169.2,169.8,170.4,171.3,171.9,172.7,176.0,,,,,
177.7,178.7,179.5,,,,,,,,,,,,
