Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28
8.3,9.3,10.4,11.4,12.2,12.7,13.3,13.7,14.2,14.7,15.2,15.7,16.3,16.7,17.5,18.3,19.5,21.3,,,,,,,,,,
23.3,24.0,24.6,25.3,,,,,,,,,,,,,,,,,,,,,,,,
26.4,27.0,27.5,28.2,28.7,29.3,30.0,,,,,,,,,,,,,,,,,,,,,
30.9,31.6,32.2,33.0,33.6,34.0,34.6,35.1,35.7,36.1,36.6,37.2,,,,,,,,,,,,,,,,
39.0,39.7,40.4,41.1,42.0,42.5,,,,,,,,,,,,,,,,,,,,,,
43.3,43.9,44.4,44.9,45.4,46.0,46.6,47.2,47.7,48.3,48.8,49.4,50.2,50.8,,,,,,,,,,,,,,
52.8,53.4,54.1,54.8,,,,,,,,,,,,,,,,,,,,,,,,
55.7,56.3,56.8,,,,,,,,,,,,,,,,,,,,,,,,,
58.4,58.9,59.7,60.3,61.0,,,,,,,,,,,,,,,,,,,,,,,
62.0,62.6,63.1,63.8,64.3,65.0,65.6,66.1,,,,,,,,,,,,,,,,,,,,
67.8,68.3,68.8,69.3,70.0,70.7,71.5,72.1,73.0,73.5,,,,,,,,,,,,,,,,,,
74.0,74.7,75.1,75.7,76.4,77.0,,,,,,,,,,,,,,,,,,,,,,
77.7,78.4,78.8,79.5,80.2,,,,,,,,,,,,,,,,,,,,,,,
81.4,82.0,82.7,83.7,85.0,86.3,87.2,87.9,,,,,,,,,,,,,,,,,,,,
89.1,89.6,90.3,91.0,91.7,92.2,92.8,,,,,,,,,,,,,,,,,,,,,
94.0,94.7,95.3,,,,,,,,,,,,,,,,,,,,,,,,,
96.1,96.7,97.2,97.8,98.5,99.0,99.6,,,,,,,,,,,,,,,,,,,,,
100.7,101.3,102.1,102.5,103.0,103.7,104.3,105.0,105.5,106.1,106.7,107.3,,,,,,,,,,,,,,,,
108.1,108.8,109.4,109.8,110.4,110.9,112.1,,,,,,,,,,,,,,,,,,,,,
112.8,113.6,114.2,114.8,115.4,116.2,116.6,,,,,,,,,,,,,,,,,,,,,
116.9,117.6,118.2,118.7,119.2,119.7,120.3,120.9,121.4,,,,,,,,,,,,,,,,,,,
123.0,123.5,124.1,124.6,125.1,125.6,126.2,126.7,127.2,127.6,,,,,,,,,,,,,,,,,,
128.6,129.3,129.8,130.4,130.9,131.5,132.0,132.6,133.2,133.7,134.4,135.1,,,,,,,,,,,,,,,,
136.2,136.7,137.3,138.0,138.6,139.1,,,,,,,,,,,,,,,,,,,,,,
139.9,140.5,141.1,141.7,,,,,,,,,,,,,,,,,,,,,,,,
142.3,142.9,143.4,143.9,,,,,,,,,,,,,,,,,,,,,,,,
144.5,145.4,146.1,147.0,,,,,,,,,,,,,,,,,,,,,,,,
147.7,148.5,149.1,149.6,,,,,,,,,,,,,,,,,,,,,,,,
150.2,150.9,151.6,152.1,,,,,,,,,,,,,,,,,,,,,,,,
153.3,153.8,154.2,,,,,,,,,,,,,,,,,,,,,,,,,
155.5,156.3,156.9,157.6,158.0,158.4,159.3,159.9,160.4,,,,,,,,,,,,,,,,,,,
161.5,162.3,162.8,163.4,164.1,164.7,165.3,165.9,166.5,167.2,167.8,168.5,169.1,170.5,171.3,171.8,172.5,173.1,173.8,174.3,174.9,175.4,176.2,176.7,177.2,177.8,178.6,179.5
