Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27
5.4,6.2,6.8,7.2,7.8,8.6,9.3,9.7,10.3,10.8,11.4,11.9,12.3,13.1,,,,,,,,,,,,,
14.8,15.5,16.0,16.5,17.0,17.5,18.2,18.7,19.2,19.6,20.2,20.7,21.4,22.0,22.6,23.2,23.7,,,,,,,,,,
25.3,26.1,26.6,27.1,27.5,28.0,28.6,29.4,30.0,30.5,,,,,,,,,,,,,,,,,
33.1,34.2,35.4,36.0,36.5,37.1,37.7,38.3,38.6,39.1,39.7,40.2,40.9,41.6,,,,,,,,,,,,,
44.8,46.1,46.9,47.6,48.4,48.9,49.6,50.2,50.8,51.4,51.9,52.5,53.1,53.7,54.4,54.9,55.4,56.1,56.6,57.2,58.0,,,,,,
59.2,60.5,61.2,61.8,62.4,63.0,63.6,64.2,64.7,65.4,66.0,66.7,67.4,68.0,68.5,69.2,69.9,70.6,71.3,71.8,,,,,,,
73.7,74.6,75.1,75.7,76.3,76.8,77.4,77.9,78.4,78.9,79.3,79.8,80.4,80.9,81.5,,,,,,,,,,,,
83.0,84.7,85.4,86.0,86.6,87.4,88.0,88.6,89.2,89.9,90.4,91.3,91.7,92.1,92.6,93.1,93.6,94.1,94.7,95.4,,,,,,,
96.8,97.7,98.7,99.2,99.8,100.3,101.0,101.6,102.1,102.7,103.4,103.8,104.3,104.8,105.5,106.0,106.5,107.0,107.8,108.4,,,,,,,
110.3,113.4,114.2,114.7,115.3,115.8,116.4,116.9,117.6,118.0,118.5,119.1,119.5,120.1,120.8,,,,,,,,,,,,
122.0,122.4,122.9,123.3,123.7,124.4,124.9,125.4,126.0,126.5,127.1,127.6,128.1,,,,,,,,,,,,,,
130.9,134.1,134.7,135.5,136.3,137.1,137.8,138.6,139.4,140.1,140.7,141.5,142.1,142.6,143.1,,,,,,,,,,,,
144.4,144.9,145.4,145.9,146.5,147.0,147.5,148.1,148.6,149.2,149.7,150.2,150.7,151.2,151.7,,,,,,,,,,,,
153.8,154.5,155.0,155.5,156.1,156.7,157.3,157.9,158.4,159.0,159.6,160.1,160.8,161.2,161.8,162.4,162.9,163.3,163.9,164.3,164.9,165.4,165.9,166.6,167.1,167.6,168.2
169.8,170.7,171.1,171.7,172.2,172.8,173.4,173.8,174.3,175.0,175.6,,,,,,,,,,,,,,,,
178.7,179.4,179.8,,,,,,,,,,,,,,,,,,,,,,,,
