Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18
4.2,5.4,6.2,6.9,7.6,8.1,8.7,9.8,10.5,11.3,,,,,,,,
13.2,13.9,14.6,15.3,15.9,16.6,17.4,18.2,19.4,,,,,,,,,
20.3,21.3,22.0,22.7,23.4,24.0,24.6,25.2,25.9,26.5,27.4,28.2,,,,,,
29.8,30.5,31.1,31.9,32.8,33.8,34.6,35.4,,,,,,,,,,
37.3,38.7,39.4,40.0,40.7,41.4,42.1,42.7,43.5,44.2,44.9,45.7,46.6,,,,,
48.1,49.0,49.8,50.5,51.1,51.8,52.5,53.2,53.8,54.5,55.3,56.0,56.7,,,,,
58.2,58.8,59.4,60.1,60.8,61.5,62.3,63.0,63.8,64.5,65.5,66.1,67.4,68.3,,,,
69.6,71.2,71.9,72.5,73.2,73.8,74.6,75.2,76.0,77.1,78.6,79.1,80.0,80.7,,,,
83.2,84.2,85.1,85.9,86.4,87.1,87.9,88.6,89.3,90.0,90.8,91.6,92.6,93.4,94.3,95.1,,
96.8,98.4,99.7,100.7,101.5,102.3,102.7,103.3,104.1,104.9,105.6,106.3,107.0,107.8,108.4,109.4,110.1,111.3
113.3,114.2,115.1,115.8,116.4,117.1,117.9,118.6,119.2,120.0,120.9,121.6,122.6,,,,,
124.7,125.6,126.3,126.9,127.7,128.7,129.5,,,,,,,,,,,
133.2,134.0,134.9,135.8,136.7,137.5,138.1,138.7,139.7,140.3,141.1,141.9,142.6,143.6,144.5,,,
146.7,148.1,148.8,149.5,150.4,151.3,152.1,153.2,154.1,,,,,,,,,
156.1,157.0,158.0,158.8,159.7,160.6,161.8,162.7,163.8,164.6,165.9,166.6,167.4,168.2,,,,
170.6,171.3,172.3,172.9,173.6,174.4,175.2,176.0,176.8,177.6,178.3,179.0,,,,,,
