Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31,Chew_32,Chew_33,Chew_34,Chew_35,Chew_36,Chew_37
4.8,6.1,6.8,7.6,8.7,9.4,10.0,10.9,12.7,13.5,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6,18.8,19.5,20.2,21.0,21.8,22.4,23.2,24.0,24.7,25.4,26.2,26.9,27.8,28.6,29.5,30.2,30.8,31.5,32.3,33.5,,,,,,,,,,,,,,,,
35.9,36.8,38.3,39.0,39.7,40.5,41.2,41.8,42.5,43.2,44.1,44.8,45.7,46.4,47.5,,,,,,,,,,,,,,,,,,,,,,
51.2,52.4,53.3,54.1,55.0,55.8,56.8,57.5,58.3,59.1,59.7,60.7,61.2,61.9,62.6,63.2,64.0,64.7,65.3,66.0,66.7,67.6,68.7,,,,,,,,,,,,,,
71.2,72.8,74.1,75.3,76.0,76.7,77.4,78.3,78.9,79.6,80.2,81.5,82.2,83.0,83.7,84.7,85.3,86.2,87.1,87.9,,,,,,,,,,,,,,,,,
90.8,91.9,92.7,93.6,94.4,95.2,96.1,96.9,97.6,98.7,99.6,100.9,101.7,102.3,103.2,103.8,104.6,,,,,,,,,,,,,,,,,,,,
106.8,107.9,108.4,109.2,110.3,111.1,111.9,112.9,113.6,114.7,115.4,116.5,,,,,,,,,,,,,,,,,,,,,,,,,
118.8,119.7,120.4,121.2,121.9,122.6,123.4,124.3,125.1,125.9,126.5,127.3,128.1,128.8,,,,,,,,,,,,,,,,,,,,,,,
131.5,132.6,133.2,134.2,135.0,135.6,136.3,137.1,137.7,138.2,139.0,139.8,140.6,141.5,142.4,,,,,,,,,,,,,,,,,,,,,,
144.2,145.0,145.7,146.5,147.3,148.0,148.6,149.4,150.2,151.0,151.9,152.6,153.4,154.2,155.0,155.6,156.4,157.2,158.1,158.7,159.3,159.8,160.4,161.2,162.3,163.3,163.9,165.3,166.1,167.1,168.9,170.4,173.0,174.3,176.2,177.8,179.5
