Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23
3.7,4.5,5.5,6.4,7.0,7.5,8.2,8.7,9.3,10.0,10.7,11.4,12.1,12.6,13.4,14.1,15.0,16.8,17.5,,,,
19.0,20.9,21.6,22.2,22.6,23.1,23.5,24.5,25.0,25.6,26.2,26.9,27.7,28.5,29.0,29.6,30.4,32.3,33.2,,,,
35.2,36.1,36.7,37.1,37.7,38.3,38.9,39.5,40.1,40.9,41.9,,,,,,,,,,,,
46.5,47.3,47.9,48.5,49.1,49.7,50.2,50.7,51.4,51.9,52.6,53.3,,,,,,,,,,,
54.2,55.0,55.5,56.2,56.6,57.3,57.9,58.5,59.1,59.6,60.1,60.7,61.7,62.7,65.2,,,,,,,,
66.9,67.5,68.3,69.1,69.6,70.2,70.8,71.4,72.0,72.5,73.0,73.7,74.3,75.3,76.2,76.8,77.5,78.1,78.7,79.4,80.5,81.5,
84.3,84.9,85.6,86.9,87.6,88.4,89.2,89.9,90.8,91.5,92.2,92.8,93.8,94.4,95.0,96.6,97.6,98.4,102.3,,,,
103.4,104.6,105.1,105.7,106.2,106.8,107.3,107.8,108.4,109.1,109.8,110.6,111.3,112.2,112.8,113.6,114.3,115.1,116.6,,,,
118.6,119.4,119.9,120.4,121.2,121.8,122.4,123.3,123.9,124.5,125.1,125.8,126.3,127.0,128.1,128.7,,,,,,,
132.4,134.4,135.3,136.0,136.9,137.6,138.4,139.3,140.1,141.9,143.1,143.6,144.3,145.0,,,,,,,,,
147.5,148.0,148.6,149.3,150.2,150.7,151.6,152.3,153.3,,,,,,,,,,,,,,
155.5,156.4,156.9,157.5,158.2,158.7,159.3,160.0,160.5,161.1,161.7,162.3,163.1,163.5,164.4,165.1,165.6,166.2,167.1,167.6,168.2,168.9,170.2
171.9,172.7,173.4,174.1,175.1,176.0,176.7,177.3,178.1,179.1,179.7,,,,,,,,,,,,
