Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28
5.5,6.2,6.8,7.3,8.0,8.4,9.0,10.0,10.4,11.0,11.6,12.3,12.8,13.7,14.3,14.7,,,,,,,,,,,,
16.8,17.4,17.9,19.0,19.6,20.1,20.9,21.7,22.5,23.1,23.7,25.6,,,,,,,,,,,,,,,,
28.0,28.6,29.3,29.8,30.3,30.9,31.6,,,,,,,,,,,,,,,,,,,,,
34.6,35.5,36.4,37.1,37.6,38.2,38.8,39.6,40.2,40.7,41.6,42.2,42.7,43.4,,,,,,,,,,,,,,
45.3,46.0,46.7,47.8,48.4,48.8,49.4,50.2,51.2,51.7,52.5,53.0,53.5,54.1,54.7,55.4,56.3,57.0,59.2,,,,,,,,,
63.0,63.6,64.1,64.6,65.4,65.9,66.5,67.0,67.6,68.1,68.9,69.4,70.0,71.1,,,,,,,,,,,,,,
72.8,73.5,74.1,74.6,75.1,75.8,76.4,77.0,77.7,78.4,79.1,79.8,80.5,81.5,82.1,83.1,83.9,85.0,87.0,,,,,,,,,
90.1,91.3,92.0,92.5,93.2,93.7,94.4,95.0,95.6,96.1,96.8,97.7,98.4,99.3,101.2,101.8,,,,,,,,,,,,
105.3,106.2,106.8,107.3,107.9,108.5,109.4,110.1,110.7,111.6,112.5,113.1,113.7,114.4,115.0,115.8,116.7,117.3,118.5,120.1,120.7,121.4,122.5,123.2,125.0,,,
128.2,128.6,129.2,129.8,130.3,130.8,131.3,132.0,132.8,133.6,134.2,134.8,135.6,,,,,,,,,,,,,,,
136.8,137.5,138.0,138.5,139.1,139.7,140.2,140.8,141.4,142.1,142.9,143.7,144.4,145.1,145.8,146.6,149.1,149.5,,,,,,,,,,
151.1,151.9,152.6,153.3,153.9,154.6,155.1,155.7,156.2,156.9,157.7,158.4,159.1,159.7,160.6,161.2,161.8,163.7,167.0,167.9,168.9,171.5,172.6,173.3,176.9,177.8,178.7,179.5
