Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19
6.4,7.3,8.0,9.5,10.4,11.5,12.6,13.6,14.4,15.1,16.0,16.7,,,,,,,
21.1,22.2,22.9,23.6,24.2,25.9,27.4,28.5,29.2,29.9,30.5,31.3,32.7,33.3,33.9,35.0,35.7,38.6,
40.8,42.2,43.1,43.7,45.4,46.1,47.0,47.6,,,,,,,,,,,
49.7,50.5,51.1,52.5,53.1,53.8,55.1,56.0,,,,,,,,,,,
61.1,61.9,62.9,63.8,64.7,65.4,,,,,,,,,,,,,
68.4,69.4,70.4,71.6,72.4,73.3,74.6,75.2,76.1,76.6,77.6,78.9,79.5,80.5,,,,,
85.5,86.1,86.9,87.8,89.4,90.0,90.7,91.4,92.2,,,,,,,,,,
96.1,96.9,97.5,98.3,99.3,,,,,,,,,,,,,,
100.4,102.0,102.8,103.6,104.6,,,,,,,,,,,,,,
106.9,107.6,108.4,109.0,110.1,111.9,112.5,113.0,113.8,114.4,115.1,116.5,,,,,,,
119.4,120.1,120.8,121.9,123.4,124.2,124.9,125.8,126.5,127.5,128.2,129.3,,,,,,,
136.4,137.1,137.9,138.5,139.3,140.7,142.2,142.7,143.7,144.3,145.1,145.8,146.6,147.6,148.4,149.4,150.5,151.5,152.9
158.5,159.2,160.3,161.4,163.3,164.4,165.0,165.6,166.6,167.3,168.3,169.3,170.3,,,,,,
175.3,176.3,177.0,177.9,178.4,179.2,,,,,,,,,,,,,
