Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15
3.0,3.5,4.0,4.6,5.0,5.6,6.1,6.6,7.2,7.9,8.4,,,,
10.0,10.6,11.0,11.5,12.0,12.6,13.2,13.7,14.5,15.1,,,,,
17.3,18.0,18.6,19.2,19.6,20.2,20.7,21.2,21.7,22.4,23.4,,,,
25.4,26.1,26.6,27.0,27.5,28.0,28.6,29.1,29.5,30.1,30.6,31.2,31.7,,
33.8,34.7,35.2,35.8,36.4,37.1,37.7,38.2,39.0,39.5,40.3,41.3,41.9,,
43.2,44.0,44.5,44.9,45.6,46.1,46.6,47.1,47.7,48.4,49.0,50.1,,,
51.6,52.2,52.7,53.3,53.9,54.5,55.0,55.6,56.4,56.8,57.6,,,,
59.6,60.2,60.7,61.6,62.1,62.8,63.8,64.6,,,,,,,
66.3,66.9,67.7,68.2,68.9,70.0,70.5,71.2,71.8,72.5,73.9,,,,
76.4,77.2,77.7,78.2,78.7,79.2,79.7,80.2,80.9,81.5,82.1,83.0,,,
84.3,84.8,85.2,85.8,86.4,87.0,87.5,88.2,88.6,89.1,89.9,,,,
92.5,92.9,93.8,94.5,94.9,95.4,96.1,96.7,97.2,98.0,98.5,,,,
101.5,102.2,102.9,103.4,104.1,104.7,105.4,105.9,106.5,107.1,107.6,108.1,108.8,109.4,110.4
112.4,112.9,113.5,114.0,114.6,115.0,115.7,116.2,116.6,117.2,117.9,118.9,119.8,120.9,122.7
123.7,124.4,125.3,126.1,126.7,127.4,128.0,128.8,,,,,,,
130.2,131.0,131.9,132.5,133.0,133.5,134.0,134.5,135.0,135.5,136.1,,,,
138.8,139.2,139.6,140.0,140.7,141.1,141.8,142.5,143.1,143.6,144.3,145.4,,,
146.4,147.1,147.9,148.5,149.0,149.6,150.2,150.7,151.5,152.7,,,,,
155.5,155.9,156.4,156.9,157.2,158.1,158.6,159.7,160.6,,,,,,
162.4,163.3,164.2,164.7,165.2,165.7,166.3,166.8,167.3,168.0,168.5,169.4,170.6,172.2,
173.6,174.2,175.0,175.4,175.8,176.3,176.8,177.6,178.0,178.5,179.0,179.6,,,
