Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14
3.3,4.1,4.5,5.0,5.4,6.0,6.4,6.9,7.4,8.0,8.5,9.2,,
10.3,10.8,11.5,12.1,12.6,13.1,13.6,14.2,14.8,15.4,16.1,,,
17.5,18.2,18.9,19.5,20.1,20.7,21.3,22.0,22.6,,,,,
23.5,24.0,24.6,25.1,25.5,26.1,26.6,27.1,27.8,28.4,29.1,,,
30.4,30.9,31.5,31.9,32.4,32.9,33.4,34.0,34.7,,,,,
35.5,36.1,36.6,37.0,37.4,37.9,38.3,39.0,,,,,,
41.3,42.2,42.8,43.3,43.8,44.7,45.1,45.5,45.9,46.4,47.0,47.5,48.1,
49.1,49.5,50.0,50.5,50.8,51.4,51.8,52.5,53.1,53.6,,,,
55.9,56.2,57.0,57.8,58.3,59.2,59.7,60.2,60.7,61.3,61.8,,,
63.8,64.6,65.3,66.7,67.4,67.8,68.3,68.9,69.6,70.1,70.8,,,
72.7,73.5,73.9,74.4,74.9,75.3,75.8,76.2,77.0,77.5,78.1,78.7,,
80.6,81.4,81.9,82.4,82.8,83.2,83.8,84.7,85.7,87.1,,,,
88.4,89.5,90.4,91.1,91.5,92.0,92.7,93.2,93.8,94.5,95.1,95.7,,
97.4,97.9,98.4,98.8,99.4,99.9,100.4,101.0,101.7,102.2,102.7,103.3,,
105.1,106.0,106.7,107.5,108.1,109.0,109.6,110.3,110.9,111.5,112.1,,,
113.9,114.8,115.5,116.1,116.9,117.5,118.0,118.6,119.1,119.7,120.2,,,
122.1,122.8,123.7,124.1,124.7,125.3,125.8,126.2,126.8,127.4,127.9,128.5,129.1,129.7
131.8,133.0,134.8,135.6,136.6,137.2,137.7,138.4,139.0,139.6,140.2,140.8,141.9,142.5
144.3,145.4,145.9,146.4,147.0,147.6,148.2,148.7,149.3,150.2,150.9,151.6,,
153.6,154.3,154.8,155.6,156.2,156.8,157.4,158.0,158.5,159.1,159.7,160.6,,
162.9,163.4,164.0,164.6,165.2,165.8,166.1,166.6,167.2,167.7,168.7,,,
169.8,170.5,171.1,171.9,172.5,172.9,173.5,174.1,174.7,175.3,176.1,,,
177.5,178.1,178.6,179.1,179.7,,,,,,,,,
