Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31,Chew_32
4.4,5.1,5.6,6.0,6.7,7.4,8.0,8.4,9.3,9.7,10.3,11.0,11.5,12.1,12.7,13.3,13.7,14.5,15.3,16.0,16.6,17.2,,,,,,,,,,
19.9,20.8,21.2,21.7,22.2,22.8,23.4,23.9,24.4,25.1,25.6,26.2,26.8,,,,,,,,,,,,,,,,,,,
27.7,28.5,29.0,29.7,30.2,30.5,31.1,31.7,32.2,32.8,33.5,34.1,34.6,35.2,35.8,36.8,37.4,38.1,,,,,,,,,,,,,,
38.9,39.5,40.3,40.8,41.4,41.9,42.5,43.1,43.7,44.4,44.9,45.5,46.1,46.6,47.2,47.8,48.9,,,,,,,,,,,,,,,
50.8,51.4,52.1,52.6,53.3,53.9,54.5,55.1,55.6,56.1,56.6,57.3,57.7,58.4,58.9,59.5,60.1,61.4,62.1,62.6,63.2,,,,,,,,,,,
64.6,65.5,66.1,66.9,67.5,68.2,68.8,69.5,70.0,70.6,71.3,71.8,72.3,73.0,73.7,74.6,75.5,,,,,,,,,,,,,,,
76.9,77.7,78.5,79.2,79.8,80.3,80.8,81.4,82.0,82.6,83.1,83.7,84.2,84.8,85.4,86.0,86.6,87.5,88.1,89.1,89.7,90.2,90.8,91.3,91.9,92.7,93.3,,,,,
95.9,96.5,97.0,98.3,98.7,99.2,99.9,100.4,100.9,101.4,102.0,102.6,103.2,103.9,104.5,105.1,106.5,107.8,108.2,109.2,110.2,110.8,111.7,112.8,113.4,,,,,,,
115.2,115.9,116.3,116.9,117.4,118.2,118.8,119.4,120.0,120.5,121.1,121.6,122.2,122.7,123.3,124.0,125.1,126.9,127.4,128.0,128.8,129.5,132.7,133.3,134.3,135.2,136.1,136.7,137.3,138.3,138.8,140.1
142.4,143.1,143.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.5,145.4,145.9,146.7,147.1,147.8,148.4,149.1,149.6,150.2,150.7,151.4,152.1,152.7,153.4,153.9,155.2,155.8,157.4,158.0,158.6,159.0,160.0,161.0,161.9,162.8,163.6,166.1,167.5,168.2,168.9,
173.1,173.4,173.8,174.6,175.0,175.6,176.5,176.9,177.5,178.2,178.6,179.4,179.9,,,,,,,,,,,,,,,,,,,
