Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17
2.6,3.7,4.3,5.0,6.4,7.0,7.5,7.9,8.5,9.5,10.1,10.8,11.2,11.6,12.3,13.5,14.2
16.8,17.4,18.0,18.3,19.0,19.6,20.1,20.7,21.3,21.8,22.5,,,,,,
24.3,24.8,25.7,26.3,26.9,27.5,28.2,28.8,29.5,30.0,30.7,31.9,,,,,
34.1,35.1,35.9,36.3,36.9,37.3,37.8,38.6,39.6,,,,,,,,
40.8,41.7,42.2,42.6,43.0,43.5,44.0,44.4,45.1,,,,,,,,
46.4,47.1,47.6,48.1,48.7,49.2,49.8,,,,,,,,,,
52.0,52.6,53.2,53.9,54.8,55.4,55.8,56.4,57.2,58.0,,,,,,,
60.0,60.6,61.1,61.5,62.2,62.7,63.2,63.9,64.6,65.1,65.8,,,,,,
67.6,69.2,70.1,70.7,71.4,72.1,72.6,73.1,73.7,74.2,74.8,75.4,,,,,
78.3,79.0,79.9,81.0,81.5,82.0,82.6,83.4,83.9,84.4,85.0,85.5,86.2,,,,
88.9,89.4,89.7,90.4,91.0,91.6,92.6,93.0,93.7,94.5,95.2,,,,,,
97.4,98.1,98.9,100.1,100.8,102.1,103.3,104.3,105.0,105.7,,,,,,,
109.3,110.0,110.7,111.4,111.8,112.4,113.3,114.6,115.4,,,,,,,,
118.2,119.1,119.7,120.3,120.8,121.4,121.8,122.3,123.0,123.7,124.4,125.6,,,,,
127.2,128.3,128.8,130.2,130.8,131.3,131.8,,,,,,,,,,
133.5,134.1,134.7,135.3,135.9,136.5,137.0,137.7,,,,,,,,,
139.2,139.8,140.4,141.1,141.7,142.5,,,,,,,,,,,
143.8,144.4,145.0,145.7,146.3,146.9,147.5,148.4,149.0,149.5,150.7,151.4,,,,,
153.0,153.6,154.3,154.9,155.6,156.2,156.8,157.3,158.0,158.5,,,,,,,
160.3,160.9,161.7,162.1,162.6,163.2,163.7,164.5,165.0,165.5,,,,,,,
166.8,167.4,168.1,168.8,169.4,169.9,170.4,171.0,172.0,,,,,,,,
174.0,174.8,175.3,175.9,176.6,177.1,177.7,178.8,179.3,179.8,,,,,,,
