Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20
4.7,5.3,5.8,6.2,6.6,7.0,7.5,7.9,,,,,,,,,,,,
8.6,9.0,9.5,9.9,11.1,11.3,,,,,,,,,,,,,,
11.7,12.3,12.7,13.3,13.6,14.2,14.6,15.1,15.6,16.3,,,,,,,,,,
17.4,18.4,18.9,19.4,19.9,20.6,21.1,21.6,22.5,23.4,24.1,24.6,25.1,25.9,26.4,27.1,28.4,29.0,29.5,
31.9,33.0,33.7,34.1,34.4,35.0,35.5,36.3,40.2,41.3,43.1,44.1,45.0,,,,,,,
50.7,51.4,52.2,53.1,53.5,54.2,54.7,55.4,55.9,56.7,57.8,58.4,59.5,60.0,60.6,61.3,62.4,64.2,65.0,66.3
67.0,68.0,68.7,69.2,69.8,70.7,71.4,72.1,72.6,73.5,74.3,74.9,75.6,78.7,83.4,86.0,90.6,,,
109.6,110.8,111.4,112.0,112.6,113.0,113.5,113.9,114.5,114.9,116.2,117.0,117.7,,,,,,,
120.0,120.4,120.9,121.5,122.1,,,,,,,,,,,,,,,
123.5,124.6,125.1,125.9,,,,,,,,,,,,,,,,
126.5,128.0,128.8,129.4,130.6,132.1,133.0,133.8,135.1,136.1,137.1,139.0,,,,,,,,
142.3,143.9,144.8,147.4,148.7,150.0,151.6,152.5,153.0,154.0,154.9,156.2,157.3,158.7,162.5,163.8,165.8,169.6,170.3,
