Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29
4.6,6.9,7.8,8.5,9.3,,,,,,,,,,,,,,,,,,,,,,,,
10.1,11.7,12.5,13.2,13.9,15.1,15.8,16.5,17.4,19.1,,,,,,,,,,,,,,,,,,,
20.5,21.8,22.7,23.7,24.5,25.5,26.4,31.2,,,,,,,,,,,,,,,,,,,,,
34.1,35.4,36.0,36.6,37.2,37.7,38.4,39.0,40.7,41.5,42.3,43.5,45.4,46.2,47.6,,,,,,,,,,,,,,
49.3,50.0,50.8,51.4,52.1,52.6,53.4,53.9,54.9,55.9,57.0,58.3,60.7,63.2,64.1,65.1,,,,,,,,,,,,,
72.3,73.4,75.1,76.2,78.1,82.6,85.0,89.2,90.6,91.6,92.7,,,,,,,,,,,,,,,,,,
97.0,98.3,99.2,99.9,101.2,102.1,103.1,103.9,105.1,105.9,106.8,107.5,108.3,109.3,110.5,111.2,,,,,,,,,,,,,
113.4,114.1,114.9,115.7,116.4,116.9,117.7,118.4,118.9,119.6,120.5,121.2,122.5,123.5,124.5,125.4,126.3,127.5,128.3,129.7,131.7,132.7,133.8,134.9,136.0,137.0,138.6,,
142.4,143.3,144.1,145.0,146.0,146.6,147.4,147.8,148.4,149.1,150.1,151.0,151.6,152.3,153.0,153.9,154.9,155.7,157.9,159.2,160.2,162.0,163.3,164.8,167.0,168.0,168.9,171.3,173.2
175.8,177.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
