Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25
4.7,5.6,6.3,7.1,7.6,8.3,9.0,9.3,9.8,10.3,11.2,11.8,12.3,13.0,13.7,,,,,,,,,,
15.4,16.0,16.6,17.1,17.7,18.3,19.2,19.7,20.3,21.0,21.6,22.0,23.0,23.6,,,,,,,,,,,
25.0,25.8,26.5,27.1,27.8,28.7,29.2,29.6,30.3,30.9,31.6,32.3,32.9,33.4,34.0,34.7,35.3,36.0,,,,,,,
36.6,37.2,37.9,38.6,39.4,40.0,40.8,41.3,42.0,42.7,43.3,43.9,44.4,45.1,45.7,46.4,47.0,,,,,,,,
48.1,48.7,50.0,50.5,51.4,52.0,52.7,53.5,54.0,54.5,55.2,55.7,56.4,57.2,57.8,,,,,,,,,,
59.4,60.3,60.9,61.4,61.9,62.5,63.1,63.8,64.4,65.2,65.7,66.3,67.3,67.9,68.4,69.0,69.5,70.3,,,,,,,
71.4,72.1,72.6,73.4,74.1,74.7,75.3,75.9,77.0,77.6,78.1,78.7,79.3,79.9,80.7,81.3,82.0,82.9,83.9,,,,,,
85.0,85.9,87.0,87.6,88.1,88.7,89.3,89.9,90.4,91.1,91.7,92.3,92.9,93.4,94.0,94.7,95.2,95.8,96.4,97.0,97.8,,,,
98.8,99.4,100.0,100.5,101.0,101.5,102.1,102.6,103.4,104.0,104.6,105.3,105.8,106.6,107.3,108.0,108.7,109.7,110.3,111.0,,,,,
112.8,113.5,114.1,114.8,115.4,116.0,116.7,117.3,117.8,118.5,119.1,119.6,120.1,120.9,121.5,,,,,,,,,,
123.9,124.9,125.4,126.1,126.8,127.4,128.5,129.3,130.0,130.9,131.5,132.2,132.8,133.5,134.4,134.9,135.5,136.1,136.7,137.4,,,,,
140.4,142.1,143.0,143.8,144.3,144.9,145.5,146.3,147.1,147.6,148.2,148.8,149.6,150.1,150.8,151.5,152.2,152.8,153.5,154.5,155.3,156.2,156.8,157.6,159.8
161.8,162.5,163.4,164.0,164.7,165.5,166.4,167.2,167.8,168.4,169.1,170.1,170.7,171.3,172.1,172.9,173.7,,,,,,,,
176.4,177.3,,,,,,,,,,,,,,,,,,,,,,,
178.5,179.3,179.9,,,,,,,,,,,,,,,,,,,,,,
