Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22
2.9,3.8,4.5,5.5,6.1,6.6,7.2,7.9,8.6,9.3,9.9,10.5,11.2,,,,,,,,,
12.2,12.9,13.6,14.6,15.3,15.9,16.4,16.9,17.5,18.2,18.9,19.5,20.1,20.7,21.4,22.0,22.6,23.4,23.9,24.3,25.0,25.4
26.3,26.9,27.4,27.8,28.4,28.9,29.6,30.2,30.8,31.5,32.0,32.7,,,,,,,,,,
33.8,34.6,35.3,35.9,37.0,37.9,38.6,39.3,39.8,40.3,40.9,41.6,42.2,42.8,43.5,43.9,44.5,45.0,45.6,,,
47.0,48.0,48.6,49.7,50.5,51.2,52.0,52.5,53.2,53.6,54.1,54.8,55.4,56.0,56.5,57.5,58.0,58.6,59.3,,,
61.1,62.2,62.8,63.5,64.5,65.1,65.7,66.4,67.0,67.6,68.4,69.2,69.8,70.7,,,,,,,,
72.4,73.4,74.2,74.9,75.6,76.2,76.9,77.6,78.4,79.1,79.7,,,,,,,,,,,
82.4,83.3,84.2,84.9,85.6,86.1,86.8,87.8,88.5,89.2,90.0,90.9,91.7,93.5,93.8,,,,,,,
94.4,95.1,96.3,96.8,97.3,97.9,99.0,99.5,100.4,101.3,,,,,,,,,,,,
103.6,104.4,105.1,106.2,106.8,107.5,108.2,108.9,109.5,110.4,110.9,111.5,112.3,113.1,,,,,,,,
114.9,115.7,116.3,116.9,117.5,118.3,118.8,119.4,120.3,121.0,122.0,,,,,,,,,,,
123.3,123.9,125.0,125.7,126.3,126.9,127.6,128.6,129.2,130.2,131.0,131.6,132.6,134.0,,,,,,,,
135.0,135.8,136.5,137.4,138.0,138.6,139.5,140.1,140.8,141.5,142.2,142.6,143.4,143.8,144.4,145.1,,,,,,
146.0,146.9,147.7,148.3,149.2,149.8,150.3,150.9,151.4,151.8,152.5,153.3,,,,,,,,,,
154.4,155.3,155.9,156.5,157.2,158.0,158.8,159.5,160.1,160.7,,,,,,,,,,,,
162.2,162.9,163.9,164.5,165.2,165.9,166.4,167.0,167.7,168.6,169.5,170.1,170.9,,,,,,,,,
171.5,172.4,173.2,174.0,174.6,175.2,176.0,177.0,177.5,178.7,179.5,,,,,,,,,,,
