Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23
5.1,5.7,6.5,7.6,8.2,9.0,9.6,10.3,10.9,11.6,12.2,12.9,13.7,14.3,15.0,15.9,16.4,17.0,17.7,18.4,19.3,,
20.8,21.5,22.1,22.9,23.6,24.2,24.9,25.6,26.3,26.9,27.4,28.2,29.0,29.8,30.4,30.9,,,,,,,
32.6,33.7,34.7,35.4,36.1,36.7,37.4,37.9,38.6,39.1,39.8,40.3,41.0,41.6,42.1,42.6,43.3,,,,,,
44.9,45.6,46.7,47.5,48.0,48.8,49.6,50.2,50.8,51.5,52.1,52.8,53.4,54.0,54.7,55.4,56.1,56.8,57.6,58.2,59.1,60.0,
62.1,63.5,64.2,64.8,65.5,66.2,66.8,67.5,68.1,68.8,69.2,70.0,70.6,71.1,71.9,72.4,73.1,73.7,74.3,74.9,75.4,76.1,
77.9,78.6,79.5,80.3,81.0,81.7,82.5,83.2,83.8,84.3,84.9,85.4,86.2,86.8,87.5,88.2,,,,,,,
90.0,90.8,92.0,92.7,93.5,94.1,94.8,95.4,96.0,96.5,97.4,97.9,98.6,99.2,99.9,100.8,,,,,,,
103.0,103.8,104.5,105.2,105.9,106.4,107.1,107.6,108.3,108.9,109.5,110.1,110.9,111.6,112.1,112.8,,,,,,,
114.6,115.4,116.1,116.8,117.6,118.4,119.0,119.7,120.3,121.1,121.9,122.5,123.1,123.7,124.3,125.1,125.7,126.3,127.0,127.6,128.2,129.2,129.9
133.1,133.9,134.7,135.3,136.1,137.0,137.6,138.7,139.3,139.8,140.3,141.0,141.6,142.4,142.9,143.6,144.3,144.9,145.6,,,,
147.3,148.0,148.9,149.6,150.3,150.9,151.6,152.2,152.8,153.5,154.4,155.2,,,,,,,,,,,
157.5,158.1,158.7,159.4,160.0,160.7,161.5,162.3,163.1,163.8,,,,,,,,,,,,,
165.2,165.8,166.9,167.8,168.5,169.2,169.8,170.6,171.4,172.2,172.9,173.6,174.3,174.9,175.6,176.8,,,,,,,
178.4,179.1,179.9,,,,,,,,,,,,,,,,,,,,
