Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21
3.1,4.0,4.6,5.1,5.5,6.0,6.4,7.0,7.5,8.0,,,,,,,,,,,
9.1,9.6,10.2,10.7,11.3,11.7,12.3,12.9,13.5,14.0,,,,,,,,,,,
15.9,16.7,17.3,17.8,18.3,18.8,19.3,20.0,20.5,,,,,,,,,,,,
21.2,21.9,22.4,22.9,,,,,,,,,,,,,,,,,
24.0,24.5,25.2,25.9,26.7,,,,,,,,,,,,,,,,
27.9,28.4,29.1,,,,,,,,,,,,,,,,,,
30.3,31.0,31.6,,,,,,,,,,,,,,,,,,
32.6,33.2,33.8,34.3,34.8,35.4,36.0,36.7,,,,,,,,,,,,,
38.3,39.0,39.8,40.4,40.9,41.6,42.0,42.6,,,,,,,,,,,,,
44.1,44.7,45.3,45.8,,,,,,,,,,,,,,,,,
46.4,47.2,47.7,48.3,48.8,49.2,49.8,50.5,50.9,51.5,52.2,52.9,,,,,,,,,
54.7,56.7,57.4,57.8,58.4,59.0,59.4,59.9,60.4,61.1,61.5,62.2,62.9,63.5,,,,,,,
66.0,67.0,67.6,68.1,68.7,69.2,,,,,,,,,,,,,,,
70.3,70.9,,,,,,,,,,,,,,,,,,,
72.4,73.1,,,,,,,,,,,,,,,,,,,
74.6,75.3,75.8,76.3,,,,,,,,,,,,,,,,,
77.5,78.1,78.8,79.3,,,,,,,,,,,,,,,,,
80.7,81.5,82.4,,,,,,,,,,,,,,,,,,
83.6,84.4,85.5,86.1,86.6,,,,,,,,,,,,,,,,
87.7,88.4,89.0,89.4,,,,,,,,,,,,,,,,,
91.3,92.2,93.1,93.7,,,,,,,,,,,,,,,,,
95.4,96.3,97.3,98.0,98.9,100.0,100.6,101.1,101.7,102.6,103.1,103.7,104.8,,,,,,,,
106.4,107.5,108.0,108.6,,,,,,,,,,,,,,,,,
109.4,110.1,,,,,,,,,,,,,,,,,,,
110.9,111.6,112.2,,,,,,,,,,,,,,,,,,
113.5,114.2,115.1,,,,,,,,,,,,,,,,,,
115.8,116.5,,,,,,,,,,,,,,,,,,,
117.3,118.1,,,,,,,,,,,,,,,,,,,
119.4,120.0,120.8,,,,,,,,,,,,,,,,,,
121.8,122.6,123.4,124.4,,,,,,,,,,,,,,,,,
125.5,126.2,,,,,,,,,,,,,,,,,,,
127.1,127.9,,,,,,,,,,,,,,,,,,,
128.6,129.4,,,,,,,,,,,,,,,,,,,
130.7,132.1,,,,,,,,,,,,,,,,,,,
133.1,,,,,,,,,,,,,,,,,,,,
137.8,138.1,,,,,,,,,,,,,,,,,,,
139.2,140.3,141.8,142.6,143.3,,,,,,,,,,,,,,,,
144.6,145.9,146.7,,,,,,,,,,,,,,,,,,
148.1,148.9,149.6,150.7,151.7,152.6,,,,,,,,,,,,,,,
154.4,157.9,158.5,159.3,160.3,161.4,162.1,162.8,163.9,164.8,165.8,167.5,170.2,171.4,172.4,174.3,175.4,176.3,177.3,178.6,179.3
