Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26
2.9,3.6,3.9,4.3,4.7,5.3,5.7,6.2,,,,,,,,,,,,,,,,,,
7.6,8.1,8.6,9.1,9.6,10.0,10.4,10.9,11.5,12.3,,,,,,,,,,,,,,,,
13.3,13.9,14.4,14.9,15.3,15.7,16.1,16.6,17.1,17.9,,,,,,,,,,,,,,,,
18.4,19.0,19.5,20.0,20.4,21.0,21.5,21.9,22.5,23.6,,,,,,,,,,,,,,,,
25.1,25.6,25.9,26.4,26.8,27.4,27.7,28.2,,,,,,,,,,,,,,,,,,
29.5,30.2,30.7,,,,,,,,,,,,,,,,,,,,,,,
31.5,32.2,32.7,33.2,33.7,34.3,34.8,35.5,,,,,,,,,,,,,,,,,,
36.5,37.2,37.6,38.1,38.8,,,,,,,,,,,,,,,,,,,,,
40.8,41.6,42.3,42.8,,,,,,,,,,,,,,,,,,,,,,
43.7,44.5,44.9,45.5,46.1,46.5,47.0,,,,,,,,,,,,,,,,,,,
48.8,49.4,49.9,50.4,51.0,,,,,,,,,,,,,,,,,,,,,
52.3,52.9,53.5,54.0,54.5,55.1,55.6,56.2,,,,,,,,,,,,,,,,,,
57.5,58.5,59.3,59.9,60.4,60.9,61.4,,,,,,,,,,,,,,,,,,,
62.9,63.5,64.1,64.6,65.1,65.7,66.4,66.9,67.3,,,,,,,,,,,,,,,,,
68.4,68.9,69.5,70.1,70.7,,,,,,,,,,,,,,,,,,,,,
71.8,72.5,,,,,,,,,,,,,,,,,,,,,,,,
73.8,74.4,75.1,,,,,,,,,,,,,,,,,,,,,,,
75.8,76.5,77.2,77.7,78.4,79.7,80.6,81.2,,,,,,,,,,,,,,,,,,
83.0,83.8,84.5,85.1,,,,,,,,,,,,,,,,,,,,,,
86.4,87.0,,,,,,,,,,,,,,,,,,,,,,,,
88.2,89.2,90.2,90.7,,,,,,,,,,,,,,,,,,,,,,
92.6,93.2,94.0,,,,,,,,,,,,,,,,,,,,,,,
94.8,95.3,97.2,97.7,,,,,,,,,,,,,,,,,,,,,,
98.8,99.3,99.9,100.6,,,,,,,,,,,,,,,,,,,,,,
101.5,102.2,103.0,103.5,104.0,104.4,104.9,105.5,,,,,,,,,,,,,,,,,,
107.4,107.9,,,,,,,,,,,,,,,,,,,,,,,,
109.3,110.6,111.2,,,,,,,,,,,,,,,,,,,,,,,
112.5,113.3,113.8,114.4,114.9,115.4,,,,,,,,,,,,,,,,,,,,
116.6,117.3,117.9,118.4,,,,,,,,,,,,,,,,,,,,,,
119.6,120.3,120.8,,,,,,,,,,,,,,,,,,,,,,,
121.9,122.6,123.1,,,,,,,,,,,,,,,,,,,,,,,
124.3,125.0,126.1,,,,,,,,,,,,,,,,,,,,,,,
126.8,127.5,128.0,128.6,,,,,,,,,,,,,,,,,,,,,,
130.1,130.7,131.1,,,,,,,,,,,,,,,,,,,,,,,
132.1,132.8,133.4,,,,,,,,,,,,,,,,,,,,,,,
134.4,135.2,136.0,,,,,,,,,,,,,,,,,,,,,,,
137.5,138.3,138.9,,,,,,,,,,,,,,,,,,,,,,,
139.9,140.8,141.4,,,,,,,,,,,,,,,,,,,,,,,
142.4,142.9,143.5,144.4,,,,,,,,,,,,,,,,,,,,,,
145.5,146.1,,,,,,,,,,,,,,,,,,,,,,,,
147.5,148.4,,,,,,,,,,,,,,,,,,,,,,,,
149.8,150.5,,,,,,,,,,,,,,,,,,,,,,,,
151.9,153.2,,,,,,,,,,,,,,,,,,,,,,,,
154.0,155.0,,,,,,,,,,,,,,,,,,,,,,,,
159.5,160.2,160.8,161.4,162.1,162.9,163.5,164.0,164.6,165.2,165.9,166.6,167.4,168.7,170.0,171.4,172.3,173.1,173.8,174.8,176.1,176.9,177.6,178.2,178.9,179.8
