Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28
6.0,7.4,8.5,9.4,9.9,10.5,11.2,12.3,13.1,,,,,,,,,,,,,,,,,,,
14.3,15.3,15.8,16.5,17.1,17.8,18.5,19.2,19.7,20.4,21.3,21.9,23.1,23.9,,,,,,,,,,,,,,
26.4,27.1,27.7,28.3,29.0,29.7,30.4,31.0,31.6,32.2,33.0,33.5,34.2,35.1,36.1,38.7,,,,,,,,,,,,
41.3,42.1,42.7,43.4,44.1,44.7,,,,,,,,,,,,,,,,,,,,,,
46.4,47.1,47.6,48.3,49.1,49.7,50.7,51.5,,,,,,,,,,,,,,,,,,,,
54.6,55.4,56.0,56.7,57.3,57.8,58.6,59.2,59.9,60.8,61.7,,,,,,,,,,,,,,,,,
63.2,64.8,65.6,66.3,66.9,67.5,68.4,69.1,,,,,,,,,,,,,,,,,,,,
70.6,71.6,72.3,72.9,73.5,74.2,74.8,75.4,76.1,76.7,77.6,78.8,80.8,82.3,84.5,85.7,86.4,87.1,88.3,89.4,94.1,,,,,,,
95.6,96.5,97.3,98.2,99.0,99.6,100.6,101.2,101.9,102.5,103.4,104.2,105.2,106.1,106.9,107.6,108.6,110.2,111.7,112.5,114.2,116.3,117.8,119.9,121.4,129.7,131.3,135.4
140.4,141.4,142.2,142.7,143.3,144.2,145.1,145.6,146.5,147.2,148.1,148.9,150.7,152.2,152.9,153.9,,,,,,,,,,,,
155.9,157.3,157.9,158.9,159.6,160.4,161.6,162.4,163.2,164.0,164.6,165.4,166.8,167.9,169.3,170.5,,,,,,,,,,,,
175.3,176.3,177.4,177.9,178.6,179.2,,,,,,,,,,,,,,,,,,,,,,
