Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31,Chew_32,Chew_33,Chew_34,Chew_35,Chew_36,Chew_37,Chew_38,Chew_39
5.0,5.9,6.4,6.9,7.7,8.1,8.8,9.2,9.9,10.3,10.9,11.3,11.8,12.3,12.9,13.4,14.0,14.6,,,,,,,,,,,,,,,,,,,,,
16.2,16.8,17.2,18.0,18.4,19.0,19.5,20.0,20.5,21.1,21.6,22.1,23.0,23.7,24.2,25.0,25.6,26.5,27.2,,,,,,,,,,,,,,,,,,,,
29.5,30.4,31.0,31.7,32.1,32.7,33.2,33.8,34.3,34.8,35.4,36.0,36.4,37.1,37.6,38.2,38.7,39.2,39.7,40.4,41.1,41.9,,,,,,,,,,,,,,,,,
45.1,46.0,46.7,47.3,47.9,48.3,48.7,49.2,49.7,50.2,50.7,51.4,51.8,52.4,52.9,53.4,54.0,54.7,55.7,55.9,56.5,57.0,57.5,58.1,59.0,59.7,60.6,62.5,,,,,,,,,,,
64.6,65.4,65.9,66.5,67.0,67.7,68.4,68.8,69.4,70.7,71.1,71.6,72.8,73.3,73.9,74.4,74.9,,,,,,,,,,,,,,,,,,,,,,
78.0,78.5,78.9,79.3,79.9,80.4,81.0,81.6,82.2,83.0,83.4,83.9,84.5,85.1,85.6,87.0,87.4,87.9,88.4,89.0,89.8,90.6,,,,,,,,,,,,,,,,,
92.4,93.7,94.3,94.8,95.2,95.8,96.7,97.1,97.7,98.3,98.8,99.4,99.9,100.5,101.1,101.5,102.1,102.6,103.2,103.7,104.3,105.4,106.2,106.6,107.1,107.6,108.2,109.2,109.6,110.0,110.6,111.3,113.5,114.0,115.4,116.5,117.3,,
120.6,121.3,121.7,122.3,122.8,123.3,123.9,124.3,124.9,125.8,127.0,127.7,128.2,128.6,129.2,129.9,130.5,131.0,131.7,132.6,133.3,133.9,134.6,135.2,,,,,,,,,,,,,,,
137.9,139.0,139.5,139.9,140.6,141.2,141.8,142.4,142.9,143.4,143.9,144.5,144.9,145.4,146.1,146.8,147.2,147.8,148.6,149.1,149.5,150.2,150.8,151.2,151.8,152.3,153.0,153.4,154.1,154.6,155.1,155.7,157.0,157.8,158.5,159.4,160.4,161.1,163.0
165.1,165.7,166.2,167.0,167.6,168.2,168.8,169.9,170.3,170.8,171.2,171.6,172.2,172.7,173.3,173.8,174.5,175.2,176.0,176.6,177.3,177.7,178.4,179.1,,,,,,,,,,,,,,,
