Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25
3.9,4.7,5.6,6.3,7.2,7.9,8.6,9.1,9.7,10.2,10.8,11.7,12.4,13.1,13.7,15.4,16.4,,,,,,,,
17.6,18.6,20.1,20.9,21.9,22.8,23.6,24.1,24.7,25.3,25.9,26.8,27.5,28.0,,,,,,,,,,,
29.8,30.6,31.4,32.4,33.0,33.7,34.4,35.0,35.7,37.7,,,,,,,,,,,,,,,
39.6,40.9,41.7,42.6,43.3,44.3,45.0,45.8,46.3,47.0,47.6,48.1,48.7,49.4,50.0,50.9,,,,,,,,,
54.9,56.0,56.7,57.3,58.0,58.9,59.5,60.0,60.7,61.3,62.0,62.7,63.5,64.3,65.1,66.0,67.1,,,,,,,,
69.1,70.8,71.9,72.6,73.3,73.9,74.5,75.3,75.9,76.5,77.2,77.7,78.3,78.9,79.5,80.1,81.1,81.7,82.3,83.2,84.5,,,,
86.8,87.7,88.6,89.4,90.0,90.8,91.5,92.2,92.8,93.5,94.3,94.9,95.6,96.3,96.9,97.6,98.3,99.0,99.7,100.5,101.1,102.0,102.6,103.4,104.4
107.0,108.7,109.4,110.1,110.9,111.6,112.3,113.0,113.5,114.2,115.0,115.6,116.2,117.0,117.7,118.4,,,,,,,,,
120.5,122.1,123.1,123.9,124.5,125.7,126.4,127.2,127.9,128.5,129.1,129.7,130.3,131.1,131.7,132.9,133.8,134.4,135.1,135.6,,,,,
138.3,139.0,139.5,140.1,140.7,141.5,142.2,142.8,143.5,144.1,144.9,145.4,146.1,147.2,149.0,149.7,150.3,150.9,151.7,152.4,,,,,
153.9,155.3,156.7,157.7,158.4,159.3,159.8,160.6,161.4,162.1,163.0,163.6,164.4,164.9,165.6,166.7,167.9,168.5,169.3,170.2,171.4,174.1,174.9,175.4,176.2
177.3,178.1,178.9,179.6,,,,,,,,,,,,,,,,,,,,,
