Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17
3.3,4.7,5.3,5.8,6.5,6.8,7.3,7.8,8.4,9.1,10.1,10.9,11.5,12.1,,,
14.1,15.2,16.0,16.5,16.9,17.3,18.0,18.7,19.2,19.6,20.2,20.8,21.5,22.3,23.0,23.8,24.7
25.9,26.5,27.1,27.7,28.5,29.1,29.8,30.5,31.2,31.8,32.3,33.0,33.5,35.5,,,
38.0,38.6,39.1,39.7,40.3,40.8,41.3,41.9,42.7,43.5,44.3,,,,,,
45.5,47.5,48.2,48.8,49.4,49.9,50.3,51.0,51.6,52.7,,,,,,,
53.9,54.5,55.1,55.7,56.3,56.8,57.3,57.8,58.3,59.1,59.8,,,,,,
61.3,61.8,62.3,63.0,63.5,64.1,64.7,65.5,66.0,66.6,,,,,,,
68.2,68.7,69.1,69.6,70.0,70.4,70.9,71.6,72.5,73.3,74.2,75.0,,,,,
75.9,76.5,77.1,77.6,78.2,78.8,,,,,,,,,,,
79.5,80.0,80.5,81.1,81.7,82.5,83.0,83.6,84.4,85.3,86.4,,,,,,
87.0,87.8,88.3,88.8,89.3,89.8,90.3,90.8,91.3,91.9,92.8,,,,,,
93.8,94.3,95.0,95.4,96.3,96.7,,,,,,,,,,,
98.5,99.0,99.6,100.3,100.9,101.6,102.1,102.7,103.6,,,,,,,,
105.4,106.1,106.5,107.1,107.6,108.2,109.0,109.7,110.2,110.8,111.3,112.0,,,,,
113.5,114.1,114.7,115.3,115.7,116.3,117.0,117.7,118.5,119.7,,,,,,,
121.1,121.9,122.5,123.1,123.6,124.1,,,,,,,,,,,
124.7,125.4,126.0,126.4,126.9,127.7,128.3,128.9,,,,,,,,,
130.6,132.0,132.4,133.1,133.6,134.1,134.6,135.2,135.8,,,,,,,,
137.7,138.3,138.9,139.8,140.3,140.9,141.6,,,,,,,,,,
143.0,143.4,144.0,144.5,145.0,146.1,,,,,,,,,,,
147.2,147.9,148.5,149.0,149.8,150.4,151.2,,,,,,,,,,
152.5,153.1,153.9,154.6,155.2,155.9,156.5,157.1,157.5,158.0,158.6,159.0,159.6,,,,
160.9,161.5,162.2,162.7,163.4,164.1,164.7,165.3,165.8,166.4,167.3,168.0,,,,,
168.5,169.2,169.7,170.2,170.7,171.2,171.9,172.5,173.1,173.7,174.7,175.2,,,,,
176.1,176.7,177.5,178.2,178.6,179.3,179.9,,,,,,,,,,
