Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31,Chew_32,Chew_33,Chew_34,Chew_35,Chew_36,Chew_37,Chew_38,Chew_39
4.3,5.4,6.7,7.9,8.8,9.9,11.0,11.7,12.5,13.4,14.2,15.0,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,18.0,18.9,20.3,21.1,22.0,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.5,26.8,27.7,28.6,29.4,30.1,30.8,31.9,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.9,36.9,37.6,38.4,39.0,39.7,40.4,41.1,41.9,42.5,43.3,44.8,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,49.2,50.1,51.4,52.5,53.4,54.1,54.9,55.5,56.2,56.8,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.7,60.8,61.6,62.2,63.2,63.6,64.6,65.2,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.2,70.1,70.7,71.4,72.1,72.8,73.4,74.5,75.5,76.4,77.0,77.8,78.4,79.1,79.6,80.7,81.4,82.3,84.4,86.3,,,,,,,,,,,,,,,,,,,
88.5,89.7,90.9,91.7,92.3,93.4,94.0,94.6,95.5,96.7,97.4,98.4,99.0,99.7,100.6,,,,,,,,,,,,,,,,,,,,,,,,
104.3,105.3,106.1,107.1,107.6,108.2,108.9,109.8,110.5,111.3,112.2,113.3,113.9,114.5,115.6,116.3,117.6,,,,,,,,,,,,,,,,,,,,,,
119.8,120.6,121.4,122.0,122.5,123.0,123.7,124.2,125.1,125.7,126.4,127.1,128.2,128.8,129.7,130.6,131.4,132.1,133.3,134.4,135.1,135.9,136.7,137.7,138.4,139.8,,,,,,,,,,,,,
144.3,145.3,146.8,147.6,148.2,149.3,150.0,150.6,151.9,152.6,153.8,154.4,155.3,156.1,156.7,157.7,158.3,159.0,159.8,161.2,162.0,162.8,163.4,164.0,164.8,165.5,166.2,167.1,168.2,168.7,169.5,170.2,171.3,172.4,173.1,173.9,174.6,175.5,177.1
179.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
