Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28
4.7,5.4,6.0,6.5,7.0,7.5,8.2,8.7,9.4,9.8,10.4,11.0,11.5,12.0,12.7,13.3,14.3,15.3,16.0,,,,,,,,,
18.0,18.8,19.6,20.1,20.8,21.3,22.0,22.5,23.1,23.6,24.1,24.8,25.3,25.9,26.9,27.4,28.1,28.9,,,,,,,,,,
30.3,30.9,31.4,32.0,32.6,33.2,34.0,34.6,35.3,35.9,36.5,37.1,38.8,39.7,40.1,41.8,,,,,,,,,,,,
43.5,44.9,46.2,46.8,47.3,47.8,48.3,48.9,49.4,50.0,50.5,51.1,51.8,52.5,53.1,53.6,,,,,,,,,,,,
54.8,55.3,56.0,56.6,59.4,60.0,60.7,61.4,,,,,,,,,,,,,,,,,,,,
62.6,63.8,64.7,66.2,67.1,67.6,,,,,,,,,,,,,,,,,,,,,,
71.5,72.5,73.1,73.6,74.2,74.8,75.3,75.9,,,,,,,,,,,,,,,,,,,,
77.6,78.2,78.7,79.2,79.6,80.1,80.6,81.1,,,,,,,,,,,,,,,,,,,,
83.9,84.4,85.0,85.4,85.8,86.4,87.0,87.5,87.9,88.6,,,,,,,,,,,,,,,,,,
90.2,90.8,91.3,91.8,92.4,93.0,93.5,94.2,94.7,95.2,96.0,96.9,99.8,,,,,,,,,,,,,,,
101.1,101.8,102.5,103.2,103.8,104.5,105.2,105.7,106.4,106.9,107.4,107.9,108.5,109.1,109.7,110.2,110.7,111.1,111.6,112.1,112.9,113.7,,,,,,
115.1,115.9,116.5,117.1,,,,,,,,,,,,,,,,,,,,,,,,
118.7,119.3,119.9,120.8,121.3,121.9,122.5,123.1,123.7,124.2,124.8,125.5,126.2,126.8,127.8,128.5,129.1,129.8,130.4,131.1,132.4,133.0,133.7,134.5,135.1,135.7,136.4,137.2
139.2,141.7,142.5,142.9,143.4,144.2,144.9,145.7,146.3,147.1,147.8,148.4,149.1,149.7,150.4,151.0,152.2,153.3,,,,,,,,,,
155.2,155.9,156.7,157.3,157.8,158.4,159.0,159.6,160.2,161.0,161.5,162.1,162.7,163.4,163.9,164.4,164.9,165.6,166.3,166.8,167.8,168.4,169.0,169.5,,,,
171.6,172.4,173.1,173.7,174.3,175.1,175.7,176.3,176.8,177.6,178.1,178.7,179.3,,,,,,,,,,,,,,,
