Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21
6.2,7.0,7.7,8.1,8.5,9.0,9.5,10.2,10.6,11.1,11.6,12.1,12.6,13.4,,,,,,,
14.3,15.1,15.4,15.8,16.3,16.6,17.1,17.5,18.1,18.6,19.3,19.9,20.4,21.1,21.6,22.6,23.2,,,,
24.1,24.8,25.5,25.9,26.5,27.0,27.6,28.2,28.8,29.3,29.8,30.4,31.0,31.6,,,,,,,
32.9,34.1,34.8,35.3,35.9,36.3,36.8,37.4,37.9,38.7,,,,,,,,,,,
39.7,40.5,41.1,41.6,42.2,42.8,43.5,44.0,44.9,,,,,,,,,,,,
45.2,45.8,46.2,46.6,47.0,47.5,48.1,48.6,49.3,50.0,50.8,51.4,,,,,,,,,
52.8,53.5,54.1,54.7,55.2,55.7,56.2,56.8,57.3,58.1,58.7,59.4,60.0,,,,,,,,
61.8,62.6,63.1,63.7,64.2,64.7,65.3,65.9,66.4,67.1,67.7,68.4,69.1,69.6,70.2,70.8,,,,,
72.7,73.3,73.9,74.5,75.2,75.8,76.4,77.1,77.4,78.0,78.5,79.1,,,,,,,,,
80.6,81.1,81.7,82.1,82.6,83.1,83.7,84.2,84.7,85.3,85.8,86.4,86.8,87.3,87.9,88.4,88.8,89.5,90.0,,
91.4,92.2,92.6,93.2,93.7,94.3,94.9,95.4,95.9,96.5,97.0,97.5,,,,,,,,,
98.8,100.5,101.3,101.8,102.2,102.7,103.3,103.9,104.4,105.1,106.0,106.7,107.2,,,,,,,,
109.2,110.1,110.9,111.6,112.3,112.7,113.3,113.8,114.4,115.0,115.6,116.2,116.7,117.2,117.6,118.2,118.9,119.5,120.1,,
122.8,123.6,124.9,125.3,126.0,129.8,130.2,130.6,131.1,131.8,132.4,133.0,133.7,134.6,,,,,,,
136.3,137.0,137.5,138.0,138.5,139.2,139.6,140.3,140.9,141.5,,,,,,,,,,,
143.1,143.9,144.4,145.0,145.5,146.1,146.7,147.3,148.1,149.2,,,,,,,,,,,
151.7,152.2,152.8,153.4,154.2,154.6,155.2,155.9,156.6,157.0,157.6,158.2,159.0,159.5,160.1,160.8,,,,,
162.4,163.0,163.6,164.2,164.5,165.0,165.6,166.2,166.8,167.4,168.0,168.5,169.0,169.7,170.3,171.0,171.8,172.3,172.9,173.5,174.1
175.5,176.0,176.7,177.2,177.8,178.4,178.8,179.2,179.7,,,,,,,,,,,,
