Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24
4.4,5.1,5.8,7.2,8.1,9.3,10.1,10.6,11.3,11.8,12.4,13.8,14.4,14.9,15.5,16.2,16.7,17.4,18.1,18.6,19.6,20.5,,
22.8,23.8,24.4,25.1,25.6,26.2,26.9,27.5,28.2,,,,,,,,,,,,,,,
30.4,31.1,31.8,32.4,32.9,33.6,34.2,34.6,35.4,,,,,,,,,,,,,,,
41.0,41.6,42.2,42.7,43.3,44.2,45.0,45.6,46.2,46.8,47.5,48.1,48.9,49.4,50.3,51.1,,,,,,,,
53.0,53.9,54.7,55.4,55.9,56.5,57.1,57.8,58.5,59.1,59.8,,,,,,,,,,,,,
62.1,62.8,63.6,64.3,65.0,65.6,66.4,67.2,67.9,68.6,69.4,70.0,70.7,,,,,,,,,,,
72.2,72.8,73.6,74.3,75.0,75.7,76.3,77.0,77.5,78.1,78.9,80.0,80.7,81.4,82.1,,,,,,,,,
84.2,85.0,85.7,86.6,87.3,88.3,89.2,90.1,91.3,92.2,93.2,,,,,,,,,,,,,
95.5,96.4,97.2,97.9,98.6,99.2,99.8,100.5,101.2,101.8,102.4,103.1,103.8,104.4,105.2,105.9,106.6,107.2,108.1,108.7,109.2,109.8,110.8,111.6
115.7,116.7,117.7,118.5,119.2,120.0,120.7,121.4,122.1,122.8,123.4,124.2,125.0,126.0,,,,,,,,,,
129.5,130.5,131.3,132.0,132.8,133.7,134.4,135.2,136.0,136.8,137.6,138.4,139.4,140.4,141.4,142.3,,,,,,,,
144.9,145.9,147.0,147.8,148.8,149.7,150.4,151.3,152.2,153.1,154.3,156.0,156.9,158.1,,,,,,,,,,
162.0,163.1,163.8,164.8,165.8,166.5,167.4,168.2,169.2,170.0,170.7,172.0,173.4,174.5,175.4,176.6,178.0,178.8,179.7,,,,,
