Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20
5.8,6.5,7.3,8.1,8.7,9.3,9.7,10.3,10.9,11.7,12.2,12.9,13.7,14.5,15.2,,,,,
17.3,18.0,18.6,19.1,19.5,19.9,20.4,21.0,21.6,22.0,22.7,25.3,25.6,26.4,,,,,,
28.6,29.2,29.7,30.2,30.8,31.2,31.6,32.0,32.5,33.6,34.2,34.8,35.4,36.0,36.8,,,,,
42.0,42.3,42.7,43.1,43.6,44.0,44.7,45.1,45.7,46.4,46.9,48.0,48.4,49.0,,,,,,
57.0,57.4,57.8,58.3,58.8,59.3,60.0,61.3,61.8,,,,,,,,,,,
66.7,67.4,68.2,68.8,69.3,69.8,70.6,71.1,71.6,72.1,73.0,73.6,74.2,76.0,77.4,,,,,
80.3,81.4,82.0,82.6,83.1,83.7,84.2,84.8,85.3,85.9,86.3,87.0,87.6,88.1,88.8,89.5,91.8,92.3,93.8,94.5
96.9,98.0,98.9,99.5,100.2,100.9,101.5,102.1,102.8,103.3,103.8,104.4,105.0,105.7,106.1,106.6,107.3,,,
110.4,111.1,111.7,112.2,112.7,113.1,113.5,113.9,114.5,115.2,116.0,117.3,118.4,,,,,,,
128.5,129.2,132.8,133.7,134.0,135.0,135.8,136.7,,,,,,,,,,,,
