Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31,Chew_32
6.1,6.7,7.3,7.9,8.5,8.9,9.6,10.2,10.9,11.9,12.5,,,,,,,,,,,,,,,,,,,,,
13.6,14.2,14.7,15.2,15.7,16.1,16.6,17.1,17.8,18.5,18.9,19.4,19.8,20.4,20.9,21.9,,,,,,,,,,,,,,,,
23.8,24.3,24.7,25.2,25.6,26.2,26.6,27.2,27.7,28.2,28.5,28.9,29.4,30.0,30.9,31.5,31.9,32.5,,,,,,,,,,,,,,
33.6,34.1,34.6,35.0,35.4,35.9,36.4,36.9,37.5,38.1,39.1,39.9,40.4,41.0,42.3,42.9,43.4,44.2,45.5,,,,,,,,,,,,,
47.3,48.0,48.7,49.2,49.9,50.4,50.9,51.5,51.9,52.6,53.4,53.9,54.4,54.9,55.4,56.0,,,,,,,,,,,,,,,,
58.4,59.2,59.7,60.2,61.0,61.4,62.0,62.5,63.2,63.7,64.2,64.8,65.4,65.9,66.5,,,,,,,,,,,,,,,,,
68.1,68.6,69.1,69.5,70.0,70.6,71.0,71.6,72.1,72.6,73.1,73.7,74.1,74.6,75.2,75.6,76.1,76.8,77.2,78.0,78.6,,,,,,,,,,,
79.2,79.9,80.3,80.8,81.3,81.7,82.3,82.9,83.4,83.8,84.4,84.9,85.4,86.0,86.6,87.1,87.5,88.2,88.7,89.4,89.8,90.5,,,,,,,,,,
91.5,92.0,92.6,93.2,93.5,94.0,94.5,94.9,95.4,95.8,96.4,96.9,97.4,98.1,98.9,,,,,,,,,,,,,,,,,
99.5,100.3,100.7,101.3,101.8,102.3,103.0,103.6,104.2,104.8,105.3,106.0,106.5,107.0,107.5,108.1,108.9,109.9,,,,,,,,,,,,,,
110.9,111.5,112.1,112.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.9,114.5,115.1,115.5,116.0,116.5,117.1,117.6,118.2,118.8,119.4,120.0,120.6,121.3,,,,,,,,,,,,,,,,,,
122.4,123.0,123.6,124.0,124.6,125.0,125.5,126.0,126.6,127.1,127.5,128.4,128.8,129.3,129.9,130.3,130.9,,,,,,,,,,,,,,,
133.3,134.3,134.8,135.2,135.6,136.0,136.5,137.0,137.7,138.2,138.7,139.2,139.8,140.7,141.2,142.0,142.4,143.0,144.2,144.6,145.2,145.8,146.5,147.0,147.9,148.4,148.9,149.5,150.2,150.8,151.4,152.2
152.7,153.3,153.8,154.3,154.6,155.2,155.6,156.2,156.7,157.2,157.8,158.3,158.8,159.2,159.8,160.4,,,,,,,,,,,,,,,,
161.7,162.2,162.8,163.3,163.9,164.3,164.9,165.5,165.9,166.7,167.4,168.0,168.6,169.3,169.8,170.6,171.2,171.9,172.7,173.4,173.9,174.5,175.3,176.5,,,,,,,,
177.4,178.0,178.6,179.2,179.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
