Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30
3.3,4.1,4.8,5.4,6.0,6.4,7.0,7.6,8.1,8.6,9.2,9.8,10.6,11.5,,,,,,,,,,,,,,,,
12.9,13.6,14.4,14.8,15.4,15.9,16.6,17.5,18.2,18.9,19.7,20.4,21.0,,,,,,,,,,,,,,,,,
23.0,23.9,24.5,25.0,25.7,26.1,26.5,26.9,27.5,28.4,29.3,30.1,31.1,31.6,,,,,,,,,,,,,,,,
33.5,34.2,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,36.5,37.0,37.7,38.2,38.7,39.2,39.8,40.3,40.8,,,,,,,,,,,,,,,,,,,,
41.6,42.2,42.6,43.2,43.6,44.0,44.5,44.9,45.5,46.0,46.6,47.5,48.0,48.5,49.0,49.4,50.1,,,,,,,,,,,,,
51.5,52.2,52.7,53.3,53.8,54.4,55.1,55.9,56.7,57.5,58.6,59.3,60.4,61.5,62.7,63.6,64.4,,,,,,,,,,,,,
66.3,67.0,67.9,68.5,69.1,69.6,70.7,71.2,71.9,72.6,73.2,73.8,74.6,75.2,75.8,76.4,77.0,77.8,79.2,80.4,,,,,,,,,,
82.2,83.1,84.3,84.9,86.3,87.1,87.6,88.2,88.8,89.5,90.3,91.3,92.6,,,,,,,,,,,,,,,,,
95.1,96.0,96.5,97.4,98.1,98.9,99.4,100.0,100.9,101.5,102.5,103.1,103.6,105.0,105.8,107.9,108.7,109.6,113.2,,,,,,,,,,,
116.1,116.8,117.4,118.1,118.6,119.2,119.6,120.2,120.7,121.5,122.4,123.1,123.9,124.8,125.6,126.5,127.5,128.4,,,,,,,,,,,,
130.2,132.0,132.7,133.2,133.7,134.2,134.7,135.1,135.7,136.4,136.9,137.3,137.7,138.2,138.9,139.6,140.3,141.0,141.6,142.0,142.6,143.3,144.2,145.0,145.8,147.2,148.7,149.7,151.1,151.9
153.1,154.3,155.1,155.7,156.5,157.3,158.3,159.0,159.6,160.5,161.6,162.2,163.6,164.3,165.2,166.2,167.4,169.7,170.7,173.2,175.2,175.9,177.0,178.2,179.2,,,,,
