Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16
4.4,5.6,7.0,8.6,9.9,,,,,,,,,,,
12.4,13.2,14.1,14.9,16.0,16.7,,,,,,,,,,
21.6,22.8,23.7,24.7,25.8,26.4,27.5,28.4,29.5,30.3,,,,,,
34.2,35.2,36.2,37.0,37.5,38.5,39.4,40.3,41.6,,,,,,,
43.5,44.3,45.1,46.0,46.9,47.8,48.5,49.2,50.0,50.7,51.5,,,,,
53.4,54.0,54.8,55.5,56.4,57.2,,,,,,,,,,
58.4,59.2,59.8,60.3,60.9,61.6,62.4,63.1,63.8,,,,,,,
66.2,66.9,68.8,69.5,70.4,71.6,72.2,72.7,73.5,74.1,74.6,75.3,76.2,77.2,78.2,
79.7,80.4,81.0,81.6,82.1,82.7,83.7,84.7,85.6,86.3,87.1,,,,,
89.5,90.2,91.0,92.1,92.7,93.4,94.1,94.8,95.5,96.1,,,,,,
97.8,98.9,99.5,99.9,100.5,101.2,102.1,102.6,103.2,,,,,,,
104.8,105.4,105.9,106.5,107.2,108.0,108.6,109.2,110.4,111.3,112.1,,,,,
113.3,113.8,114.4,115.0,115.6,116.3,117.2,117.9,,,,,,,,
120.3,121.0,121.6,122.1,122.6,123.2,123.8,124.6,,,,,,,,
126.3,127.5,128.2,128.8,129.5,130.3,131.2,131.8,132.5,133.2,133.7,134.3,134.9,135.5,136.3,137.2
139.1,140.1,140.9,141.6,142.3,142.9,143.8,,,,,,,,,
145.3,145.9,146.5,147.1,147.6,148.3,148.9,,,,,,,,,
151.2,151.9,152.6,153.2,154.0,154.8,155.5,156.1,157.1,,,,,,,
158.1,158.9,159.6,160.4,161.0,161.7,162.7,163.6,164.4,165.0,165.7,,,,,
168.1,169.9,170.7,171.6,172.4,172.9,173.5,174.1,174.9,175.6,176.7,,,,,
178.5,179.3,,,,,,,,,,,,,,
