Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12
3.8,5.7,6.3,6.9,7.7,,,,,,,
8.8,9.8,10.8,11.6,12.3,13.1,14.0,14.9,,,,
16.0,16.6,17.2,17.7,18.3,18.8,19.6,,,,,
20.8,21.4,21.9,22.4,23.0,23.6,24.2,24.9,25.3,25.9,26.5,27.2
29.2,29.8,30.3,30.9,31.5,32.1,32.6,33.2,33.8,,,
35.0,35.7,36.5,37.5,38.1,38.7,39.3,39.8,40.7,41.3,41.9,42.4
43.5,44.0,44.7,45.4,45.9,46.5,47.5,48.1,48.7,49.4,,
50.4,51.0,51.6,52.3,52.8,53.7,54.3,,,,,
55.5,56.1,56.7,57.2,57.8,58.4,59.1,59.5,60.0,60.7,61.4,
62.6,63.2,63.8,64.4,64.9,65.5,,,,,,
66.6,67.3,67.9,68.5,69.1,69.7,70.5,71.0,71.8,,,
73.0,73.8,74.7,75.4,76.1,76.9,77.6,78.3,78.9,79.8,80.6,81.3
83.5,84.3,85.0,85.6,86.3,86.9,87.5,88.0,88.6,89.1,89.8,90.4
91.5,92.2,92.7,93.4,94.1,94.9,95.7,,,,,
96.8,98.0,98.9,99.5,100.1,100.8,101.6,102.3,103.0,103.6,104.1,
106.8,107.6,108.3,109.0,109.6,110.3,111.3,,,,,
113.0,113.7,114.3,114.9,115.7,,,,,,,
117.3,118.1,118.8,119.5,120.2,120.9,121.7,,,,,
122.8,123.6,124.5,125.2,125.9,126.8,,,,,,
128.6,129.5,130.3,130.9,131.7,132.4,133.1,133.9,,,,
135.4,136.3,137.0,137.8,139.2,,,,,,,
140.7,141.9,142.8,143.5,144.4,145.4,146.0,146.8,,,,
147.9,148.7,149.4,150.2,151.2,151.7,152.4,,,,,
153.3,154.2,154.9,155.8,156.6,157.4,,,,,,
159.0,160.1,161.1,161.7,162.5,,,,,,,
165.0,166.0,166.7,167.6,168.4,,,,,,,
169.9,170.6,171.4,172.0,172.7,,,,,,,
174.4,175.3,176.1,176.8,177.7,178.6,179.4,,,,,
