t_center,n_visible,n_invisible,n_total
6.5,2,8,10
7.5,13,11,24
8.5,22,20,42
9.5,28,21,49
10.5,28,23,51
11.5,28,25,53
12.5,29,26,55
13.5,29,26,55
14.5,29,28,57
15.5,29,28,57
16.5,29,28,57
17.5,29,29,58
18.5,29,29,58
19.5,29,29,58
20.5,29,29,58
21.5,29,29,58
22.5,30,30,60
23.5,30,30,60
24.5,30,30,60
25.5,30,30,60
26.5,30,30,60
27.5,30,30,60
28.5,30,30,60
29.5,30,30,60
30.5,30,30,60
31.5,30,30,60
32.5,30,30,60
33.5,30,30,60
34.5,30,30,60
35.5,29,30,59
36.5,29,30,59
37.5,29,30,59
38.5,30,29,59
39.5,30,30,60
40.5,30,30,60
41.5,30,30,60
42.5,30,30,60
43.5,30,30,60
44.5,30,30,60
45.5,30,30,60
46.5,30,30,60
47.5,30,30,60
48.5,30,30,60
49.5,30,30,60
50.5,30,30,60
51.5,30,30,60
52.5,29,30,59
53.5,29,30,59
54.5,30,30,60
55.5,30,30,60
56.5,30,30,60
57.5,30,30,60
58.5,30,30,60
59.5,30,30,60
60.5,30,30,60
61.5,30,30,60
62.5,30,30,60
63.5,30,30,60
64.5,30,30,60
65.5,30,30,60
66.5,30,30,60
67.5,30,30,60
68.5,30,30,60
69.5,30,30,60
70.5,30,30,60
71.5,30,30,60
72.5,30,30,60
73.5,30,30,60
74.5,30,30,60
75.5,29,30,59
76.5,29,30,59
77.5,29,30,59
78.5,29,30,59
79.5,29,30,59
80.5,30,30,60
81.5,30,30,60
82.5,30,30,60
83.5,30,30,60
84.5,30,30,60
85.5,30,30,60
86.5,30,30,60
87.5,30,30,60
88.5,30,30,60
89.5,30,30,60
90.5,30,30,60
91.5,29,30,59
92.5,29,30,59
93.5,30,30,60
94.5,29,30,59
95.5,29,30,59
96.5,29,30,59
97.5,29,30,59
98.5,29,30,59
99.5,29,30,59
100.5,29,30,59
101.5,29,30,59
102.5,29,30,59
103.5,29,30,59
104.5,29,30,59
105.5,29,30,59
106.5,29,30,59
107.5,29,30,59
108.5,28,30,58
109.5,28,30,58
110.5,28,30,58
111.5,28,30,58
112.5,28,29,57
113.5,28,30,58
114.5,29,30,59
115.5,28,30,58
116.5,28,30,58
117.5,28,30,58
118.5,29,30,59
119.5,29,30,59
120.5,29,30,59
121.5,28,30,58
122.5,28,30,58
123.5,28,30,58
124.5,28,30,58
125.5,28,30,58
126.5,29,30,59
127.5,29,30,59
128.5,29,30,59
129.5,29,30,59
130.5,29,30,59
131.5,29,30,59
132.5,29,30,59
133.5,29,30,59
134.5,28,30,58
135.5,28,30,58
136.5,28,30,58
137.5,28,30,58
138.5,28,30,58
139.5,27,30,57
140.5,27,30,57
141.5,27,30,57
142.5,27,30,57
143.5,27,30,57
144.5,27,29,56
145.5,27,30,57
146.5,27,30,57
147.5,27,30,57
148.5,26,30,56
149.5,26,30,56
150.5,26,30,56
151.5,26,30,56
152.5,27,30,57
153.5,27,30,57
154.5,27,30,57
155.5,27,30,57
156.5,27,30,57
157.5,27,30,57
158.5,27,30,57
159.5,27,30,57
160.5,27,30,57
161.5,27,30,57
162.5,27,30,57
163.5,27,30,57
164.5,27,30,57
165.5,27,30,57
166.5,27,30,57
167.5,27,30,57
168.5,27,30,57
169.5,26,30,56
170.5,27,30,57
171.5,27,30,57
172.5,27,29,56
173.5,27,29,56
174.5,27,29,56
175.5,25,29,54
176.5,20,22,42
