delta,condition,pair_id,n_matched,median_abs_dt
0.1,vis,20170706_01_02_01,73,0.1
0.1,vis,20170706_01_02_02,85,0.1
0.1,vis,20170706_01_02_03,64,0.1
0.1,vis,20170706_03_04_01,95,0.1
0.1,vis,20170706_03_04_02,91,0.1
0.1,vis,20170706_03_04_03,117,0.1
0.1,vis,20170706_05_06_01,69,0.1
0.1,vis,20170706_05_06_02,87,0.1
0.1,vis,20170706_05_06_03,85,0.1
0.1,vis,20170706_11_12_01,63,0.1
0.1,vis,20170706_11_12_02,63,0.1
0.1,vis,20170706_11_12_03,52,0.1
0.1,vis,20170710_01_02_01,106,0.1
0.1,vis,20170710_01_02_02,119,0.1
0.1,vis,20170710_01_02_03,131,0.1
0.1,vis,20170710_07_08_01,30,0.1
0.1,vis,20170710_07_08_02,28,0.0
0.1,vis,20170710_07_08_03,45,0.1
0.1,vis,20170714_01_02_01,113,0.1
0.1,vis,20170714_01_02_02,123,0.1
0.1,vis,20170714_01_02_03,127,0.1
0.1,vis,20170714_03_04_01,70,0.1
0.1,vis,20170714_03_04_02,76,0.1
0.1,vis,20170714_03_04_03,98,0.1
0.1,vis,20170714_05_06_01,75,0.1
0.1,vis,20170714_05_06_02,81,0.1
0.1,vis,20170714_05_06_03,101,0.1
0.1,vis,20170714_07_08_01,41,0.1
0.1,vis,20170714_07_08_02,62,0.1
0.1,vis,20170714_07_08_03,62,0.1
0.1,invis,20170705_01_02_01,78,0.1
0.1,invis,20170705_01_02_02,59,0.1
0.1,invis,20170705_01_02_03,78,0.1
0.1,invis,20170705_03_04_01,105,0.1
0.1,invis,20170705_03_04_02,118,0.1
0.1,invis,20170705_03_04_03,142,0.1
0.1,invis,20170707_01_02_01,105,0.1
0.1,invis,20170707_01_02_02,103,0.1
0.1,invis,20170707_01_02_03,111,0.1
0.1,invis,20170707_03_04_01,95,0.1
0.1,invis,20170707_03_04_02,75,0.1
0.1,invis,20170707_03_04_03,90,0.1
0.1,invis,20170707_05_06_01,53,0.1
0.1,invis,20170707_05_06_02,55,0.1
0.1,invis,20170707_05_06_03,49,0.1
0.1,invis,20170707_07_08_01,96,0.1
0.1,invis,20170707_07_08_02,95,0.1
0.1,invis,20170707_07_08_03,107,0.1
0.1,invis,20170707_09_10_01,84,0.1
0.1,invis,20170707_09_10_02,102,0.1
0.1,invis,20170707_09_10_03,99,0.1
0.1,invis,20170707_11_12_01,88,0.1
0.1,invis,20170707_11_12_02,136,0.1
0.1,invis,20170707_11_12_03,110,0.1
0.1,invis,20170710_13_14_01,78,0.1
0.1,invis,20170710_13_14_02,127,0.1
0.1,invis,20170710_13_14_03,117,0.1
0.1,invis,20170710_15_16_01,42,0.1
0.1,invis,20170710_15_16_02,54,0.1
0.1,invis,20170710_15_16_03,49,0.1
0.2,vis,20170706_01_02_01,123,0.1
0.2,vis,20170706_01_02_02,144,0.1
0.2,vis,20170706_01_02_03,109,0.1
0.2,vis,20170706_03_04_01,143,0.1
0.2,vis,20170706_03_04_02,149,0.1
0.2,vis,20170706_03_04_03,175,0.1
0.2,vis,20170706_05_06_01,121,0.1
0.2,vis,20170706_05_06_02,141,0.1
0.2,vis,20170706_05_06_03,141,0.1
0.2,vis,20170706_11_12_01,97,0.1
0.2,vis,20170706_11_12_02,99,0.1
0.2,vis,20170706_11_12_03,94,0.1
0.2,vis,20170710_01_02_01,151,0.1
0.2,vis,20170710_01_02_02,185,0.1
0.2,vis,20170710_01_02_03,198,0.1
0.2,vis,20170710_07_08_01,45,0.1
0.2,vis,20170710_07_08_02,44,0.1
0.2,vis,20170710_07_08_03,69,0.1
0.2,vis,20170714_01_02_01,176,0.1
0.2,vis,20170714_01_02_02,184,0.1
0.2,vis,20170714_01_02_03,183,0.1
0.2,vis,20170714_03_04_01,122,0.1
0.2,vis,20170714_03_04_02,131,0.1
0.2,vis,20170714_03_04_03,154,0.1
0.2,vis,20170714_05_06_01,113,0.1
0.2,vis,20170714_05_06_02,129,0.1
0.2,vis,20170714_05_06_03,154,0.1
0.2,vis,20170714_07_08_01,80,0.1
0.2,vis,20170714_07_08_02,96,0.1
0.2,vis,20170714_07_08_03,101,0.1
0.2,invis,20170705_01_02_01,113,0.1
0.2,invis,20170705_01_02_02,126,0.2
0.2,invis,20170705_01_02_03,132,0.1
0.2,invis,20170705_03_04_01,153,0.1
0.2,invis,20170705_03_04_02,179,0.1
0.2,invis,20170705_03_04_03,196,0.1
0.2,invis,20170707_01_02_01,156,0.1
0.2,invis,20170707_01_02_02,157,0.1
0.2,invis,20170707_01_02_03,180,0.1
0.2,invis,20170707_03_04_01,145,0.1
0.2,invis,20170707_03_04_02,153,0.2
0.2,invis,20170707_03_04_03,158,0.1
0.2,invis,20170707_05_06_01,79,0.1
0.2,invis,20170707_05_06_02,94,0.1
0.2,invis,20170707_05_06_03,95,0.1
0.2,invis,20170707_07_08_01,155,0.1
0.2,invis,20170707_07_08_02,161,0.1
0.2,invis,20170707_07_08_03,154,0.1
0.2,invis,20170707_09_10_01,131,0.1
0.2,invis,20170707_09_10_02,165,0.1
0.2,invis,20170707_09_10_03,157,0.1
0.2,invis,20170707_11_12_01,164,0.1
0.2,invis,20170707_11_12_02,217,0.1
