delta,condition,lag_s,n,n_total,proportion
0.1,vis,0.1,817,2432,0.3359
0.1,vis,0.0,801,2432,0.3294
0.1,vis,-0.1,814,2432,0.3347
0.1,invis,0.1,893,2700,0.3307
0.1,invis,0.0,898,2700,0.3326
0.1,invis,-0.1,909,2700,0.3367
0.2,vis,0.2,653,3851,0.1696
0.2,vis,0.1,810,3851,0.2103
0.2,vis,0.0,800,3851,0.2077
0.2,vis,-0.1,814,3851,0.2114
0.2,vis,-0.2,774,3851,0.201
0.2,invis,0.2,752,4382,0.1716
0.2,invis,0.1,887,4382,0.2024
0.2,invis,0.0,897,4382,0.2047
0.2,invis,-0.1,909,4382,0.2074
0.2,invis,-0.2,937,4382,0.2138
0.3,vis,0.3,213,4514,0.0472
0.3,vis,0.2,550,4514,0.1218
0.3,vis,0.1,758,4514,0.1679
0.3,vis,0.0,792,4514,0.1755
0.3,vis,-0.1,813,4514,0.1801
0.3,vis,-0.2,774,4514,0.1715
0.3,vis,-0.3,614,4514,0.136
0.3,invis,0.3,224,5073,0.0442
0.3,invis,0.2,584,5073,0.1151
0.3,invis,0.1,814,5073,0.1605
0.3,invis,0.0,889,5073,0.1752
0.3,invis,-0.1,909,5073,0.1792
0.3,invis,-0.2,938,5073,0.1849
0.3,invis,-0.3,715,5073,0.1409
