t_center,z_S_t_visible_mean,z_S_t_visible_ci_lo,z_S_t_visible_ci_hi,z_S_t_visible_n,z_S_t_invisible_mean,z_S_t_invisible_ci_lo,z_S_t_invisible_ci_hi,z_S_t_invisible_n,S_excess_visible_mean,S_excess_visible_ci_lo,S_excess_visible_ci_hi,S_excess_visible_n,S_excess_invisible_mean,S_excess_invisible_ci_lo,S_excess_invisible_ci_hi,S_excess_invisible_n
6.5,0.1368627013017225,-1.456393498535327,1.730118901138772,2,0.8321491683586766,0.6046257314012237,1.0596726053161296,8,2.5376689091781945,-26.96138634021752,32.036724158573904,2,15.757213949868538,11.114626582809292,20.399801316927782,8
7.5,-0.14611077634857764,-0.8246922743461993,0.5324707216490441,13,0.48799831107102515,-0.1769569722867958,1.152953594428846,11,-2.8488950785527343,-15.090590281840333,9.392800124734865,13,9.000212858099149,-3.446415451800475,21.446841167998773,11
8.5,0.14483187022023117,-0.2838589572307185,0.5735226976711809,22,0.05359024128259164,-0.48762668289388006,0.5948071654590633,20,3.0856714303537403,-4.860860127711502,11.032202988418982,22,0.9905897733867506,-9.112236126266485,11.093415673039985,20
9.5,0.07514366465524601,-0.27673161167105526,0.4270189409815473,28,0.014817223857883971,-0.47309027478762383,0.5027247225033917,21,1.2996975151856842,-5.4824624910631075,8.081857521434475,28,0.438210209520184,-8.65471133594442,9.531131754984788,21
10.5,0.178652140969242,-0.20942134329407727,0.5667256252325613,28,0.0632932919697239,-0.34331498542556443,0.4699015693650122,23,3.3135471676708965,-4.200422505126373,10.827516840468167,28,1.6361107645439312,-6.407661357075536,9.6798828861634,23
11.5,0.10047275812795974,-0.28254717455909517,0.48349269081501467,28,0.156588250765967,-0.23682372885202774,0.5500002303839617,25,1.7149122721410959,-5.5676322315703946,8.997456775852587,28,2.9817708031218877,-4.8207496456207535,10.784291251864527,25
12.5,0.06959085498528265,-0.25888213786335207,0.3980638478339174,29,0.18939909676713954,-0.16058553476316176,0.5393837282974409,26,0.680912238094635,-5.45754889303856,6.819373369227829,29,3.809585093731914,-3.101015554613093,10.720185742076922,26
13.5,-0.06435812968630188,-0.44528950537937184,0.31657324600676806,29,0.3680329488743723,0.031175740740341573,0.7048901570084031,26,-1.9006049724091774,-8.83320350803031,5.031993563211956,29,7.01241146663926,0.8580457745850854,13.166777158693431,26
14.5,-0.05396266905417356,-0.40604389737047375,0.2981185592621266,29,0.3797985504539741,0.07745299346635043,0.6821441074415977,28,-1.4098590335918186,-8.169244152260822,5.3495260850771835,29,7.352426968425693,1.6556301979457142,13.049223738905672,28
15.5,-0.08926652929995595,-0.4213152085140879,0.24278214991417602,29,0.3374969740646708,-0.02251933618916796,0.6975132843185095,28,-2.0329000155983183,-8.339957587354977,4.2741575561583405,29,6.846627985263541,-0.08375321335059166,13.777009183877675,28
16.5,-0.17856456344459934,-0.4956293428994366,0.13850021601023796,29,0.2478980189114694,-0.18683904983939587,0.6826350876623346,28,-3.4926699330289064,-9.438141187000108,2.4528013209422945,29,5.423564364802478,-2.818250841245574,13.665379570850531,28
17.5,-0.16969713019040614,-0.5103154169504751,0.17092115656966286,29,0.16911211353698097,-0.3199492708481795,0.6581734979221414,29,-3.5056466084121696,-9.883493216879907,2.872200000055567,29,4.028042912362063,-5.304495154896245,13.360580979620373,29
18.5,0.2511038686702712,-0.11368525884445985,0.6158929961850022,29,0.014437668429411368,-0.4384725868004577,0.4673479236592804,29,4.723543399769512,-2.483402051086988,11.930488850626011,29,0.6056353272422986,-8.152970577360447,9.364241231845046,29
19.5,0.25373615700218044,-0.08944804907043402,0.5969203630747949,29,-0.05562724972644381,-0.5111824092092638,0.39992790975637627,29,4.820321243025148,-1.8805540229976117,11.521196509047908,29,-0.48861484004886463,-9.168295354911052,8.191065674813322,29
20.5,0.1594461807835576,-0.1529465700288739,0.4718389315959891,29,-0.1449653030095555,-0.5865392787534135,0.29660867273430247,29,3.2735785941340008,-2.999198368632255,9.546355556900258,29,-2.1776985530335056,-10.477370372227089,6.1219732661600785,29
21.5,0.3463300422383378,0.07491407894325791,0.6177460055334176,29,-0.051345205668805266,-0.4650873831316866,0.36239697179407615,29,6.8571672193682955,1.4985179798140833,12.21581645892251,29,-0.7118063255321729,-8.34165300435474,6.918040353290393,29
22.5,0.3456495089410371,0.022859584312935,0.6684394335691392,30,-0.013466311008580948,-0.3519848017334514,0.3250521797162896,30,6.691714079923057,0.4248847156761923,12.958543444169923,30,0.03039571559617963,-6.32564518625521,6.386436617447569,30
23.5,0.186913705773565,-0.16316256956776878,0.5369899811148988,30,-0.08174751290393231,-0.40970595382870034,0.24621092802083575,30,3.6025530088533166,-3.1219961149162576,10.32710213262289,30,-1.4828366428892745,-7.754681971485105,4.789008685706556,30
24.5,0.272944407975851,-0.14061444776205706,0.6865032637137591,30,-0.05637155974999894,-0.4346549926272528,0.321911873127255,30,5.793539143977226,-2.3046897465255114,13.891768034479963,30,-1.3158292969463046,-8.48716868519913,5.855510091306521,30
25.5,0.40717549323116314,-0.05531166112604319,0.8696626475883695,30,-0.034928473068112635,-0.3385192210267492,0.2686622748905239,30,8.176640884828966,-1.0736776112899957,17.426959380947928,30,-0.9148662227267365,-6.664508896940334,4.834776451486862,30
26.5,0.3512337002337447,-0.12963537271539938,0.8321027731828887,30,0.00045759167890638643,-0.3773895062039403,0.3783046895617531,30,6.696143287454431,-2.8801729556725095,16.272459530581372,30,-0.15858073705906525,-7.257015821535363,6.939854347417233,30
27.5,0.30931415372977084,-0.12724985825524143,0.745878165714783,30,0.018592182321673645,-0.39878853344166115,0.43597289808500844,30,6.026662395882983,-2.6681280623807737,14.72145285414674,30,-0.12936528146203072,-8.216635936868432,7.957905373944371,30
28.5,0.30090649929673646,-0.10152377000843776,0.7033367686019107,30,-0.02572305212700546,-0.4216522317002268,0.37020612744621584,30,6.16726807755368,-2.015438633786395,14.349974788893755,30,-0.848463576585095,-8.400751889507282,6.703824736337091,30
29.5,0.08185322362428535,-0.32598542424635957,0.4896918714949302,30,-0.05464192590564023,-0.463090571543317,0.3538067197320366,30,2.01677998996188,-6.045448064026796,10.079008043950555,30,-1.1602318825825026,-8.979979078085323,6.65951531292032,30
30.5,0.0548508856404311,-0.3294117856247139,0.43911355690557613,30,-0.1439831941050081,-0.553518690295715,0.26555230208569874,30,1.3917953646227617,-6.233006445429804,9.016597174675328,30,-2.8966437512435945,-10.676151702821949,4.882864200334758,30
31.5,-0.0010186582713839478,-0.3550419093252042,0.35300459278243634,30,-0.2519093135670283,-0.6711936570870138,0.16737502995295722,30,0.5153862541540567,-6.364705252994432,7.395477761302546,30,-5.043656012660657,-13.033012739101913,2.945700713780599,30
32.5,0.04304887487908266,-0.3136511633048892,0.3997489130630545,30,-0.17701457430123646,-0.5477781989899209,0.19374905038744789,30,1.1378107955569254,-5.722386603011188,7.998008194125039,30,-3.7280955072905546,-10.945873415119108,3.489682400537998,30
33.5,-0.04959177390757489,-0.36592431551940396,0.26674076770425414,30,-0.09330444480569135,-0.4810621932165838,0.2944533036052011,30,-1.03915686377606,-6.7497866976306495,4.671472970078529,30,-1.8405956494772275,-9.540941484974278,5.859750186019822,30
34.5,-0.0961919503583102,-0.44624809823290223,0.25386419751628186,30,0.1741109419629388,-0.2240275442210929,0.5722494281469706,30,-2.0208603906699882,-8.36834144642598,4.326620665086002,30,3.0634337199894497,-4.5723983718819134,10.699265811860814,30
35.5,-0.16402580921183293,-0.5023191321679876,0.17426751374432178,29,0.271072412485713,-0.11946783604254058,0.6616126610139665,30,-3.0495215585641264,-9.141495562321083,3.0424524451928314,30,5.114536426307324,-2.1472853587810268,12.376358211395674,30
36.5,-0.15026643476278592,-0.48672783249631313,0.18619496297074126,29,0.2763582414415985,-0.09241765654847384,0.6451341394316708,30,-3.031039183354197,-9.199913825934788,3.1378354592263937,30,5.231394792313523,-1.5438860635234586,12.006675648150505,30
