bin,t_center,mean,q025,q975,sigpos,signeg
1,6.5,0.158544344714439,-0.11500275,0.486820999999999,0,0
2,7.5,0.156664177427535,-0.10242105,0.46586545,0,0
3,8.5,0.158725151292715,-0.095074275,0.4641465,0,0
4,9.5,0.157902696110685,-0.091031215,0.460160825,0,0
5,10.5,0.145033544206545,-0.0997199375,0.453419775,0,0
6,11.5,0.0808536968539515,-0.14687795,0.38837975,0,0
7,12.5,0.011589614095693,-0.18231785,0.2653323,0,0
8,13.5,-0.0198187511138355,-0.1959354,0.177508425,0,0
9,14.5,-0.032603899498305,-0.199329025,0.142617699999999,0,0
10,15.5,-0.041417471820013,-0.203770325,0.12227785,0,0
11,16.5,-0.0437471763984885,-0.20221145,0.116141025,0,0
12,17.5,-0.042346727720832,-0.195967575,0.11643525,0,0
13,18.5,-0.0370488039587302,-0.184555575,0.122725175,0,0
14,19.5,-0.03646440134766,-0.183644425,0.121509225,0,0
15,20.5,-0.036149366594435,-0.18206215,0.122588825,0,0
16,21.5,-0.03576613518704,-0.1801051,0.124438175,0,0
17,22.5,-0.03747206358324,-0.182372675,0.1244131,0,0
18,23.5,-0.043723454236521,-0.188195,0.120447175,0,0
19,24.5,-0.054567635170597,-0.203239625,0.1102026,0,0
20,25.5,-0.0706212500500195,-0.222032,0.0908017875,0,0
21,26.5,-0.08557936033104,-0.23894875,0.0711674749999998,0,0
22,27.5,-0.102421491534345,-0.2562082,0.0472106175,0,0
23,28.5,-0.11384425297508,-0.26498315,0.028548375,0,0
24,29.5,-0.119602599069905,-0.268381125,0.0215508099999998,0,0
25,30.5,-0.122730867125295,-0.267021025,0.0157128,0,0
26,31.5,-0.123282042901135,-0.266798725,0.0163862999999996,0,0
27,32.5,-0.122982615493394,-0.2614947,0.0184742375,0,0
28,33.5,-0.12468589754431,-0.2624582,0.0170648824999999,0,0
29,34.5,-0.131035019261925,-0.2699568,0.00782939949999993,0,0
30,35.5,-0.13918435589019,-0.277325525,-0.00290470125000027,0,1
31,36.5,-0.143363591588105,-0.282634525,-0.00760036650000036,0,1
32,37.5,-0.14725439594362,-0.284823,-0.0132638275,0,1
33,38.5,-0.153502034295813,-0.29008925,-0.0213104525,0,1
34,39.5,-0.15668588586575,-0.293573025,-0.0229483425000001,0,1
35,40.5,-0.1614296683762,-0.3003296,-0.0286629275000001,0,1
36,41.5,-0.16971162975285,-0.310967275,-0.0381713375,0,1
37,42.5,-0.174375180740675,-0.317219075,-0.0420950125,0,1
38,43.5,-0.1809467699523,-0.32645315,-0.050313985,0,1
39,44.5,-0.185387811597555,-0.332337125,-0.056109885,0,1
40,45.5,-0.1854673294611,-0.33299105,-0.0560190625000001,0,1
