t_center,n_valid,coverage,mean_zS,retained
6.5,10,0.16666666666666666,0.6930918749472859,0
7.5,24,0.4,0.14452255538540698,0
8.5,42,0.7,0.10138347548802187,1
9.5,49,0.8166666666666667,0.049289475742090846,1
10.5,51,0.85,0.12662756200867498,1
11.5,53,0.8833333333333333,0.12694233012701978,1
12.5,55,0.9166666666666666,0.12622747837306958,1
13.5,55,0.9166666666666666,0.14004492563328957,1
14.5,57,0.95,0.15911301772175862,1
15.5,57,0.95,0.12037168287915889,1
16.5,57,0.95,0.030925827888206362,1
17.5,58,0.9666666666666667,-0.00029250832671258204,1
18.5,58,0.9666666666666667,0.13277076854984127,1
19.5,58,0.9666666666666667,0.09905445363786826,1
20.5,58,0.9666666666666667,0.007240438887001065,1
21.5,58,0.9666666666666667,0.14749241828476622,1
22.5,60,1.0,0.16609159896622802,1
23.5,60,1.0,0.05258309643481636,1
24.5,60,1.0,0.10828642411292601,1
25.5,60,1.0,0.18612351008152525,1
26.5,60,1.0,0.17584564595632557,1
27.5,60,1.0,0.16395316802572227,1
28.5,60,1.0,0.1375917235848655,1
29.5,60,1.0,0.013605648859322568,1
30.5,60,1.0,-0.04456615423228848,1
31.5,60,1.0,-0.12646398591920613,1
32.5,60,1.0,-0.0669828497110769,1
33.5,60,1.0,-0.07144810935663311,1
34.5,60,1.0,0.03895949580231428,1
35.5,59,0.9833333333333333,0.057210574702173486,1
36.5,59,0.9833333333333333,0.06666136669707053,1
37.5,59,0.9833333333333333,0.029932829864187518,1
38.5,59,0.9833333333333333,0.011441542013362324,1
39.5,60,1.0,-0.04753128984799978,1
40.5,60,1.0,0.030085839509433124,1
41.5,60,1.0,0.1327891405639778,1
42.5,60,1.0,0.1578646454989282,1
43.5,60,1.0,0.15171774800747115,1
44.5,60,1.0,0.12363009813761022,1
45.5,60,1.0,0.09645372785049416,1
46.5,60,1.0,0.015507786019524168,1
47.5,60,1.0,0.12247095019704869,1
48.5,60,1.0,0.03589846978929549,1
49.5,60,1.0,0.08962813479394456,1
50.5,60,1.0,-0.0019347386636838196,1
51.5,60,1.0,0.10289887694442501,1
52.5,59,0.9833333333333333,0.05415603605170034,1
53.5,59,0.9833333333333333,0.0250085935831656,1
54.5,60,1.0,0.06539211117971762,1
55.5,60,1.0,0.1355242155660104,1
56.5,60,1.0,0.020215155067333748,1
57.5,60,1.0,0.030361973274745303,1
58.5,60,1.0,0.11715376326797956,1
59.5,60,1.0,0.11657467163948287,1
60.5,60,1.0,-0.009199823037364826,1
61.5,60,1.0,0.08671504510169387,1
62.5,60,1.0,0.006967061215175059,1
63.5,60,1.0,-0.01878638436998036,1
64.5,60,1.0,-0.05291083607950663,1
65.5,60,1.0,-0.04253928379026903,1
66.5,60,1.0,-0.12450793345588852,1
67.5,60,1.0,-0.18179106578730791,1
68.5,60,1.0,-0.04227110679377991,1
69.5,60,1.0,-0.027713689492868825,1
70.5,60,1.0,0.02192341828315858,1
71.5,60,1.0,0.0965699820957713,1
72.5,60,1.0,0.02850814010513248,1
73.5,60,1.0,-0.018279117571508494,1
74.5,60,1.0,0.10629370940241961,1
75.5,59,0.9833333333333333,0.14451899129306123,1
76.5,59,0.9833333333333333,0.09603130006165692,1
77.5,59,0.9833333333333333,0.04594057101378522,1
78.5,59,0.9833333333333333,0.02330322760875581,1
79.5,59,0.9833333333333333,0.015009423337804674,1
80.5,60,1.0,-0.006829547770318197,1
81.5,60,1.0,0.07795527702309875,1
82.5,60,1.0,0.08074043577824527,1
83.5,60,1.0,0.038082153633833236,1
84.5,60,1.0,-0.0477909417072605,1
85.5,60,1.0,-0.03612703690946872,1
86.5,60,1.0,0.013224671273729416,1
87.5,60,1.0,-0.11654162909605059,1
88.5,60,1.0,-0.09382338730863134,1
89.5,60,1.0,-0.11641305965471797,1
90.5,60,1.0,-0.13688263682601573,1
91.5,59,0.9833333333333333,-0.25704657422979094,1
92.5,59,0.9833333333333333,-0.15853338073902468,1
93.5,60,1.0,-0.05709481699892434,1
94.5,59,0.9833333333333333,-0.029575883040913593,1
95.5,59,0.9833333333333333,-0.009957106908402163,1
96.5,59,0.9833333333333333,0.01439819218394305,1
97.5,59,0.9833333333333333,0.08197235503669098,1
98.5,59,0.9833333333333333,0.17829397014011242,1
99.5,59,0.9833333333333333,0.17921656780347597,1
100.5,59,0.9833333333333333,0.10723376794786754,1
101.5,59,0.9833333333333333,0.12957960066229204,1
102.5,59,0.9833333333333333,0.05428435607342928,1
103.5,59,0.9833333333333333,-0.053780545154874126,1
104.5,59,0.9833333333333333,-0.028581803807167915,1
105.5,59,0.9833333333333333,-0.038054624928429315,1
106.5,59,0.9833333333333333,0.046241372716207985,1
107.5,59,0.9833333333333333,0.007694697587886391,1
108.5,58,0.9666666666666667,-0.07177047357221057,1
109.5,58,0.9666666666666667,-0.03713535311484276,1
110.5,58,0.9666666666666667,-0.021365209797562238,1
111.5,58,0.9666666666666667,-0.051182671292464094,1
112.5,57,0.95,0.017604206254219427,1
113.5,58,0.9666666666666667,-0.05884874826855012,1
114.5,59,0.9833333333333333,-0.08093296785964099,1
115.5,58,0.9666666666666667,-0.13217019583963727,1
116.5,58,0.9666666666666667,-0.1715229107220019,1
117.5,58,0.9666666666666667,-0.10640667966832246,1
118.5,59,0.9833333333333333,-0.1644215985805586,1
119.5,59,0.9833333333333333,-0.1662603535798868,1
120.5,59,0.9833333333333333,-0.06808857108026171,1
121.5,58,0.9666666666666667,0.035119411679697954,1
122.5,58,0.9666666666666667,0.01417050976475251,1
123.5,58,0.9666666666666667,0.061977502374417286,1
124.5,58,0.9666666666666667,0.056366439925017095,1
125.5,58,0.9666666666666667,-0.008508170728273041,1
126.5,59,0.9833333333333333,-0.0879582539103081,1
127.5,59,0.9833333333333333,-0.02744041266402513,1
128.5,59,0.9833333333333333,-0.11667884669934198,1
129.5,59,0.9833333333333333,-0.1477575215529515,1
130.5,59,0.9833333333333333,-0.11559729591129275,1
131.5,59,0.9833333333333333,-0.06529804254588242,1
132.5,59,0.9833333333333333,-0.12261925985724623,1
133.5,59,0.9833333333333333,-0.10213624437778517,1
134.5,58,0.9666666666666667,-0.014297847882841446,1
135.5,58,0.9666666666666667,0.04936587947286368,1
136.5,58,0.9666666666666667,0.035390372119068425,1
137.5,58,0.9666666666666667,0.09288460219825104,1
138.5,58,0.9666666666666667,0.13324567435228765,1
139.5,57,0.95,0.231838307987057,1
140.5,57,0.95,0.26330946945963385,1
141.5,57,0.95,0.24045014947284624,1
142.5,57,0.95,0.12227740752536226,1
143.5,57,0.95,0.14287612141457712,1
144.5,56,0.9333333333333333,0.07780334242224493,1
145.5,57,0.95,0.04353222410456116,1
146.5,57,0.95,-0.05292310437188261,1
147.5,57,0.95,-0.07744931452697941,1
148.5,56,0.9333333333333333,-0.1398372623741784,1
149.5,56,0.9333333333333333,-0.2269672817488569,1
150.5,56,0.9333333333333333,-0.2876157324663976,1
151.5,56,0.9333333333333333,-0.13188296914528447,1
152.5,57,0.95,-0.09046521336730338,1
153.5,57,0.95,-0.09873591786809374,1
154.5,57,0.95,-0.04917598430295092,1
155.5,57,0.95,0.05740033039138355,1
156.5,57,0.95,-0.03328348078371153,1
157.5,57,0.95,0.023392826960798484,1
158.5,57,0.95,-0.016580598449761424,1
159.5,57,0.95,0.010130791977531068,1
160.5,57,0.95,-0.08150117712342567,1
161.5,57,0.95,-0.11895438176803379,1
162.5,57,0.95,-0.1880735385853141,1
163.5,57,0.95,-0.27713467755548704,1
164.5,57,0.95,-0.27820560756631496,1
165.5,57,0.95,-0.2089750674187894,1
166.5,57,0.95,-0.28254370386639865,1
167.5,57,0.95,-0.2694509559818622,1
168.5,57,0.95,-0.1984359380923953,1
169.5,56,0.9333333333333333,-0.2775134162903199,1
170.5,57,0.95,-0.2706014514172952,1
171.5,57,0.95,-0.2100318482391253,1
172.5,56,0.9333333333333333,-0.2823799901615504,1
173.5,56,0.9333333333333333,-0.28916765723431936,1
174.5,56,0.9333333333333333,-0.2129120290926428,1
175.5,54,0.9,-0.10126183409991261,1
176.5,42,0.7,-0.030315381844612296,1
