t_center,z_S_t__20170705_01_02_01,z_S_t__20170705_01_02_02,z_S_t__20170705_01_02_03,z_S_t__20170705_03_04_01,z_S_t__20170705_03_04_02,z_S_t__20170705_03_04_03,z_S_t__20170707_01_02_01,z_S_t__20170707_01_02_02,z_S_t__20170707_01_02_03,z_S_t__20170707_03_04_01,z_S_t__20170707_03_04_02,z_S_t__20170707_03_04_03,z_S_t__20170707_05_06_01,z_S_t__20170707_05_06_02,z_S_t__20170707_05_06_03,z_S_t__20170707_07_08_01,z_S_t__20170707_07_08_02,z_S_t__20170707_07_08_03,z_S_t__20170707_09_10_01,z_S_t__20170707_09_10_02,z_S_t__20170707_09_10_03,z_S_t__20170707_11_12_01,z_S_t__20170707_11_12_02,z_S_t__20170707_11_12_03,z_S_t__20170710_13_14_01,z_S_t__20170710_13_14_02,z_S_t__20170710_13_14_03,z_S_t__20170710_15_16_01,z_S_t__20170710_15_16_02,z_S_t__20170710_15_16_03,S_excess__20170705_01_02_01,S_excess__20170705_01_02_02,S_excess__20170705_01_02_03,S_excess__20170705_03_04_01,S_excess__20170705_03_04_02,S_excess__20170705_03_04_03,S_excess__20170707_01_02_01,S_excess__20170707_01_02_02,S_excess__20170707_01_02_03,S_excess__20170707_03_04_01,S_excess__20170707_03_04_02,S_excess__20170707_03_04_03,S_excess__20170707_05_06_01,S_excess__20170707_05_06_02,S_excess__20170707_05_06_03,S_excess__20170707_07_08_01,S_excess__20170707_07_08_02,S_excess__20170707_07_08_03,S_excess__20170707_09_10_01,S_excess__20170707_09_10_02,S_excess__20170707_09_10_03,S_excess__20170707_11_12_01,S_excess__20170707_11_12_02,S_excess__20170707_11_12_03,S_excess__20170710_13_14_01,S_excess__20170710_13_14_02,S_excess__20170710_13_14_03,S_excess__20170710_15_16_01,S_excess__20170710_15_16_02,S_excess__20170710_15_16_03,nA__20170705_01_02_01,nA__20170705_01_02_02,nA__20170705_01_02_03,nA__20170705_03_04_01,nA__20170705_03_04_02,nA__20170705_03_04_03,nA__20170707_01_02_01,nA__20170707_01_02_02,nA__20170707_01_02_03,nA__20170707_03_04_01,nA__20170707_03_04_02,nA__20170707_03_04_03,nA__20170707_05_06_01,nA__20170707_05_06_02,nA__20170707_05_06_03,nA__20170707_07_08_01,nA__20170707_07_08_02,nA__20170707_07_08_03,nA__20170707_09_10_01,nA__20170707_09_10_02,nA__20170707_09_10_03,nA__20170707_11_12_01,nA__20170707_11_12_02,nA__20170707_11_12_03,nA__20170710_13_14_01,nA__20170710_13_14_02,nA__20170710_13_14_03,nA__20170710_15_16_01,nA__20170710_15_16_02,nA__20170710_15_16_03,nB__20170705_01_02_01,nB__20170705_01_02_02,nB__20170705_01_02_03,nB__20170705_03_04_01,nB__20170705_03_04_02,nB__20170705_03_04_03,nB__20170707_01_02_01,nB__20170707_01_02_02,nB__20170707_01_02_03,nB__20170707_03_04_01,nB__20170707_03_04_02,nB__20170707_03_04_03,nB__20170707_05_06_01,nB__20170707_05_06_02,nB__20170707_05_06_03,nB__20170707_07_08_01,nB__20170707_07_08_02,nB__20170707_07_08_03,nB__20170707_09_10_01,nB__20170707_09_10_02,nB__20170707_09_10_03,nB__20170707_11_12_01,nB__20170707_11_12_02,nB__20170707_11_12_03,nB__20170710_13_14_01,nB__20170710_13_14_02,nB__20170710_13_14_03,nB__20170710_15_16_01,nB__20170710_15_16_02,nB__20170710_15_16_03,nM__20170705_01_02_01,nM__20170705_01_02_02,nM__20170705_01_02_03,nM__20170705_03_04_01,nM__20170705_03_04_02,nM__20170705_03_04_03,nM__20170707_01_02_01,nM__20170707_01_02_02,nM__20170707_01_02_03,nM__20170707_03_04_01,nM__20170707_03_04_02,nM__20170707_03_04_03,nM__20170707_05_06_01,nM__20170707_05_06_02,nM__20170707_05_06_03,nM__20170707_07_08_01,nM__20170707_07_08_02,nM__20170707_07_08_03,nM__20170707_09_10_01,nM__20170707_09_10_02,nM__20170707_09_10_03,nM__20170707_11_12_01,nM__20170707_11_12_02,nM__20170707_11_12_03,nM__20170710_13_14_01,nM__20170710_13_14_02,nM__20170710_13_14_03,nM__20170710_15_16_01,nM__20170710_15_16_02,nM__20170710_15_16_03,episode__20170705_01_02_01,episode__20170705_01_02_02,episode__20170705_01_02_03,episode__20170705_03_04_01,episode__20170705_03_04_02,episode__20170705_03_04_03,episode__20170707_01_02_01,episode__20170707_01_02_02,episode__20170707_01_02_03,episode__20170707_03_04_01,episode__20170707_03_04_02,episode__20170707_03_04_03,episode__20170707_05_06_01,episode__20170707_05_06_02,episode__20170707_05_06_03,episode__20170707_07_08_01,episode__20170707_07_08_02,episode__20170707_07_08_03,episode__20170707_09_10_01,episode__20170707_09_10_02,episode__20170707_09_10_03,episode__20170707_11_12_01,episode__20170707_11_12_02,episode__20170707_11_12_03,episode__20170710_13_14_01,episode__20170710_13_14_02,episode__20170710_13_14_03,episode__20170710_15_16_01,episode__20170710_15_16_02,episode__20170710_15_16_03
6.5,,,,0.8080792056574135,1.30893433437985,0.6528471673352854,0.8742557346768072,,0.7235021382605002,,,,,,,,,,,,,0.3766417951465288,0.8997454217573058,,,,1.013187549655722,,,,,,,0.1491511849261849,0.2507366009205792,0.1193359847762055,0.187808925560164,,0.1340523897689632,,,,,,,,,,,,,0.0643402212166918,0.191965436876505,,,,0.1631863719441892,,,,,,,8.0,10.0,11.0,5.0,,10.0,,,,,,,,,,,,,7.0,8.0,,,,9.0,,,,,,,7.0,9.0,11.0,8.0,,12.0,,,,,,,,,,,,,9.0,9.0,,,,10.0,,,,,,,4.0,7.0,7.0,4.0,,7.0,,,,,,,,,,,,,4.0,6.0,,,,6.0,,,,,,,0,0,0.0,0.0,,0,,,,,,,,,,,,,0,0,,,,0,,,
7.5,,,,1.7114437411685226,1.3380358181375145,1.311303164777209,1.1220734963454413,,0.7446838437757671,-1.313014419537078,,,,,,,,,,,0.0384210308729518,-0.3519402225128215,0.5184659919507457,-0.8794974976977569,,,1.1280064745007814,,,,,,,0.3110930968927873,0.2437306448625334,0.2474980271792191,0.2317222288547365,,0.1406296166423875,-0.2349984604233056,,,,,,,,,,,0.0069136123680241,-0.0641478183581124,0.111797342621259,-0.188587765012765,,,0.1843728887641426,,,,,,,9.0,10.0,10.0,7.0,,10.0,9.0,,,,,,,,,,,9.0,6.0,7.0,8.0,,,8.0,,,,,,,8.0,9.0,9.0,8.0,,10.0,9.0,,,,,,,,,,,7.0,9.0,9.0,8.0,,,10.0,,,,,,,6.0,7.0,7.0,5.0,,6.0,2.0,,,,,,,,,,,3.0,3.0,5.0,2.0,,,6.0,,,,,,,1,0,0.0,0.0,,0,0.0,,,,,,,,,,,0.0,0,0,0.0,,,0,,,
8.5,,,0.3014440409970104,1.861942220266912,0.7656511444076929,0.3298751452665781,1.6454351671595673,1.4433159639622908,0.0628436348731188,-1.1596986905538296,-0.9182588420395026,-0.4619270431994327,,,,,,,2.1286320747531065,-2.1743973990850924,-0.0898192452518309,-0.0988026094133434,-0.5146573618280951,-0.8425906959528928,-0.0987824477015557,-1.3226400485906409,1.1029281181758444,,-0.8886883005940723,,,,0.059784188034188,0.3651366953308129,0.1329586559725104,0.0645556995635943,0.3388591248191093,0.2697931338269574,0.0105604973685771,-0.2193919033752625,-0.1675072004792593,-0.0921354050662099,,,,,,,0.3504750044932707,-0.4298218091420103,-0.0166304530436883,-0.018495871938519,-0.1034151493930905,-0.1763978485566721,-0.0160132245205774,-0.1853195464150573,0.2040838789091884,,-0.1729605117105117,,,,7.0,9.0,9.0,9.0,9.0,12.0,10.0,9.0,9.0,8.0,,,,,,,9.0,8.0,9.0,5.0,8.0,9.0,6.0,9.0,8.0,,5.0,,,,7.0,7.0,10.0,9.0,9.0,5.0,11.0,8.0,7.0,8.0,,,,,,,9.0,9.0,7.0,9.0,8.0,7.0,9.0,11.0,10.0,,7.0,,,,3.0,6.0,6.0,5.0,7.0,5.0,5.0,2.0,2.0,3.0,,,,,,,7.0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,6.0,,1.0,,,,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,,0.0,
9.5,,,0.5069197599075497,1.7001617372524072,0.3596692824665889,-0.4685457627034159,1.7523355260147335,0.8009514610210815,0.7465923488604891,-1.0536137819178188,-0.3402766302414005,0.0913066226270614,,,,,,,2.1323701372622006,-1.0479139196324148,-0.48475933388355,-0.8861529697547528,0.3641003264963742,-0.3922527385700997,-0.1251507047328125,-1.9990241613823116,0.7885508009584545,,-0.8224091155806389,-1.3116971834521614,,,0.0974061361840774,0.3557646316531765,0.0674270821541719,-0.0959945426520503,0.3567254939333113,0.1494998743086978,0.1197223162260482,-0.1998648539369127,-0.0656571327365445,0.016692192680041,,,,,,,0.3684240790255496,-0.2215383813468953,-0.0893015116032917,-0.1831692792501616,0.0727304388422035,-0.0742350610174139,-0.0219735132514543,-0.2773106356577718,0.1536565917742388,,-0.1611544178044178,-0.2758253635253635,,,6.0,8.0,7.0,7.0,11.0,12.0,10.0,9.0,9.0,8.0,,,,,,,9.0,10.0,8.0,6.0,7.0,10.0,6.0,8.0,9.0,,7.0,2.0,,,7.0,8.0,8.0,9.0,9.0,5.0,11.0,8.0,7.0,9.0,,,,,,,7.0,8.0,9.0,9.0,8.0,7.0,9.0,11.0,8.0,,6.0,5.0,,,3.0,6.0,4.0,3.0,8.0,4.0,6.0,2.0,3.0,4.0,,,,,,,6.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,5.0,,1.0,0.0,,,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,,0.0,0.0
10.5,,-1.2348614610527804,0.1387228635065636,2.1602558192091315,0.3541543774742645,-0.296942286086877,1.408120384683001,0.8227854208702982,-0.1390675387014857,-1.1011735591099057,-0.3024807343023668,-0.0744973818684621,,,,,,,1.3693102314986625,-0.6679802920605832,-0.4750338455099659,-0.1951590510259369,1.0618018931995064,0.4145158202421232,-0.0152735081941778,-1.2238815062398536,0.2551404091237157,1.1807543106598115,-0.5910143608200266,-1.3924502901910067,,-0.2275993173493173,0.0261533779945545,0.4734889011830961,0.0679874797029595,-0.0641455994384012,0.2967401822549655,0.1529090337766808,-0.0234462914106877,-0.2212834353211288,-0.0559182531520766,-0.0121012800924565,,,,,,,0.2472128260628259,-0.1306828317966863,-0.0892611247197934,-0.041840000359118,0.2007593227034403,0.0798424581953993,-0.0024917499167498,-0.175922084623323,0.0531282683003271,0.2300619408369408,-0.1215059940059939,-0.285780352980353,,7.0,7.0,7.0,7.0,6.0,11.0,12.0,8.0,9.0,9.0,8.0,,,,,,,8.0,9.0,8.0,5.0,9.0,9.0,7.0,8.0,9.0,6.0,7.0,4.0,,7.0,8.0,7.0,8.0,9.0,8.0,5.0,10.0,8.0,7.0,7.0,,,,,,,6.0,9.0,9.0,9.0,7.0,7.0,8.0,11.0,8.0,8.0,5.0,5.0,,1.0,3.0,6.0,4.0,3.0,7.0,4.0,4.0,2.0,3.0,3.0,,,,,,,4.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,1.0,0.0,,0.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
11.5,,-1.11065144118376,-0.4730120991601494,2.5641456709102144,0.8283000590390844,-0.282516881812793,1.1330252916512136,0.5552193844357184,-1.0460576371092958,-1.3301512599216885,-0.2869121510248017,0.0149654643396902,,,,0.1025018834926284,0.4775303433217946,,1.1390600333422922,-0.6134165737923333,0.74657258275858,0.3307830208461927,1.2426392921646272,0.2558949552701438,0.169710485769784,-0.489542781332606,0.2434434046009839,1.5898285196302195,-0.5180503125403574,-1.3286029845462075,,-0.2088298257298257,-0.0941021638492227,0.5397323516095188,0.1556630785880786,-0.059656356079421,0.2393794907105278,0.1001819175922117,-0.1915639696045268,-0.2622804435760317,-0.0544685275508805,0.00224091300856,,,,0.0182108197358197,0.0767152058124194,,0.2054474192474192,-0.1183773609173764,0.1403816966057678,0.0709522211448682,0.2083102725705667,0.04974477303742,0.0273735264735264,-0.0723839574426261,0.0540639437360025,0.3124921800421801,-0.109601726051726,-0.2841827783327783,,7.0,6.0,6.0,7.0,6.0,11.0,12.0,7.0,9.0,9.0,9.0,,,,3.0,6.0,,7.0,9.0,8.0,6.0,7.0,9.0,6.0,8.0,9.0,7.0,7.0,5.0,,6.0,8.0,7.0,7.0,9.0,9.0,4.0,9.0,6.0,7.0,6.0,,,,7.0,10.0,,5.0,9.0,9.0,9.0,6.0,8.0,8.0,11.0,8.0,6.0,5.0,5.0,,1.0,2.0,6.0,4.0,3.0,7.0,3.0,2.0,1.0,3.0,3.0,,,,2.0,4.0,,3.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,0.0,,0.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
12.5,0.3653273294762491,-0.8612422008667299,-0.477084767297817,1.8735418871786864,1.1945324814920115,0.427766755747611,1.6106552538932353,-0.4385967553156322,-0.3727036424722545,-0.0714159932959012,-0.4359232292505175,0.4368217424687267,,,,0.5583994139462757,0.1549535718735051,,-0.049300337395833,0.7192822022862679,1.2035171754196523,1.023479863287953,0.1498641456175011,0.5541609597616092,-0.5647653801609032,-0.8538245305207866,-0.4230086338890765,1.5650463651758535,-1.2674254351726124,-1.097681726041445,0.0738815823065823,-0.1584197857697857,-0.0927966941555177,0.3610773037935577,0.216659136615019,0.0868613782931894,0.3462845129414789,-0.0830321185350597,-0.0660530392208411,-0.0130758945560803,-0.0816950583472255,0.0695275474525474,,,,0.0941562315135844,0.0255194965165553,,-0.0094557165057165,0.1377107903706201,0.2184114394205725,0.2282271385477267,0.0271150183150182,0.108267109438549,-0.0929178155178155,-0.1298764841024129,-0.0814496720599661,0.314470140970141,-0.2803236152736152,-0.228580808080808,9.0,7.0,6.0,4.0,7.0,7.0,11.0,12.0,7.0,9.0,8.0,9.0,,,,4.0,7.0,,6.0,9.0,8.0,7.0,8.0,9.0,7.0,7.0,9.0,7.0,5.0,6.0,6.0,5.0,8.0,7.0,6.0,10.0,9.0,5.0,9.0,7.0,8.0,5.0,,,,8.0,10.0,,6.0,8.0,10.0,8.0,6.0,9.0,7.0,11.0,8.0,6.0,5.0,4.0,3.0,1.0,2.0,4.0,4.0,5.0,8.0,2.0,3.0,3.0,3.0,3.0,,,,3.0,4.0,,2.0,5.0,6.0,5.0,3.0,5.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
13.5,-0.2720093283431478,0.4633004520216365,0.4162314043217024,1.3434347919910066,2.4515165968243275,1.3817991710530038,1.719321064509005,-0.455826900277203,0.1253285639682114,0.1559718118499625,-0.0235865248155328,-0.293973900714338,,,,0.1963802833905823,-0.4997050550359204,,-0.452982423727273,1.0932444392281002,0.9077723960096328,0.5414087935018801,1.1552568820466738,0.9620266653069012,-0.4892376478869628,-0.578333019617629,-0.6862307434275773,1.00793708637257,-0.5517868114987716,-0.0484013763171582,-0.0559928710178709,0.0735924575424575,0.0840525668775668,0.2418387950285009,0.399111157469981,0.2781746717077212,0.3486890861804175,-0.0845220071294374,0.0236016840057087,0.0272793428793428,-0.0044729260935142,-0.0481531635031634,,,,0.0337586126292009,-0.0822694784661503,,-0.0889211566211566,0.1929659493757016,0.1665355598649716,0.1098049827623356,0.2228336242189183,0.2022821081824951,-0.0815899433899434,-0.0933112308486147,-0.10998665895508,0.1989001054501054,-0.120778255078255,-0.0101960317460317,7.0,7.0,6.0,4.0,9.0,8.0,11.0,10.0,7.0,9.0,8.0,8.0,,,,4.0,7.0,,4.0,8.0,9.0,6.0,8.0,9.0,7.0,8.0,9.0,6.0,5.0,7.0,6.0,4.0,7.0,6.0,6.0,10.0,9.0,6.0,7.0,6.0,7.0,5.0,,,,9.0,10.0,,5.0,8.0,10.0,9.0,7.0,9.0,7.0,9.0,9.0,6.0,6.0,3.0,2.0,2.0,3.0,3.0,6.0,7.0,8.0,2.0,3.0,3.0,3.0,2.0,,,,3.0,3.0,,1.0,5.0,6.0,4.0,5.0,6.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
14.5,-0.9705881913414708,0.2722299800201805,0.525185817464117,1.5288508365795084,1.5390600588370142,1.95990937338518,1.2907189069431788,-0.2485036804767192,0.3815956335101955,0.1889408182938581,-0.527178859622686,-0.5292574499048482,,0.3095449261876572,1.0769647852164794,-0.2826463128395526,-0.8075567957846536,,-0.2098544546411996,0.6005133993202793,0.7353429015925209,1.3439303161170846,1.1900366412917769,0.7398593932992783,0.3760187677473861,0.5307408784081814,-0.9062532483507266,0.1844487701432394,0.4034760925389156,-0.0611698912229005,-0.2057418831168831,0.0463387279387279,0.1064859529359529,0.2700648405516052,0.2774283247797954,0.3677026096624393,0.2525198061914006,-0.0468765037250331,0.0682188400265025,0.0331254518357459,-0.1006533060077178,-0.0897355761885174,,0.0557884173016526,0.2310148165559929,-0.0469923549446769,-0.1421916704210821,,-0.0404757242757243,0.1142120100487747,0.1350964676018855,0.2580411369676075,0.2329202294953069,0.1617505528183547,0.0644080586080586,0.0910354098515863,-0.1486492058766826,0.0340983904983904,0.0927877955377955,-0.0130420634920634,7.0,8.0,7.0,4.0,10.0,10.0,11.0,10.0,7.0,9.0,8.0,8.0,,8.0,7.0,5.0,7.0,,5.0,8.0,10.0,5.0,9.0,10.0,7.0,7.0,8.0,6.0,4.0,7.0,6.0,4.0,6.0,6.0,7.0,9.0,9.0,5.0,9.0,6.0,6.0,6.0,,7.0,7.0,10.0,8.0,,7.0,7.0,10.0,9.0,8.0,9.0,7.0,8.0,10.0,6.0,6.0,3.0,1.0,2.0,3.0,3.0,6.0,8.0,7.0,2.0,4.0,3.0,2.0,2.0,,3.0,4.0,3.0,2.0,,2.0,4.0,6.0,5.0,6.0,6.0,3.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
15.5,-1.7458026627948668,-0.1524072462604763,1.1962654590675392,1.3416575403613182,1.5014524341238829,0.8005633908862666,1.2792286492897302,-0.4889682804655465,0.8019462171191478,1.5286452328870068,-0.4571489137879935,0.4725389184092982,,-0.1178091668868092,1.813074790982972,-0.8494778728410148,-1.3717651251040677,,0.5204601350522866,0.37214006489083,-0.0183945443078437,0.7497502504991593,1.1043950531402504,0.6601198662113725,0.2689254180253346,0.5211747371426358,-1.4871647316163463,0.1988545187487312,0.91874223883682,0.0889189022011611,-0.3583765429015428,-0.0271295704295704,0.2303903041403041,0.2466905098169803,0.2821953027364792,0.1521598657792156,0.2503702989219243,-0.0942089174413478,0.1537419952424596,0.2850906988436399,-0.0838890609390609,0.0867283453474629,,-0.021930475080475,0.3755517058105293,-0.1395961605388075,-0.254445845167904,,0.1025943767017296,0.0724291860100684,-0.003564147926377,0.1366551737478207,0.2337574991400068,0.1424592291695232,0.045593573093573,0.0937759792495086,-0.2540275002173609,0.0346733377733377,0.2115356504606503,0.0178310245310245,7.0,8.0,8.0,4.0,10.0,10.0,11.0,9.0,9.0,9.0,7.0,9.0,,7.0,7.0,5.0,5.0,,4.0,7.0,9.0,6.0,10.0,9.0,7.0,7.0,7.0,6.0,4.0,6.0,6.0,5.0,6.0,6.0,7.0,9.0,9.0,6.0,8.0,6.0,6.0,7.0,,6.0,7.0,9.0,8.0,,8.0,6.0,9.0,8.0,9.0,8.0,7.0,8.0,10.0,6.0,7.0,3.0,0.0,2.0,4.0,3.0,6.0,6.0,7.0,2.0,5.0,5.0,2.0,4.0,,2.0,5.0,2.0,1.0,,3.0,3.0,4.0,4.0,7.0,5.0,3.0,4.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
