n_A,n_B,n_matched,z_S,p_S,STR,Max_episode,T_overlap,timeline_csv,pair_id,file_a,file_b,condition
209,188,138,-0.5008785275587028,0.7406259374062594,0.0,0.0,169.0,out_grid_invisible_d0.3/0.3_pair_20170705_01_02_01_timeline.csv,20170705_01_02_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170705_01_02_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170705_01_02_01_B.csv,invisible_pair_Human
223,207,160,0.42736387890981203,0.38706129387061294,0.0,0.0,172.4,out_grid_invisible_d0.3/0.3_pair_20170705_01_02_02_timeline.csv,20170705_01_02_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170705_01_02_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170705_01_02_02_B.csv,invisible_pair_Human
207,226,159,0.06412278656343436,0.5253474652534746,0.017271157167530225,3.0,173.7,out_grid_invisible_d0.3/0.3_pair_20170705_01_02_03_timeline.csv,20170705_01_02_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170705_01_02_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170705_01_02_03_B.csv,invisible_pair_Human
231,237,169,0.9912681123636722,0.18888111188881113,0.01698754246885617,3.0,176.60000000000002,out_grid_invisible_d0.3/0.3_pair_20170705_03_04_01_timeline.csv,20170705_03_04_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170705_03_04_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170705_03_04_01_B.csv,invisible_pair_Human
270,250,194,-0.14220227576204006,0.5869413058694131,0.0,0.0,175.79999999999998,out_grid_invisible_d0.3/0.3_pair_20170705_03_04_02_timeline.csv,20170705_03_04_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170705_03_04_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170705_03_04_02_B.csv,invisible_pair_Human
267,274,215,1.448948259089201,0.09249075092490751,0.0,0.0,175.5,out_grid_invisible_d0.3/0.3_pair_20170705_03_04_03_timeline.csv,20170705_03_04_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170705_03_04_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170705_03_04_03_B.csv,invisible_pair_Human
243,245,180,0.6582463890621187,0.293970602939706,0.0,0.0,174.79999999999998,out_grid_invisible_d0.3/0.3_pair_20170707_01_02_01_timeline.csv,20170707_01_02_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_01_02_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_01_02_01_B.csv,invisible_pair_Human
237,253,177,0.7642198122313761,0.2536746325367463,0.0,0.0,168.89999999999998,out_grid_invisible_d0.3/0.3_pair_20170707_01_02_02_timeline.csv,20170707_01_02_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_01_02_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_01_02_02_B.csv,invisible_pair_Human
257,287,202,0.09758457688250445,0.49925007499250074,0.0,0.0,175.9,out_grid_invisible_d0.3/0.3_pair_20170707_01_02_03_timeline.csv,20170707_01_02_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_01_02_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_01_02_03_B.csv,invisible_pair_Human
264,204,162,-1.3235808903433746,0.9261073892610739,0.0,0.0,175.4,out_grid_invisible_d0.3/0.3_pair_20170707_03_04_01_timeline.csv,20170707_03_04_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_03_04_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_03_04_01_B.csv,invisible_pair_Human
265,196,171,1.1481732686871262,0.1618838116188381,0.01723147616312464,3.0,174.1,out_grid_invisible_d0.3/0.3_pair_20170707_03_04_02_timeline.csv,20170707_03_04_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_03_04_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_03_04_02_B.csv,invisible_pair_Human
273,209,184,1.2414034951703812,0.1317868213178682,0.0,0.0,174.4,out_grid_invisible_d0.3/0.3_pair_20170707_03_04_03_timeline.csv,20170707_03_04_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_03_04_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_03_04_03_B.csv,invisible_pair_Human
179,160,103,-0.8958033053061891,0.8427157284271573,0.0,0.0,164.8,out_grid_invisible_d0.3/0.3_pair_20170707_05_06_01_timeline.csv,20170707_05_06_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_05_06_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_05_06_01_B.csv,invisible_pair_Human
198,175,120,0.08779328176456346,0.5291470852914708,0.0,0.0,168.20000000000002,out_grid_invisible_d0.3/0.3_pair_20170707_05_06_02_timeline.csv,20170707_05_06_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_05_06_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_05_06_02_B.csv,invisible_pair_Human
189,185,115,-1.945987280083793,0.9766023397660234,0.0,0.0,166.79999999999998,out_grid_invisible_d0.3/0.3_pair_20170707_05_06_03_timeline.csv,20170707_05_06_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_05_06_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_05_06_03_B.csv,invisible_pair_Human
204,247,176,1.4487579126875079,0.10008999100089991,0.0,0.0,169.29999999999998,out_grid_invisible_d0.3/0.3_pair_20170707_07_08_01_timeline.csv,20170707_07_08_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_07_08_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_07_08_01_B.csv,invisible_pair_Human
214,286,186,-1.3168195143392665,0.9297070292970703,0.017584994138335287,3.0,170.6,out_grid_invisible_d0.3/0.3_pair_20170707_07_08_02_timeline.csv,20170707_07_08_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_07_08_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_07_08_02_B.csv,invisible_pair_Human
187,276,169,-0.3978192041168241,0.728027197280272,0.0,0.0,159.9,out_grid_invisible_d0.3/0.3_pair_20170707_07_08_03_timeline.csv,20170707_07_08_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_07_08_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_07_08_03_B.csv,invisible_pair_Human
213,223,154,-0.08365018315977452,0.565043495650435,0.0,0.0,174.1,out_grid_invisible_d0.3/0.3_pair_20170707_09_10_01_timeline.csv,20170707_09_10_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_09_10_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_09_10_01_B.csv,invisible_pair_Human
250,247,192,-1.1023253945666,0.8947105289471053,0.0,0.0,173.8,out_grid_invisible_d0.3/0.3_pair_20170707_09_10_02_timeline.csv,20170707_09_10_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_09_10_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_09_10_02_B.csv,invisible_pair_Human
232,249,176,-0.7426729239757716,0.8137186281371863,0.01710376282782212,3.0,175.4,out_grid_invisible_d0.3/0.3_pair_20170707_09_10_03_timeline.csv,20170707_09_10_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_09_10_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_09_10_03_B.csv,invisible_pair_Human
246,244,191,-1.284371757438183,0.924907509249075,0.0,0.0,175.4,out_grid_invisible_d0.3/0.3_pair_20170707_11_12_01_timeline.csv,20170707_11_12_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_11_12_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_11_12_01_B.csv,invisible_pair_Human
285,267,237,0.5779407924747036,0.35106489351064896,0.0,0.0,175.60000000000002,out_grid_invisible_d0.3/0.3_pair_20170707_11_12_02_timeline.csv,20170707_11_12_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_11_12_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_11_12_02_B.csv,invisible_pair_Human
258,252,211,0.6729610501819397,0.30346965303469653,0.0,0.0,174.5,out_grid_invisible_d0.3/0.3_pair_20170707_11_12_03_timeline.csv,20170707_11_12_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_11_12_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_11_12_03_B.csv,invisible_pair_Human
205,247,165,-0.8110989470433504,0.8293170682931706,0.017371163867979156,3.0,172.7,out_grid_invisible_d0.3/0.3_pair_20170710_13_14_01_timeline.csv,20170710_13_14_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170710_13_14_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170710_13_14_01_B.csv,invisible_pair_Human
240,288,206,-0.7032284357127748,0.8134186581341866,0.0,0.0,174.5,out_grid_invisible_d0.3/0.3_pair_20170710_13_14_02_timeline.csv,20170710_13_14_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170710_13_14_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170710_13_14_02_B.csv,invisible_pair_Human
247,320,224,-0.7572397618761242,0.8344165583441656,0.0,0.0,175.7,out_grid_invisible_d0.3/0.3_pair_20170710_13_14_03_timeline.csv,20170710_13_14_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170710_13_14_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170710_13_14_03_B.csv,invisible_pair_Human
157,184,108,-0.9481941979052613,0.8579142085791421,0.0,0.0,171.3,out_grid_invisible_d0.3/0.3_pair_20170710_15_16_01_timeline.csv,20170710_15_16_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170710_15_16_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170710_15_16_01_B.csv,invisible_pair_Human
169,196,122,-0.6387516089320703,0.7806219378062194,0.0,0.0,173.7,out_grid_invisible_d0.3/0.3_pair_20170710_15_16_02_timeline.csv,20170710_15_16_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170710_15_16_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170710_15_16_02_B.csv,invisible_pair_Human
153,182,107,-0.09165987149592647,0.5962403759624038,0.0,0.0,171.89999999999998,out_grid_invisible_d0.3/0.3_pair_20170710_15_16_03_timeline.csv,20170710_15_16_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170710_15_16_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170710_15_16_03_B.csv,invisible_pair_Human
