n_A,n_B,n_matched,z_S,p_S,STR,Max_episode,T_overlap,timeline_csv,pair_id,file_a,file_b,condition
209,188,166,0.3801074546829827,0.4064593540645935,0.0236686390532544,4.0,169.0,out_grid_invisible_d1.0/1.0_pair_20170705_01_02_01_timeline.csv,20170705_01_02_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170705_01_02_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170705_01_02_01_B.csv,invisible_pair_Human
223,207,180,-0.5751728082503166,0.7748225177482252,0.0,0.0,172.4,out_grid_invisible_d1.0/1.0_pair_20170705_01_02_02_timeline.csv,20170705_01_02_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170705_01_02_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170705_01_02_02_B.csv,invisible_pair_Human
207,226,177,-1.4763543757468818,0.9568043195680432,0.0172711571675302,3.0,173.7,out_grid_invisible_d1.0/1.0_pair_20170705_01_02_03_timeline.csv,20170705_01_02_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170705_01_02_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170705_01_02_03_B.csv,invisible_pair_Human
231,237,190,0.4951378988370575,0.3477652234776522,0.0,0.0,176.60000000000002,out_grid_invisible_d1.0/1.0_pair_20170705_03_04_01_timeline.csv,20170705_03_04_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170705_03_04_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170705_03_04_01_B.csv,invisible_pair_Human
270,250,217,-0.6836036923757328,0.77992200779922,0.0,0.0,175.79999999999998,out_grid_invisible_d1.0/1.0_pair_20170705_03_04_02_timeline.csv,20170705_03_04_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170705_03_04_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170705_03_04_02_B.csv,invisible_pair_Human
267,274,233,0.204804920459304,0.4733526647335266,0.0,0.0,175.5,out_grid_invisible_d1.0/1.0_pair_20170705_03_04_03_timeline.csv,20170705_03_04_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170705_03_04_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170705_03_04_03_B.csv,invisible_pair_Human
243,245,208,2.237736846539323,0.0370962903709629,0.0,0.0,174.79999999999998,out_grid_invisible_d1.0/1.0_pair_20170707_01_02_01_timeline.csv,20170707_01_02_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_01_02_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_01_02_01_B.csv,invisible_pair_Human
237,253,197,0.590076445764566,0.2793720627937206,0.0,0.0,168.89999999999998,out_grid_invisible_d1.0/1.0_pair_20170707_01_02_02_timeline.csv,20170707_01_02_02,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_01_02_02_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_01_02_02_B.csv,invisible_pair_Human
257,287,228,-0.0575711005690436,0.5842415758424158,0.0,0.0,175.9,out_grid_invisible_d1.0/1.0_pair_20170707_01_02_03_timeline.csv,20170707_01_02_03,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_01_02_03_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_01_02_03_B.csv,invisible_pair_Human
264,204,190,0.9273622843476048,0.2394760523947605,0.0228050171037628,4.0,175.4,out_grid_invisible_d1.0/1.0_pair_20170707_03_04_01_timeline.csv,20170707_03_04_01,../annotation_raw_data_chewonly/invisible_pair_Human/A/20170707_03_04_01_A.csv,../annotation_raw_data_chewonly/invisible_pair_Human/B/20170707_03_04_01_B.csv,invisible_pair_Human
