n_A,n_B,n_matched,z_S,p_S,STR,Max_episode,T_overlap,timeline_csv,pair_id,file_a,file_b,condition
252,181,73,-0.7020681614019687,0.7728227177282272,0.0,0.0,175.39999999999998,out_grid_visible_d0.1/0.1_pair_20170706_01_02_01_timeline.csv,20170706_01_02_01,../annotation_raw_data_chewonly/visible_pair_Human/A/20170706_01_02_01_A.csv,../annotation_raw_data_chewonly/visible_pair_Human/B/20170706_01_02_01_B.csv,visible_pair_Human
244,192,85,0.5672327191868229,0.30546945305469453,0.0,0.0,174.6,out_grid_visible_d0.1/0.1_pair_20170706_01_02_02_timeline.csv,20170706_01_02_02,../annotation_raw_data_chewonly/visible_pair_Human/A/20170706_01_02_02_A.csv,../annotation_raw_data_chewonly/visible_pair_Human/B/20170706_01_02_02_B.csv,visible_pair_Human
233,167,64,-0.4106441716680083,0.675032496750325,0.0,0.0,174.5,out_grid_visible_d0.1/0.1_pair_20170706_01_02_03_timeline.csv,20170706_01_02_03,../annotation_raw_data_chewonly/visible_pair_Human/A/20170706_01_02_03_A.csv,../annotation_raw_data_chewonly/visible_pair_Human/B/20170706_01_02_03_B.csv,visible_pair_Human
224,226,95,0.9538986619968878,0.18788121187881213,0.06904487917146146,5.0,173.79999999999998,out_grid_visible_d0.1/0.1_pair_20170706_03_04_01_timeline.csv,20170706_03_04_01,../annotation_raw_data_chewonly/visible_pair_Human/A/20170706_03_04_01_A.csv,../annotation_raw_data_chewonly/visible_pair_Human/B/20170706_03_04_01_B.csv,visible_pair_Human
228,230,91,0.12069752083030078,0.46765323467653236,0.06888633754305395,5.0,174.20000000000002,out_grid_visible_d0.1/0.1_pair_20170706_03_04_02_timeline.csv,20170706_03_04_02,../annotation_raw_data_chewonly/visible_pair_Human/A/20170706_03_04_02_A.csv,../annotation_raw_data_chewonly/visible_pair_Human/B/20170706_03_04_02_B.csv,visible_pair_Human
232,259,117,1.6458802236914212,0.059694030596940305,0.028868360277136258,5.0,173.20000000000002,out_grid_visible_d0.1/0.1_pair_20170706_03_04_03_timeline.csv,20170706_03_04_03,../annotation_raw_data_chewonly/visible_pair_Human/A/20170706_03_04_03_A.csv,../annotation_raw_data_chewonly/visible_pair_Human/B/20170706_03_04_03_B.csv,visible_pair_Human
204,194,69,0.23659229099038578,0.42375762423757624,0.051487414187643014,3.0,174.8,out_grid_visible_d0.1/0.1_pair_20170706_05_06_01_timeline.csv,20170706_05_06_01,../annotation_raw_data_chewonly/visible_pair_Human/A/20170706_05_06_01_A.csv,../annotation_raw_data_chewonly/visible_pair_Human/B/20170706_05_06_01_B.csv,visible_pair_Human
228,219,87,0.24602868302706193,0.42615738426157385,0.028522532800912718,5.0,175.3,out_grid_visible_d0.1/0.1_pair_20170706_05_06_02_timeline.csv,20170706_05_06_02,../annotation_raw_data_chewonly/visible_pair_Human/A/20170706_05_06_02_A.csv,../annotation_raw_data_chewonly/visible_pair_Human/B/20170706_05_06_02_B.csv,visible_pair_Human
236,213,85,-0.010440488608772955,0.5394460553944606,0.03414911781445646,6.0,175.7,out_grid_visible_d0.1/0.1_pair_20170706_05_06_03_timeline.csv,20170706_05_06_03,../annotation_raw_data_chewonly/visible_pair_Human/A/20170706_05_06_03_A.csv,../annotation_raw_data_chewonly/visible_pair_Human/B/20170706_05_06_03_B.csv,visible_pair_Human
163,193,63,1.4094840173131122,0.09419058094190581,0.058038305281485784,6.0,172.29999999999998,out_grid_visible_d0.1/0.1_pair_20170706_11_12_01_timeline.csv,20170706_11_12_01,../annotation_raw_data_chewonly/visible_pair_Human/A/20170706_11_12_01_A.csv,../annotation_raw_data_chewonly/visible_pair_Human/B/20170706_11_12_01_B.csv,visible_pair_Human
