t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,S_excess__20170706_01_02_01,S_excess__20170706_01_02_02,S_excess__20170706_01_02_03,S_excess__20170706_03_04_01,S_excess__20170706_03_04_02,S_excess__20170706_03_04_03,S_excess__20170706_05_06_01,S_excess__20170706_05_06_02,S_excess__20170706_05_06_03,S_excess__20170706_11_12_01,S_excess__20170706_11_12_02,S_excess__20170706_11_12_03,S_excess__20170710_01_02_01,S_excess__20170710_01_02_02,S_excess__20170710_01_02_03,S_excess__20170710_07_08_01,S_excess__20170710_07_08_02,S_excess__20170710_07_08_03,S_excess__20170714_01_02_01,S_excess__20170714_01_02_02,S_excess__20170714_01_02_03,S_excess__20170714_03_04_01,S_excess__20170714_03_04_02,S_excess__20170714_03_04_03,S_excess__20170714_05_06_01,S_excess__20170714_05_06_02,S_excess__20170714_05_06_03,S_excess__20170714_07_08_01,S_excess__20170714_07_08_02,S_excess__20170714_07_08_03,nA__20170706_01_02_01,nA__20170706_01_02_02,nA__20170706_01_02_03,nA__20170706_03_04_01,nA__20170706_03_04_02,nA__20170706_03_04_03,nA__20170706_05_06_01,nA__20170706_05_06_02,nA__20170706_05_06_03,nA__20170706_11_12_01,nA__20170706_11_12_02,nA__20170706_11_12_03,nA__20170710_01_02_01,nA__20170710_01_02_02,nA__20170710_01_02_03,nA__20170710_07_08_01,nA__20170710_07_08_02,nA__20170710_07_08_03,nA__20170714_01_02_01,nA__20170714_01_02_02,nA__20170714_01_02_03,nA__20170714_03_04_01,nA__20170714_03_04_02,nA__20170714_03_04_03,nA__20170714_05_06_01,nA__20170714_05_06_02,nA__20170714_05_06_03,nA__20170714_07_08_01,nA__20170714_07_08_02,nA__20170714_07_08_03,nB__20170706_01_02_01,nB__20170706_01_02_02,nB__20170706_01_02_03,nB__20170706_03_04_01,nB__20170706_03_04_02,nB__20170706_03_04_03,nB__20170706_05_06_01,nB__20170706_05_06_02,nB__20170706_05_06_03,nB__20170706_11_12_01,nB__20170706_11_12_02,nB__20170706_11_12_03,nB__20170710_01_02_01,nB__20170710_01_02_02,nB__20170710_01_02_03,nB__20170710_07_08_01,nB__20170710_07_08_02,nB__20170710_07_08_03,nB__20170714_01_02_01,nB__20170714_01_02_02,nB__20170714_01_02_03,nB__20170714_03_04_01,nB__20170714_03_04_02,nB__20170714_03_04_03,nB__20170714_05_06_01,nB__20170714_05_06_02,nB__20170714_05_06_03,nB__20170714_07_08_01,nB__20170714_07_08_02,nB__20170714_07_08_03,nM__20170706_01_02_01,nM__20170706_01_02_02,nM__20170706_01_02_03,nM__20170706_03_04_01,nM__20170706_03_04_02,nM__20170706_03_04_03,nM__20170706_05_06_01,nM__20170706_05_06_02,nM__20170706_05_06_03,nM__20170706_11_12_01,nM__20170706_11_12_02,nM__20170706_11_12_03,nM__20170710_01_02_01,nM__20170710_01_02_02,nM__20170710_01_02_03,nM__20170710_07_08_01,nM__20170710_07_08_02,nM__20170710_07_08_03,nM__20170714_01_02_01,nM__20170714_01_02_02,nM__20170714_01_02_03,nM__20170714_03_04_01,nM__20170714_03_04_02,nM__20170714_03_04_03,nM__20170714_05_06_01,nM__20170714_05_06_02,nM__20170714_05_06_03,nM__20170714_07_08_01,nM__20170714_07_08_02,nM__20170714_07_08_03,episode__20170706_01_02_01,episode__20170706_01_02_02,episode__20170706_01_02_03,episode__20170706_03_04_01,episode__20170706_03_04_02,episode__20170706_03_04_03,episode__20170706_05_06_01,episode__20170706_05_06_02,episode__20170706_05_06_03,episode__20170706_11_12_01,episode__20170706_11_12_02,episode__20170706_11_12_03,episode__20170710_01_02_01,episode__20170710_01_02_02,episode__20170710_01_02_03,episode__20170710_07_08_01,episode__20170710_07_08_02,episode__20170710_07_08_03,episode__20170714_01_02_01,episode__20170714_01_02_02,episode__20170714_01_02_03,episode__20170714_03_04_01,episode__20170714_03_04_02,episode__20170714_03_04_03,episode__20170714_05_06_01,episode__20170714_05_06_02,episode__20170714_05_06_03,episode__20170714_07_08_01,episode__20170714_07_08_02,episode__20170714_07_08_03
6.5,,,,,,,,,0.2622546836378038,,,,,,,,,,,,,0.0114707189656412,,,,,,,,,,,,,,,,,0.0485929490701936,,,,,,,,,,,,,0.0021604291133703,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,
7.5,0.655771038295702,0.3457312232886163,-1.4937546743003085,,,,-1.3676306696582128,0.2417581649326543,0.0614585087864495,,,,0.7824638735219425,,,,,,2.2247052509748086,,,0.5003301604509045,,,,-1.8509273166785092,-0.4774014030671674,-0.5714143635725115,,-0.950529885505878,0.1161368964368964,0.0652950316023845,-0.2791430187459599,,,,-0.2739371184371184,0.0459330679124797,0.0110219773690362,,,,0.1607226996601609,,,,,,0.3839176922320885,,,0.0927050124711889,,,,-0.2994812687312687,-0.0870665452194863,-0.108424567426038,,-0.1980362193362193,8.0,9.0,8.0,,,,9.0,9.0,10.0,,,,8.0,,,,,,9.0,,,7.0,,,,8.0,7.0,7.0,,7.0,5.0,8.0,8.0,,,,4.0,8.0,6.0,,,,9.0,,,,,,10.0,,,9.0,,,,4.0,6.0,8.0,,6.0,3.0,4.0,1.0,,,,0.0,4.0,3.0,,,,5.0,,,,,,8.0,,,4.0,,,,0.0,2.0,2.0,,1.0,0.0,0.0,0.0,,,,0.0,0.0,0,,,,0.0,,,,,,0.0,,,0,,,,0.0,0.0,0.0,,0.0
8.5,-0.0609149657794163,0.3842693046142283,-0.8444917919542575,1.148556132903155,0.9760647406952884,,-1.3734673227648204,0.9390211342363848,-0.3178794388429616,,0.4454613786933789,,0.8737559366362848,-0.5120897841721982,1.504699172736014,,,,1.9915180723281336,,0.4413514179905654,0.3726233897478161,0.2852349272853513,1.3138526374215065,-0.9579912094397794,-1.548646507782047,-0.6151935426785682,-0.6779819024053698,,-0.5814506346236025,-0.0100125208125207,0.0814185304891187,-0.1615596095081389,0.2441485625485625,0.1495758626392527,,-0.2671189921189921,0.1868818826598238,-0.0572366099586688,,0.0901565434565434,,0.1918402676786577,-0.0911272850042973,0.2726675659565752,,,,0.3498485646620321,,0.0925623168798865,0.0689466727716728,0.0513516867119808,0.2639378538128538,-0.1816386391386391,-0.2498334332334332,-0.1044151392724921,-0.1269506872212755,,-0.1145956793206792,8.0,9.0,8.0,8.0,7.0,,9.0,9.0,8.0,,6.0,,8.0,10.0,9.0,,,,9.0,,9.0,8.0,8.0,7.0,6.0,8.0,8.0,6.0,,8.0,5.0,7.0,8.0,6.0,10.0,,4.0,8.0,6.0,,5.0,,8.0,7.0,9.0,,,,10.0,,9.0,9.0,9.0,6.0,6.0,3.0,6.0,9.0,,7.0,2.0,4.0,2.0,4.0,5.0,,0.0,5.0,2.0,,2.0,,5.0,3.0,7.0,,,,8.0,,5.0,4.0,4.0,4.0,1.0,0.0,2.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
9.5,-1.0763460667592533,1.1708506466434934,-1.2380731671839758,0.5452117020183616,0.9599464443760328,0.6608655666495613,-0.6089601180637589,1.1505687719980675,-0.8447525937811359,0.5426386278356494,0.7084019650169152,-1.4302533961872554,0.7603029365895965,-0.1587015743117729,0.8004399488130391,,1.4404642585514222,,1.4054068554313524,1.1592242903195664,-0.4909243085655025,-0.0324823690185491,0.2367221406350316,0.8408780677243901,-0.6807785748083172,-1.381567944532406,-0.3985746970487451,-0.6502318882537047,-0.6389923022641971,-0.6472606114770176,-0.2013957042957043,0.2462634615384614,-0.2618640883626177,0.1239990037740037,0.1551034255132553,0.0971597080937638,-0.1139661505161505,0.2327204426292661,-0.1560465201465201,0.0907149267399266,0.1423568043068043,-0.3105448579198579,0.1554841560142644,-0.0291885921096447,0.1417942923347722,,0.2956716012487684,,0.2458052296087125,0.2280962116830537,-0.1050103120477732,-0.0059797486826899,0.0397865195262254,0.145376307026307,-0.1243563936063936,-0.2199413475413475,-0.0661368742368742,-0.128197841047841,-0.1282068201406436,-0.1255815351315351,9.0,8.0,7.0,9.0,7.0,8.0,9.0,9.0,6.0,6.0,6.0,6.0,9.0,10.0,10.0,,8.0,,9.0,10.0,8.0,8.0,8.0,6.0,8.0,7.0,9.0,8.0,6.0,9.0,5.0,7.0,7.0,7.0,10.0,10.0,4.0,7.0,5.0,8.0,7.0,7.0,8.0,8.0,9.0,,8.0,,10.0,8.0,9.0,8.0,9.0,6.0,4.0,3.0,5.0,8.0,8.0,7.0,1.0,5.0,1.0,4.0,5.0,5.0,1.0,5.0,1.0,3.0,3.0,0.0,5.0,4.0,6.0,,5.0,,7.0,6.0,3.0,3.0,4.0,3.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,-1.0178104941875628,1.7366021278976551,-1.2035191462675532,0.3543980270086846,0.1413493796768132,0.3251150055680984,-0.1001141102806619,1.7636636526640623,-1.0192107321820754,0.4413562364827642,1.471463802537966,-1.513609393491918,0.4648703766319926,-0.7355150646490922,0.4357033910690082,,1.521971489109119,,1.1567841921772248,0.9503607375624076,-0.0658790066938609,0.2900619228444483,0.4726574291037655,1.8487614733464424,-0.2183499765398475,-1.539789901474608,0.4684381896421419,0.1397072339015185,-0.4261823922475264,-1.1410245020706318,-0.1923305028305028,0.3589121363930188,-0.2608767820414879,0.0734522033522033,0.0241326456223515,0.0488402857634281,-0.0187911532911532,0.3547701301966008,-0.1837377837848426,0.0769570263070263,0.2981553335553336,-0.3148429126429126,0.092998901580016,-0.1353637361005008,0.074187511387821,,0.2950254620852143,,0.2105489184877729,0.1811635330355918,-0.0133200748597807,0.0564723748473748,0.0737459298871063,0.3324993793787912,-0.0375124098124098,-0.2436953879453879,0.0770450493950494,0.0271091602841603,-0.0888761488511488,-0.2388758824508824,8.0,7.0,7.0,8.0,8.0,9.0,9.0,9.0,6.0,7.0,6.0,7.0,8.0,9.0,10.0,,7.0,,10.0,10.0,9.0,7.0,7.0,7.0,8.0,6.0,9.0,7.0,6.0,8.0,5.0,8.0,7.0,6.0,9.0,10.0,5.0,7.0,6.0,8.0,7.0,7.0,8.0,6.0,8.0,,9.0,,10.0,7.0,9.0,7.0,9.0,7.0,3.0,3.0,5.0,8.0,7.0,7.0,1.0,6.0,1.0,3.0,4.0,5.0,2.0,6.0,1.0,3.0,4.0,0.0,4.0,2.0,5.0,,5.0,,7.0,5.0,4.0,3.0,4.0,5.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,-1.061143106529779,1.6370192646318809,-1.1802142523472796,0.4880890818594975,-0.2890005649832101,0.7130235366984695,0.5047743649277151,1.242580817713668,-1.120113462999102,-0.8730320413786539,1.4340597006929925,-1.663242486443126,0.7302379864870846,-0.748439793335321,0.8163608225487157,,-0.2446032375494359,,0.3413169789809367,-0.1111904802986669,0.053095033157872,0.4373242029273566,0.1353757014710676,1.69578222337404,1.4437858640494756,-1.5473255372958508,1.059285424386546,0.2349830772505384,-0.2099002337997425,-1.1056516566148165,-0.1896197469197469,0.3584470779220779,-0.2558173977982801,0.0991612443112443,-0.0521704001880472,0.1199543247258417,0.094580192030192,0.2452822533675474,-0.2035072047233812,-0.1685689310689311,0.2957103563103563,-0.3285956543456543,0.1438003411535144,-0.1356584554334554,0.1386941425189877,,-0.0460887039431157,,0.0658318402615615,-0.0212508697185167,0.0107745125531502,0.0882034854034853,0.0231055400481871,0.3322437278407867,0.1849357142857142,-0.2464579587079587,0.1650157210436622,0.047990737040737,-0.042780192030192,-0.2430402597402597,8.0,6.0,7.0,7.0,8.0,9.0,10.0,9.0,6.0,6.0,6.0,6.0,6.0,9.0,10.0,,8.0,,10.0,11.0,8.0,8.0,6.0,7.0,6.0,5.0,9.0,8.0,5.0,8.0,5.0,7.0,7.0,6.0,8.0,9.0,5.0,7.0,6.0,7.0,7.0,7.0,8.0,6.0,9.0,,7.0,,9.0,6.0,9.0,6.0,8.0,7.0,1.0,3.0,6.0,7.0,7.0,7.0,1.0,5.0,1.0,3.0,3.0,5.0,3.0,5.0,1.0,1.0,4.0,0.0,4.0,2.0,6.0,,2.0,,5.0,3.0,4.0,3.0,3.0,5.0,1.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,-0.4856092939967649,0.3730062574574743,-1.1953494589256108,-0.0999673468306704,0.7011577772455476,1.2309608491292288,0.8946163110630329,0.5060344489639382,-0.5061833724447102,-1.454646400072873,1.399757348733693,-1.0044786044077512,-0.1537225575530449,-0.5361755577021768,0.273640405666849,,-0.8270445126577162,0.3227287573574195,-0.3380219635446155,-0.273940945388767,-0.2890229682950885,-0.9240869510244668,0.3888153428157348,1.4175344111109878,1.1804741547165505,-0.4806124479827638,1.500433714970678,0.2614296706187317,1.160791476564882,-1.0243837510145304,-0.0805654262404262,0.0741803309435662,-0.2497606339738692,-0.0202107503607503,0.1335191391941391,0.1994936059039,0.1735214569743981,0.0989193639693639,-0.09545999180558,-0.3078282828282828,0.2795374930624931,-0.1852555583305583,-0.0303407278995514,-0.0976607392435565,0.0441485651259644,,-0.1600128987026045,0.0707173230364407,-0.066322687932982,-0.0546680399665693,-0.0529425307836298,-0.1733924741924742,0.063277801446919,0.2613125485625485,0.1498459595959596,-0.0759814907314907,0.2335036948345772,0.0530473165723166,0.2308096237096236,-0.2179674408924408,8.0,6.0,6.0,8.0,8.0,8.0,8.0,9.0,6.0,6.0,5.0,7.0,4.0,8.0,11.0,,8.0,8.0,9.0,10.0,7.0,6.0,4.0,7.0,7.0,5.0,10.0,8.0,4.0,6.0,6.0,7.0,7.0,5.0,7.0,8.0,7.0,7.0,7.0,6.0,8.0,7.0,7.0,8.0,8.0,,6.0,7.0,8.0,7.0,11.0,6.0,9.0,6.0,1.0,4.0,6.0,7.0,6.0,7.0,2.0,3.0,1.0,2.0,4.0,5.0,4.0,4.0,2.0,0.0,4.0,1.0,2.0,3.0,5.0,,1.0,3.0,3.0,3.0,4.0,1.0,3.0,4.0,1.0,1.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,-0.7094288463826837,-0.6521574679928714,-1.7702678734170287,-1.7176855355673308,0.0608398690295167,-0.2791650269990589,1.101973765238187,0.078278548063431,-0.1882414311630446,-1.367240129915161,0.7043669085486144,-0.9401567994966892,-0.14244202433634,0.3247751703930868,-0.0829685008107809,,-0.6769096402448392,0.5718187762578717,-1.0148152068542655,-0.8067783402990497,0.5347031926885498,-0.1671251341637356,-0.3178673393566287,1.7846379825472696,1.7233566735031842,0.4795714258240912,2.1390675840582327,0.3492970033961866,0.5850229518615009,-1.4708463153129685,-0.1167324714501185,-0.1276776767350297,-0.3569647685647685,-0.3014237762237762,0.011320422224834,-0.0450091573201479,0.2052368977427801,0.0143796339281633,-0.0327241310461124,-0.2797981240981241,0.1449458985458985,-0.1701523421023421,-0.0281281215516509,0.0607351014482593,-0.0128272977022976,,-0.1390817238317238,0.1247131701631701,-0.2017528020998609,-0.16932590122296,0.0951257404532173,-0.0319947913197913,-0.0590150716930129,0.3048179354958767,0.2717261904761904,0.0786855755355754,0.3345879404908817,0.0737040792540792,0.1081287046287046,-0.3066745754245754,7.0,7.0,7.0,8.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0,7.0,4.0,7.0,9.0,,10.0,8.0,7.0,10.0,6.0,5.0,4.0,6.0,7.0,5.0,11.0,6.0,5.0,5.0,7.0,7.0,6.0,5.0,8.0,9.0,7.0,7.0,8.0,5.0,7.0,7.0,7.0,8.0,6.0,,5.0,6.0,6.0,7.0,11.0,7.0,8.0,8.0,2.0,5.0,6.0,5.0,7.0,5.0,2.0,2.0,0.0,0.0,3.0,3.0,4.0,3.0,3.0,0.0,3.0,1.0,2.0,4.0,3.0,,1.0,3.0,1.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.5,-0.3855446316590582,-1.0503971851939045,-1.4618444345616726,-0.8696842776604607,-0.3350033080467949,-0.1341941977575605,0.4835694544499703,0.5456153533653795,-0.1337229637572916,0.1895279152758385,0.0004811826473864,-0.6323383976105996,-0.8659489498429667,0.4843139512452497,0.774443524527928,,-0.6757043712950304,0.8969717665604495,-1.6970334796174922,-1.5258889265969642,1.288460840285036,-0.1480340100816957,-0.1004414206809019,0.9646342842320692,0.4011272463020983,-0.2941094656336476,2.010241812844604,0.8568346779925377,1.1698116039554376,-1.321060996258977,-0.0628580253080253,-0.1931222509516627,-0.3015808025308025,-0.1670372738372738,-0.0683881784881785,-0.0212428300199972,0.0928309589103706,0.0986573883632707,-0.0246692606413194,0.0408577200577199,9.741924741923924e-05,-0.1273098346098345,-0.1625003929077458,0.0957104660217663,0.1188369705457941,,-0.1403273837273837,0.1886222277722278,-0.3342979353979353,-0.3153512503921946,0.2265498252005992,-0.028296225996226,-0.019883164058164,0.1791146365072835,0.0763119436119436,-0.0513862415362416,0.348792872813461,0.1907756798756798,0.220507659007659,-0.2682738372738372,7.0,8.0,8.0,8.0,8.0,5.0,6.0,9.0,9.0,7.0,6.0,5.0,4.0,8.0,8.0,,10.0,8.0,7.0,10.0,6.0,5.0,4.0,6.0,7.0,6.0,10.0,5.0,6.0,5.0,6.0,8.0,4.0,5.0,6.0,9.0,7.0,7.0,7.0,5.0,7.0,6.0,6.0,7.0,5.0,,5.0,5.0,5.0,8.0,11.0,7.0,7.0,8.0,4.0,6.0,6.0,4.0,5.0,4.0,2.0,2.0,0.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,,1.0,3.0,0.0,1.0,6.0,2.0,2.0,4.0,2.0,2.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.5,-0.534113963472745,-0.8281633145916579,-1.575262548826469,-0.966544094439413,0.0843158418146877,0.8026681270508194,0.8146686279295151,0.3624143171698244,0.3025987004893334,0.0361670419237086,-0.8002152854422856,-0.20027158560975,-0.9817375165575872,0.7572071942999989,-0.2250648379843794,,0.1464842577229539,0.2895449702434473,-1.0429425863291042,-2.188977257291432,1.625729987020239,0.6763055654180128,-0.4820444709094188,0.1829177445075656,-0.0087245882450788,-0.1090848673992939,1.0563548597999983,0.602294026444552,0.9159144524264128,-1.301168146861176,-0.0892439477189477,-0.1556400932400932,-0.2902264846264846,-0.1839778499278498,0.0147208069708069,0.1199811323179744,0.1589485514485514,0.0691501054501054,0.0548837030616442,0.0069089688089687,-0.1637671106671106,-0.0394882450882451,-0.1914673937173937,0.1411818168501604,-0.0341321377968436,,0.0300333999333999,0.0578620823620824,-0.2183397935397935,-0.4511922378361233,0.2786818085938829,0.131150394050394,-0.1044054112554112,0.0346377103288867,-0.0016576423576423,-0.0193526973026973,0.1919295459442518,0.1224504329004328,0.1719603896103896,-0.2311308080808081,8.0,8.0,7.0,7.0,7.0,5.0,6.0,10.0,9.0,7.0,7.0,4.0,4.0,10.0,7.0,,11.0,8.0,7.0,10.0,7.0,5.0,4.0,6.0,7.0,7.0,9.0,5.0,7.0,6.0,6.0,7.0,4.0,6.0,5.0,9.0,6.0,5.0,6.0,6.0,7.0,5.0,7.0,9.0,5.0,,4.0,5.0,6.0,9.0,11.0,7.0,5.0,8.0,5.0,5.0,7.0,2.0,5.0,3.0,2.0,2.0,0.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,6.0,2.0,,2.0,2.0,1.0,0.0,7.0,3.0,1.0,3.0,2.0,2.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
