t_center,t_center_abs,S,S_null_mean,S_null_sd,z_S_t,S_excess,nA,nB,nM,dt,episode
8.5,8.5,0.8235294117647058,0.7972784563218,0.09274310265495231,0.28305021819866877,0.026250955442905788,7.0,10.0,7.0,0.0,0
8.5,8.5,0.8235294117647058,0.7972784563218,0.09274310265495231,0.28305021819866877,0.026250955442905788,7.0,10.0,7.0,0.09999999999999964,0
8.5,8.5,0.8235294117647058,0.7972784563218,0.09274310265495231,0.28305021819866877,0.026250955442905788,7.0,10.0,7.0,0.0,0
8.5,8.5,0.8235294117647058,0.7972784563218,0.09274310265495231,0.28305021819866877,0.026250955442905788,7.0,10.0,7.0,0.3000000000000007,0
8.5,8.5,0.8235294117647058,0.7972784563218,0.09274310265495231,0.28305021819866877,0.026250955442905788,7.0,10.0,7.0,-0.20000000000000107,0
8.5,8.5,0.8235294117647058,0.7972784563218,0.09274310265495231,0.28305021819866877,0.026250955442905788,7.0,10.0,7.0,-0.09999999999999964,0
8.5,8.5,0.8235294117647058,0.7972784563218,0.09274310265495231,0.28305021819866877,0.026250955442905788,7.0,10.0,7.0,-0.09999999999999964,0
9.5,9.5,0.8235294117647058,0.7960050352124656,0.0932379003654673,0.29520588134602105,0.02752437655224027,7.0,10.0,7.0,0.09999999999999964,0
9.5,9.5,0.8235294117647058,0.7960050352124656,0.0932379003654673,0.29520588134602105,0.02752437655224027,7.0,10.0,7.0,0.0,0
9.5,9.5,0.8235294117647058,0.7960050352124656,0.0932379003654673,0.29520588134602105,0.02752437655224027,7.0,10.0,7.0,0.3000000000000007,0
9.5,9.5,0.8235294117647058,0.7960050352124656,0.0932379003654673,0.29520588134602105,0.02752437655224027,7.0,10.0,7.0,-0.20000000000000107,0
9.5,9.5,0.8235294117647058,0.7960050352124656,0.0932379003654673,0.29520588134602105,0.02752437655224027,7.0,10.0,7.0,-0.09999999999999964,0
9.5,9.5,0.8235294117647058,0.7960050352124656,0.0932379003654673,0.29520588134602105,0.02752437655224027,7.0,10.0,7.0,-0.09999999999999964,0
9.5,9.5,0.8235294117647058,0.7960050352124656,0.0932379003654673,0.29520588134602105,0.02752437655224027,7.0,10.0,7.0,0.09999999999999964,0
10.5,10.5,0.9411764705882353,0.830591977303742,0.09990250786876301,1.1069240967380185,0.11058449328449327,8.0,9.0,8.0,0.0,0
10.5,10.5,0.9411764705882353,0.830591977303742,0.09990250786876301,1.1069240967380185,0.11058449328449327,8.0,9.0,8.0,0.3000000000000007,0
10.5,10.5,0.9411764705882353,0.830591977303742,0.09990250786876301,1.1069240967380185,0.11058449328449327,8.0,9.0,8.0,-0.20000000000000107,0
10.5,10.5,0.9411764705882353,0.830591977303742,0.09990250786876301,1.1069240967380185,0.11058449328449327,8.0,9.0,8.0,-0.09999999999999964,0
10.5,10.5,0.9411764705882353,0.830591977303742,0.09990250786876301,1.1069240967380185,0.11058449328449327,8.0,9.0,8.0,-0.09999999999999964,0
10.5,10.5,0.9411764705882353,0.830591977303742,0.09990250786876301,1.1069240967380185,0.11058449328449327,8.0,9.0,8.0,0.09999999999999964,0
10.5,10.5,0.9411764705882353,0.830591977303742,0.09990250786876301,1.1069240967380185,0.11058449328449327,8.0,9.0,8.0,0.1999999999999993,0
10.5,10.5,0.9411764705882353,0.830591977303742,0.09990250786876301,1.1069240967380185,0.11058449328449327,8.0,9.0,8.0,0.20000000000000107,0
