t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,S_excess__20170706_01_02_01,S_excess__20170706_01_02_02,S_excess__20170706_01_02_03,S_excess__20170706_03_04_01,S_excess__20170706_03_04_02,S_excess__20170706_03_04_03,S_excess__20170706_05_06_01,S_excess__20170706_05_06_02,S_excess__20170706_05_06_03,S_excess__20170706_11_12_01,S_excess__20170706_11_12_02,S_excess__20170706_11_12_03,S_excess__20170710_01_02_01,S_excess__20170710_01_02_02,S_excess__20170710_01_02_03,S_excess__20170710_07_08_01,S_excess__20170710_07_08_02,S_excess__20170710_07_08_03,S_excess__20170714_01_02_01,S_excess__20170714_01_02_02,S_excess__20170714_01_02_03,S_excess__20170714_03_04_01,S_excess__20170714_03_04_02,S_excess__20170714_03_04_03,S_excess__20170714_05_06_01,S_excess__20170714_05_06_02,S_excess__20170714_05_06_03,S_excess__20170714_07_08_01,S_excess__20170714_07_08_02,S_excess__20170714_07_08_03,nA__20170706_01_02_01,nA__20170706_01_02_02,nA__20170706_01_02_03,nA__20170706_03_04_01,nA__20170706_03_04_02,nA__20170706_03_04_03,nA__20170706_05_06_01,nA__20170706_05_06_02,nA__20170706_05_06_03,nA__20170706_11_12_01,nA__20170706_11_12_02,nA__20170706_11_12_03,nA__20170710_01_02_01,nA__20170710_01_02_02,nA__20170710_01_02_03,nA__20170710_07_08_01,nA__20170710_07_08_02,nA__20170710_07_08_03,nA__20170714_01_02_01,nA__20170714_01_02_02,nA__20170714_01_02_03,nA__20170714_03_04_01,nA__20170714_03_04_02,nA__20170714_03_04_03,nA__20170714_05_06_01,nA__20170714_05_06_02,nA__20170714_05_06_03,nA__20170714_07_08_01,nA__20170714_07_08_02,nA__20170714_07_08_03,nB__20170706_01_02_01,nB__20170706_01_02_02,nB__20170706_01_02_03,nB__20170706_03_04_01,nB__20170706_03_04_02,nB__20170706_03_04_03,nB__20170706_05_06_01,nB__20170706_05_06_02,nB__20170706_05_06_03,nB__20170706_11_12_01,nB__20170706_11_12_02,nB__20170706_11_12_03,nB__20170710_01_02_01,nB__20170710_01_02_02,nB__20170710_01_02_03,nB__20170710_07_08_01,nB__20170710_07_08_02,nB__20170710_07_08_03,nB__20170714_01_02_01,nB__20170714_01_02_02,nB__20170714_01_02_03,nB__20170714_03_04_01,nB__20170714_03_04_02,nB__20170714_03_04_03,nB__20170714_05_06_01,nB__20170714_05_06_02,nB__20170714_05_06_03,nB__20170714_07_08_01,nB__20170714_07_08_02,nB__20170714_07_08_03,nM__20170706_01_02_01,nM__20170706_01_02_02,nM__20170706_01_02_03,nM__20170706_03_04_01,nM__20170706_03_04_02,nM__20170706_03_04_03,nM__20170706_05_06_01,nM__20170706_05_06_02,nM__20170706_05_06_03,nM__20170706_11_12_01,nM__20170706_11_12_02,nM__20170706_11_12_03,nM__20170710_01_02_01,nM__20170710_01_02_02,nM__20170710_01_02_03,nM__20170710_07_08_01,nM__20170710_07_08_02,nM__20170710_07_08_03,nM__20170714_01_02_01,nM__20170714_01_02_02,nM__20170714_01_02_03,nM__20170714_03_04_01,nM__20170714_03_04_02,nM__20170714_03_04_03,nM__20170714_05_06_01,nM__20170714_05_06_02,nM__20170714_05_06_03,nM__20170714_07_08_01,nM__20170714_07_08_02,nM__20170714_07_08_03,episode__20170706_01_02_01,episode__20170706_01_02_02,episode__20170706_01_02_03,episode__20170706_03_04_01,episode__20170706_03_04_02,episode__20170706_03_04_03,episode__20170706_05_06_01,episode__20170706_05_06_02,episode__20170706_05_06_03,episode__20170706_11_12_01,episode__20170706_11_12_02,episode__20170706_11_12_03,episode__20170710_01_02_01,episode__20170710_01_02_02,episode__20170710_01_02_03,episode__20170710_07_08_01,episode__20170710_07_08_02,episode__20170710_07_08_03,episode__20170714_01_02_01,episode__20170714_01_02_02,episode__20170714_01_02_03,episode__20170714_03_04_01,episode__20170714_03_04_02,episode__20170714_03_04_03,episode__20170714_05_06_01,episode__20170714_05_06_02,episode__20170714_05_06_03,episode__20170714_07_08_01,episode__20170714_07_08_02,episode__20170714_07_08_03
6.5,,,,,,,,,1.019952173220302,,,,,,,,,,,,,0.1770836411248808,,,,,,,,,,,,,,,,,0.1243362926203482,,,,,,,,,,,,,0.0231719176248588,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,
7.5,-0.5553625549136684,0.4853323865073431,0.4218616808457229,,,,-0.8886125918073194,-0.1953968221055278,0.4943226633095947,,,,0.0818893457585301,,,,,,0.8518045530312671,,,0.6862797180146976,,,,-0.3810009471720389,-2.7544800750010157,1.0372101799607187,,-1.108192254899064,-0.0380776223776224,0.0315812199238668,0.0346582837097542,,,,-0.1141794705294705,-0.0207998643513351,0.0585624917566094,,,,0.0117237652096784,,,,,,0.1185338427138736,,,0.0901419413919414,,,,-0.028806005106005,-0.2125853793265558,0.1712299633373162,,-0.0971078588078587,8.0,9.0,8.0,,,,9.0,9.0,10.0,,,,8.0,,,,,,9.0,,,7.0,,,,8.0,7.0,7.0,,7.0,5.0,8.0,8.0,,,,4.0,8.0,6.0,,,,9.0,,,,,,10.0,,,9.0,,,,4.0,6.0,8.0,,6.0,5.0,8.0,7.0,,,,4.0,7.0,6.0,,,,7.0,,,,,,9.0,,,7.0,,,,4.0,4.0,7.0,,5.0,0.0,0.0,0.0,,,,0.0,0.0,0,,,,0.0,,,,,,0.0,,,0,,,,0.0,0.0,0.0,,0.0
8.5,-0.5902031212446611,-0.9335307121471376,1.4131536539897205,-0.1965551412730874,0.2830502181986687,,-0.9161600519043602,-0.4105510890445534,-0.4640243246506623,,0.7750070199359784,,0.412236824870512,-0.0734175048161629,0.2378791215351056,,,,0.8148598774287317,,0.4488783305779126,0.5490988385340497,1.0712392871818763,1.1968631136425538,-2.2749763476975033,-0.5938692143705679,-1.0598457774973034,0.419979453490385,,-0.7316674187566165,-0.0385370629370629,-0.05110987933635,0.1124771419756711,-0.0168310467310468,0.0262509554429057,,-0.1155921134421132,-0.0418956553250673,-0.0481755945035358,,0.1541430846930845,,0.0573472937107611,-0.0069196359282274,0.0243913783584834,,,,0.1162167003103534,,0.0603652322393808,0.0675863815922639,0.1250498898160662,0.1414393273393273,-0.2388895881895881,-0.0462052558552558,-0.0922963751934341,0.0673897240014888,,-0.074549309024309,8.0,9.0,8.0,8.0,7.0,,9.0,9.0,8.0,,6.0,,8.0,10.0,9.0,,,,9.0,,9.0,8.0,8.0,7.0,6.0,8.0,8.0,6.0,,8.0,5.0,7.0,8.0,6.0,10.0,,4.0,8.0,6.0,,5.0,,8.0,7.0,9.0,,,,10.0,,9.0,9.0,9.0,6.0,6.0,3.0,6.0,9.0,,7.0,5.0,7.0,8.0,6.0,7.0,,4.0,7.0,5.0,,5.0,,7.0,7.0,8.0,,,,9.0,,8.0,7.0,8.0,6.0,3.0,3.0,5.0,6.0,,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
9.5,-1.3979399561977983,0.4338510624332785,1.1760626111899308,-0.0054529606194738,0.295205881346021,1.0397465145914695,-1.0377448365792277,-0.5522995475179099,-0.5885607052915113,0.9279185307272348,0.7922537588998335,-0.1383710190416034,0.7837971420166535,0.4872471509022926,0.683619798893126,,1.2278692295653044,,0.8272958766141798,0.5444722241427887,0.7269001585150787,0.8835361426180305,1.225017234902058,1.5545766795229814,-1.276871360202412,0.3252798119040387,-0.6677936447561036,0.7352451614012171,0.1017771712652783,0.2831050916105895,-0.0958670995670996,0.0294704486689779,0.0831902401520047,-0.0004931429681431,0.0275243765522402,0.0923334009042213,-0.1197555777555776,-0.0560809089603208,-0.0473184482184483,0.1253895354645353,0.1804256687756688,-0.0233733544233544,0.1006071032768401,0.0469549625984608,0.0705227139991071,,0.2863164199405684,,0.1172646746957891,0.085208913025399,0.0997425063842246,0.1046098700319286,0.1415577489503958,0.1478324619824619,-0.1463296536796535,0.0297161671661672,-0.0534598512598513,0.1132732006555535,0.010894265538383,0.0297987928737927,9.0,8.0,7.0,9.0,7.0,8.0,9.0,9.0,6.0,6.0,6.0,6.0,9.0,10.0,10.0,,8.0,,9.0,10.0,8.0,8.0,8.0,6.0,8.0,7.0,9.0,8.0,6.0,9.0,5.0,7.0,7.0,7.0,10.0,10.0,4.0,7.0,5.0,8.0,7.0,7.0,8.0,8.0,9.0,,8.0,,10.0,8.0,9.0,8.0,9.0,6.0,4.0,3.0,5.0,8.0,8.0,7.0,5.0,7.0,7.0,7.0,7.0,8.0,4.0,6.0,4.0,6.0,6.0,5.0,8.0,8.0,9.0,,7.0,,9.0,8.0,8.0,7.0,8.0,6.0,3.0,3.0,5.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,-0.5411058028891716,0.4703880071305907,-0.3002827233034308,-0.3218288656749826,1.1069240967380185,1.7469705598815155,-0.8717074041474389,0.0945289565846173,-1.6791334881386284,0.5522194389109998,0.8784822812148497,1.118658703826381,0.6402308380138633,0.4044711138442879,0.2794295639412021,,1.298170224440162,,0.8998591555831044,0.2417547220712381,1.213146250114437,0.5808725071349785,0.5061527879786235,1.2014145251157486,0.5492218191710505,1.0358454964740795,-0.6718850148083452,0.9782823441241144,0.58328867004289,0.5345483195274678,-0.0377288045288046,0.032397850678733,-0.0236445750328104,-0.0228847152847154,0.1105844932844932,0.154564124772716,-0.0973376845376845,0.0089387896417306,-0.1524310780722547,0.0715086496836495,0.2004005383505384,0.1943661005661004,0.0856439924025063,0.0418851858925388,0.0272937635463951,,0.281664799493592,,0.1225216593519999,0.0341710110151286,0.1676871656637135,0.0644910006660006,0.0602025332510627,0.1361160112763052,0.0690043290043289,0.0810142191142191,-0.0549004218004216,0.1559580933772109,0.0569140276390276,0.0520794871794871,8.0,7.0,7.0,8.0,8.0,9.0,9.0,9.0,6.0,7.0,6.0,7.0,8.0,9.0,10.0,,7.0,,10.0,10.0,9.0,7.0,7.0,7.0,8.0,6.0,9.0,7.0,6.0,8.0,5.0,8.0,7.0,6.0,9.0,10.0,5.0,7.0,6.0,8.0,7.0,7.0,8.0,6.0,8.0,,9.0,,10.0,7.0,9.0,7.0,9.0,7.0,3.0,3.0,5.0,8.0,7.0,7.0,5.0,7.0,6.0,6.0,8.0,9.0,5.0,7.0,4.0,6.0,6.0,7.0,7.0,6.0,8.0,,7.0,,9.0,7.0,9.0,6.0,7.0,7.0,3.0,3.0,5.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,-0.5928620880107262,0.2507114561623395,1.089647440192557,0.6579946354959761,1.7064035177953638,2.282999687481459,-1.1208716558536167,0.4546412761871394,-1.6811345089775511,-0.0074397147432216,1.0039270753966765,0.6778568745348883,0.1763091398047233,0.2140892683366686,0.8312313295978736,,1.3703455768741273,,0.6564513773997535,-0.5300498800880314,0.7603655466382712,0.3819382702759881,0.1710631610436481,1.320221891199674,0.527087223108157,-1.2574810064691082,-0.568889671135394,0.837195106701335,0.0958810340486437,0.7089204584723916,-0.0406596736596738,0.0152861305361304,0.0725628092495738,0.0478859473859473,0.1723178595913889,0.2132509704691593,-0.1366146131646132,0.0443791518938576,-0.1572377152259506,-0.0009664502164503,0.2149225885225885,0.1173022144522144,0.0223074130805552,0.0178154858213681,0.0846101543279561,,0.2853245928907694,,0.0874706323775982,-0.0602557331557331,0.1061828165212838,0.0379807858807857,0.0205251924546041,0.154799247321306,0.0327888888888888,-0.0873473248973247,-0.0378098166539343,0.1342224858474857,0.0093887945387943,0.0728901764901763,8.0,6.0,7.0,7.0,8.0,9.0,10.0,9.0,6.0,6.0,6.0,6.0,6.0,9.0,10.0,,8.0,,10.0,11.0,8.0,8.0,6.0,7.0,6.0,5.0,9.0,8.0,5.0,8.0,5.0,7.0,7.0,6.0,8.0,9.0,5.0,7.0,6.0,7.0,7.0,7.0,8.0,6.0,9.0,,7.0,,9.0,6.0,9.0,6.0,8.0,7.0,1.0,3.0,6.0,7.0,7.0,7.0,5.0,6.0,7.0,6.0,8.0,9.0,5.0,7.0,4.0,5.0,6.0,6.0,6.0,6.0,9.0,,7.0,,8.0,6.0,8.0,6.0,6.0,7.0,1.0,2.0,6.0,7.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,-0.4454269215921704,-1.3183686695534622,0.2303996760677773,-0.1258664697369445,0.9954056679934604,2.333606901091343,0.6557374786115133,-0.0598649713223508,-1.862180859544205,0.1574967517372141,0.3983582701372158,0.5021569106975404,-0.7516800845328371,0.6287202905414456,-0.0644132572837816,,1.018429593205905,0.3777904019836635,0.6765030839086335,0.1658248925039904,0.0127958989796153,-0.2427805206957329,-1.7713104021189023,0.9897717550794384,-0.0623096977234527,-3.1414522341002087,-1.3170539785641286,1.1444312590220855,-0.415957812557245,1.013144600086349,-0.0270037629037631,-0.0962497727762433,0.0170172768408063,-0.0123806471306472,0.101816625041625,0.2140586242189183,0.089815229868171,-0.0057942944310592,-0.2167699401905284,0.0202159285159285,0.0860403957153957,0.0870563297813296,-0.0923929172135055,0.057821467009083,-0.006227828818928,,0.1901466241275065,0.1115657367142661,0.0849161018719841,0.0215608012902129,0.0018095823509135,-0.0240062049062049,-0.1960660254777901,0.1146597180597179,-0.0037302308802309,-0.2410642413142413,-0.0910369610781376,0.1806972194472195,-0.041118204018204,0.1013299034299034,8.0,6.0,6.0,8.0,8.0,8.0,8.0,9.0,6.0,6.0,5.0,7.0,4.0,8.0,11.0,,8.0,8.0,9.0,10.0,7.0,6.0,4.0,7.0,7.0,5.0,10.0,8.0,4.0,6.0,6.0,7.0,7.0,5.0,7.0,8.0,7.0,7.0,7.0,6.0,8.0,7.0,7.0,8.0,8.0,,6.0,7.0,8.0,7.0,11.0,6.0,9.0,6.0,1.0,4.0,6.0,7.0,6.0,7.0,6.0,5.0,6.0,5.0,7.0,8.0,7.0,7.0,4.0,5.0,5.0,6.0,4.0,7.0,8.0,,6.0,6.0,7.0,7.0,7.0,5.0,4.0,6.0,1.0,2.0,6.0,7.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,1.752245714466645,-1.1102285094844755,-0.2483302944456009,-1.332188191217759,1.165549254405219,-0.4838700939390692,1.2858653879417954,-0.6911654712233507,-0.6508272605478805,0.0346307406718256,0.2215792783474229,0.6950463328786459,-0.444621872138815,0.9943419986734524,0.5063786852676262,,0.0150348434314525,0.5789708479811275,0.0327586976843192,0.070170252567758,-0.4980338801873342,-0.1493214598859336,-1.4806315488869088,0.3538340588537114,0.0348865105290236,0.261778567567453,-1.803743900502402,1.233616406306118,-0.3086634184456698,0.3379241448069657,0.1194567065287652,-0.0631166279798635,-0.0214580586080584,-0.1264833555333555,0.0949912680456797,-0.0430905628513214,0.1820455441617204,-0.0722066711066712,-0.0834790065541614,0.004537012987013,0.0486652736152736,0.1212159978909979,-0.0589090793193735,0.091617482079324,0.0522864790438321,,0.0027772338772339,0.1653299533799533,0.0035017551076373,0.0093268763915821,-0.0690918853076747,-0.0184819763569763,-0.1668980392156864,0.0435551146565851,0.0025463924963923,0.0178853368853367,-0.1276953409335762,0.211318931068931,-0.0292196719946721,0.0381729936729937,7.0,7.0,7.0,8.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0,7.0,4.0,7.0,9.0,,10.0,8.0,7.0,10.0,6.0,5.0,4.0,6.0,7.0,5.0,11.0,6.0,5.0,5.0,7.0,7.0,6.0,5.0,8.0,9.0,7.0,7.0,8.0,5.0,7.0,7.0,7.0,8.0,6.0,,5.0,6.0,6.0,7.0,11.0,7.0,8.0,8.0,2.0,5.0,6.0,5.0,7.0,5.0,7.0,6.0,5.0,4.0,7.0,6.0,7.0,6.0,6.0,4.0,5.0,6.0,4.0,7.0,6.0,,5.0,6.0,5.0,7.0,6.0,5.0,4.0,6.0,2.0,4.0,6.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.5,0.7385028561995778,-0.619669638100192,-0.1939937089955343,-0.5114660828194245,0.7044327960031549,-1.504747629988164,0.9757652157321516,-0.8727520456059992,-0.7870124614382379,-0.1269897198555603,0.7897116421337028,0.7681614533249299,-1.592253492898668,-0.2078461644154642,1.1698894373481112,,0.2531036310734039,0.6335404858358681,1.028967817819184,0.3364795931980814,-0.5498733712016985,-0.2578092075045045,-2.64824195955021,0.1365450954392274,0.4793927032920596,-0.1960761928737324,-0.9540982894603424,0.5952810994417606,1.106364674677266,0.2933957347191553,0.0435079753579753,-0.0414976621417798,-0.0189712620712619,-0.0437829836829837,0.0655654345654345,-0.1350507179524982,0.1352251952296069,-0.0935592871181106,-0.0924796760429115,-0.0136666666666666,0.1866253857253857,0.133479648129648,-0.1789754513460395,-0.0205678295302909,0.144117031497914,,0.0526404900654901,0.170547286047286,0.0899617382617383,0.0530510967103071,-0.0738736135295733,-0.0318163697413697,-0.2961461815961818,0.0183600399600397,0.0373546786546786,-0.0152501609501608,-0.0750826438267615,0.1089468586968586,0.108968487068487,0.0375599511599511,7.0,8.0,8.0,8.0,8.0,5.0,6.0,9.0,9.0,7.0,6.0,5.0,4.0,8.0,8.0,,10.0,8.0,7.0,10.0,6.0,5.0,4.0,6.0,7.0,6.0,10.0,5.0,6.0,5.0,6.0,8.0,4.0,5.0,6.0,9.0,7.0,7.0,7.0,5.0,7.0,6.0,6.0,7.0,5.0,,5.0,5.0,5.0,8.0,11.0,7.0,7.0,8.0,4.0,6.0,6.0,4.0,5.0,4.0,6.0,7.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,5.0,,5.0,5.0,5.0,8.0,6.0,5.0,3.0,6.0,4.0,5.0,6.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.5,-0.208915670426961,0.2251633210307827,-1.061964148281177,0.6997562877776614,0.3767574076226335,-1.293973090806509,0.144727253733472,-0.8719533942618788,0.594143938988541,0.9354912796481324,0.5568864115066663,1.3058656486197535,-0.7468456478124327,-0.9831879764583382,1.6884073380865496,,-0.6713238133271858,0.4596731746220554,-0.3502534508935964,0.6415251231233788,-0.0024426486533587,-0.0560915738647418,-2.6889319962684217,0.1060017608305263,0.5210902080448452,-1.0118836222625036,0.0772633929673076,0.7734540561383852,0.4012653840345915,0.3571000583446352,-0.013475407925408,0.0134744838494837,-0.1068156066156066,0.0725266178266178,0.0285410034410034,-0.1168618988081061,0.01903827006327,-0.0959807581307582,0.0685552210861033,0.1181201687201687,0.1310567266067265,0.2172472305472306,-0.0801526994247583,-0.1092459578862831,0.1500647628515277,,-0.1111333943833944,0.1135719891219891,-0.028737851037851,0.1147677837384493,-0.0003273145670978,-0.0068958041958042,-0.3227249084249085,0.0146882357838239,0.037797002997003,-0.0957619158619158,0.0054652426005366,0.1348220057720057,0.0396547508047507,0.0366368686868686,8.0,8.0,7.0,7.0,7.0,5.0,6.0,10.0,9.0,7.0,7.0,4.0,4.0,10.0,7.0,,11.0,8.0,7.0,10.0,7.0,5.0,4.0,6.0,7.0,7.0,9.0,5.0,7.0,6.0,6.0,7.0,4.0,6.0,5.0,9.0,6.0,5.0,6.0,6.0,7.0,5.0,7.0,9.0,5.0,,4.0,5.0,6.0,9.0,11.0,7.0,5.0,8.0,5.0,5.0,7.0,2.0,5.0,3.0,6.0,7.0,3.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,4.0,7.0,5.0,,4.0,5.0,5.0,9.0,7.0,5.0,2.0,6.0,5.0,4.0,7.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
