Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15
1,8.300,10.500,11.367,11.933,12.500,12.967,13.533,,,,,,,,
2,16.433,16.933,17.300,17.867,18.400,18.933,19.567,20.133,20.767,,,,,,
3,21.967,23.033,23.567,24.233,24.867,25.500,25.900,26.500,27.067,,,,,,
4,28.067,28.633,29.233,29.867,30.533,31.100,31.867,,,,,,,,
5,32.667,34.700,35.100,35.500,36.133,36.567,,,,,,,,,
6,38.967,40.400,41.200,41.733,42.333,43.267,43.833,44.367,,,,,,,
7,45.867,46.533,47.000,47.533,48.200,48.733,49.233,50.367,50.933,51.767,52.533,,,,
8,54.767,55.733,56.300,57.033,57.700,58.367,59.033,59.533,60.167,60.767,61.333,61.800,62.633,63.867,
9,65.967,66.600,67.067,67.800,68.400,68.967,69.600,70.433,70.900,71.967,72.967,73.800,,,
10,75.267,76.067,76.767,77.567,78.067,78.767,79.367,80.067,80.600,81.167,81.933,82.600,83.333,84.467,
11,88.100,89.133,89.700,90.333,91.067,92.000,92.700,93.300,93.967,94.733,95.300,96.067,96.900,97.900,99.633
12,101.567,103.733,104.167,104.667,105.300,105.867,106.600,107.233,107.800,,,,,,
13,109.533,110.533,111.167,111.733,112.300,113.067,,,,,,,,,
14,114.200,114.967,115.467,116.133,116.800,117.433,118.167,118.667,119.433,,,,,,
15,122.067,122.933,123.833,124.400,125.200,125.767,126.367,126.900,127.500,128.133,129.133,130.567,,,
16,134.100,134.867,135.667,136.467,136.967,137.667,138.567,139.200,139.833,140.467,140.967,141.800,142.467,143.433,144.467
17,146.467,147.533,148.433,149.100,149.800,150.533,151.267,152.033,152.900,153.467,154.433,155.300,,,
18,158.033,158.867,159.567,160.167,160.833,161.567,162.400,163.033,163.767,164.600,165.333,,,,
19,167.233,168.200,168.767,169.433,170.133,170.867,171.533,172.300,172.933,173.633,174.367,175.000,175.800,178.733,179.367
