Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26
1,3.900,4.733,5.267,5.700,6.033,6.367,6.967,7.367,7.833,8.300,8.733,9.300,,,,,,,,,,,,,,
2,10.333,11.233,12.033,12.600,13.233,13.700,14.133,14.667,15.233,15.767,16.233,16.667,17.233,17.733,18.267,18.667,19.067,19.500,20.400,,,,,,,
3,22.100,22.633,23.100,23.567,24.000,24.500,24.967,25.400,25.833,26.300,26.800,27.233,27.933,,,,,,,,,,,,,
4,29.767,30.533,30.967,31.367,31.700,32.100,32.567,33.100,33.567,34.033,34.433,34.867,35.333,35.833,36.267,36.867,,,,,,,,,,
5,38.033,38.500,38.967,39.433,39.867,40.333,40.800,41.267,41.767,42.233,42.700,43.233,44.067,44.533,45.067,45.767,46.800,,,,,,,,,
6,48.100,48.700,49.133,49.767,50.200,50.633,51.000,51.500,51.867,52.367,52.767,,,,,,,,,,,,,,,
7,53.600,54.267,54.767,55.467,56.100,56.567,57.000,57.433,57.900,58.500,59.067,59.500,59.967,60.433,61.267,62.167,,,,,,,,,,
8,63.067,63.633,64.033,64.400,64.867,65.300,65.800,66.133,66.633,,,,,,,,,,,,,,,,,
9,67.333,67.867,68.267,68.700,69.167,69.700,70.133,70.667,71.167,71.600,72.633,73.700,,,,,,,,,,,,,,
10,75.267,77.100,77.767,78.867,79.267,79.667,80.033,80.533,81.133,81.600,82.167,82.633,83.233,83.700,84.133,84.600,85.367,86.167,86.600,87.067,87.567,,,,,
11,90.267,91.000,92.000,92.467,92.967,93.400,93.867,94.267,94.733,95.233,95.667,96.567,97.033,97.433,98.100,98.500,99.867,100.367,100.900,101.400,101.900,103.100,103.700,104.467,105.200,
12,108.167,108.667,108.967,109.633,110.133,110.567,111.000,111.433,111.867,112.833,113.600,114.100,114.533,115.033,115.467,116.300,116.867,117.233,117.600,118.100,118.600,119.133,119.633,120.200,120.900,121.833
13,124.933,125.367,126.067,126.600,127.333,127.933,128.533,128.967,129.400,129.833,130.300,130.733,,,,,,,,,,,,,,
14,131.233,132.167,132.600,133.033,133.500,134.033,134.467,134.933,135.567,136.067,136.533,136.967,137.500,138.033,138.767,139.200,139.800,140.300,140.767,141.300,141.967,,,,,
15,143.800,144.433,144.767,145.233,145.767,146.333,146.833,147.367,147.833,148.467,149.133,,,,,,,,,,,,,,,
16,150.200,150.767,151.200,151.733,152.233,152.767,153.333,153.933,154.667,155.700,,,,,,,,,,,,,,,,
17,157.133,157.567,158.233,158.700,159.067,159.467,159.967,160.367,160.933,,,,,,,,,,,,,,,,,
18,161.567,162.167,162.667,163.133,163.667,164.133,164.667,165.133,165.667,,,,,,,,,,,,,,,,,
19,166.800,167.233,167.667,168.100,168.633,169.033,169.533,170.067,170.733,171.767,172.433,174.800,,,,,,,,,,,,,,
20,175.833,176.300,176.800,177.633,178.267,179.133,179.967,,,,,,,,,,,,,,,,,,,
