Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24
1,3.433,4.433,4.867,5.233,5.667,6.033,6.533,6.933,7.267,7.700,8.033,8.500,8.867,9.200,9.633,10.067,10.567,10.967,,,,,,
2,12.933,13.433,13.933,14.267,14.733,15.133,15.533,15.967,16.400,16.833,17.267,17.633,18.067,18.500,18.933,19.400,19.900,20.333,,,,,,
3,22.067,22.567,22.967,23.367,23.767,24.167,24.700,25.100,25.467,,,,,,,,,,,,,,,
4,26.600,27.233,27.633,28.333,28.867,29.500,29.933,30.400,30.867,31.267,31.733,32.200,32.600,33.000,33.433,33.900,34.400,,,,,,,
5,37.367,38.000,38.600,39.100,39.533,40.000,40.400,40.767,41.100,41.633,42.333,43.033,43.600,,,,,,,,,,,
6,45.333,45.833,46.433,47.667,48.133,48.600,48.933,49.567,50.100,50.567,51.067,51.533,52.133,52.433,52.867,53.367,53.833,54.300,54.800,55.267,55.700,56.200,,
7,58.433,59.133,59.567,59.900,60.433,61.300,61.900,62.333,62.767,63.200,63.967,64.333,65.033,66.700,67.133,,,,,,,,,
8,68.833,69.267,69.933,70.867,71.300,71.767,72.233,72.667,73.100,73.533,74.033,74.433,74.900,75.333,75.800,76.233,76.733,77.200,,,,,,
9,79.533,80.133,80.767,81.333,81.733,82.267,82.733,83.233,83.600,84.033,84.433,84.867,85.300,85.867,86.300,86.800,87.367,87.933,88.600,89.067,,,,
10,91.733,93.000,93.500,94.000,94.567,95.033,95.567,95.967,96.333,96.800,97.200,97.600,98.000,98.533,99.000,99.533,100.000,100.433,100.933,101.400,101.833,102.267,102.933,103.600
11,104.967,105.833,106.933,107.600,108.133,108.500,108.933,109.567,110.000,110.533,110.967,111.400,112.000,112.467,,,,,,,,,,
12,115.367,115.700,116.100,116.467,116.900,117.233,117.733,118.267,,,,,,,,,,,,,,,,
13,119.767,120.300,120.667,121.033,121.433,121.800,122.300,122.767,123.167,123.600,124.033,124.600,125.133,,,,,,,,,,,
14,127.267,127.667,128.133,128.633,129.067,129.500,130.033,130.500,130.900,131.333,131.767,132.233,132.633,133.067,133.500,134.133,135.667,,,,,,,
15,139.133,139.967,140.700,141.567,142.433,143.233,143.533,144.100,144.500,144.867,145.367,145.800,146.267,146.800,147.567,148.167,148.667,149.400,150.233,,,,,
16,151.333,151.967,152.500,153.233,153.700,154.100,154.500,154.867,155.300,155.833,156.300,156.800,157.400,157.867,158.267,158.767,159.267,159.833,160.300,160.733,161.467,162.333,,
17,163.867,164.333,164.800,165.233,165.800,,,,,,,,,,,,,,,,,,,
18,166.467,167.100,169.300,170.367,174.000,175.533,176.533,176.967,178.167,178.533,179.100,,,,,,,,,,,,,
