Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13
1,3.733,4.967,5.433,5.967,6.767,7.233,7.800,8.467,,,,,
2,10.133,11.000,11.500,12.167,12.867,13.400,13.833,14.367,,,,,
3,16.033,16.933,17.600,18.333,18.833,19.367,19.867,20.300,20.900,,,,
4,22.200,22.800,23.433,23.900,24.500,25.100,25.600,,,,,,
5,26.700,27.500,28.167,28.700,29.267,29.667,,,,,,,
6,31.000,31.833,32.267,32.867,33.367,33.867,34.400,34.967,35.467,36.033,36.567,,
7,37.400,38.133,38.633,39.267,39.833,40.300,40.833,41.367,42.000,,,,
8,42.567,43.400,44.267,44.800,45.400,46.033,46.567,47.067,47.567,,,,
9,48.967,49.600,50.133,50.833,51.467,52.333,52.900,53.500,54.033,54.800,,,
10,56.000,56.600,57.200,58.033,58.733,59.267,59.800,60.300,60.867,61.467,62.033,,
11,62.733,63.700,64.367,64.933,65.667,66.100,66.733,67.400,67.967,68.567,,,
12,69.533,70.233,71.000,71.500,72.133,72.667,73.200,73.700,74.367,75.167,,,
13,76.300,77.467,78.400,79.200,79.800,80.367,80.933,81.433,82.000,82.667,83.167,,
14,85.433,86.300,86.900,87.733,88.333,89.033,89.567,90.033,90.500,,,,
15,91.200,91.867,92.500,93.033,93.600,94.067,94.600,,,,,,
16,96.267,96.833,97.267,97.867,98.433,99.167,99.833,100.367,100.967,,,,
17,102.433,103.100,103.667,104.233,104.733,105.267,105.767,106.233,,,,,
18,107.767,108.200,108.733,109.700,110.633,111.233,111.867,112.467,112.967,113.500,114.100,114.533,115.133
19,116.833,118.033,119.333,120.867,121.533,122.100,122.767,123.433,,,,,
20,124.467,125.333,125.867,126.367,126.900,127.500,128.200,,,,,,
21,130.133,131.067,131.633,132.300,132.800,133.367,133.867,134.400,134.900,135.533,136.300,,
22,137.367,138.033,138.633,139.733,140.367,141.233,,,,,,,
23,141.933,142.767,143.300,143.833,144.500,145.100,145.667,146.233,146.933,,,,
24,148.300,148.800,149.533,150.267,151.000,151.667,152.200,152.767,,,,,
25,154.000,154.733,155.467,156.067,156.700,157.367,,,,,,,
26,158.333,159.067,159.433,159.867,160.200,160.767,161.267,,,,,,
27,162.033,162.567,163.267,163.733,164.233,164.700,165.133,,,,,,
28,166.367,167.033,167.633,168.100,168.600,169.033,169.533,170.200,170.767,171.367,,,
29,172.800,173.267,174.133,174.833,,,,,,,,,
30,175.500,175.967,176.433,177.067,177.633,,,,,,,,
31,179.200,179.633,,,,,,,,,,,
