Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20
1,2.133,2.767,3.300,3.800,4.367,4.933,5.567,6.167,6.633,7.133,,,,,,,,,,
2,8.433,9.000,9.733,10.233,10.833,11.300,11.933,12.500,13.133,13.700,14.233,14.800,15.400,15.967,,,,,,
3,17.467,17.933,18.567,19.033,19.733,20.300,20.867,21.467,,,,,,,,,,,,
4,22.767,23.300,23.833,24.400,24.967,25.567,26.700,27.400,27.900,28.567,29.233,29.867,30.433,30.933,,,,,,
5,32.367,32.867,33.433,34.033,34.667,35.267,35.867,36.433,37.067,37.700,39.500,40.433,,,,,,,,
6,42.167,42.633,43.600,44.167,44.767,45.367,46.000,46.767,47.533,48.133,48.933,50.067,50.733,,,,,,,
7,52.067,52.767,53.300,53.833,54.467,54.900,55.400,56.300,56.767,57.400,,,,,,,,,,
8,58.467,59.167,59.833,60.467,61.000,61.533,62.300,62.933,63.633,65.033,65.600,,,,,,,,,
9,66.767,67.367,68.033,68.600,69.200,69.833,70.467,,,,,,,,,,,,,
10,71.467,72.067,72.633,73.167,73.767,74.367,74.900,75.500,76.067,77.267,,,,,,,,,,
11,78.333,78.800,79.400,79.900,80.400,80.867,81.600,82.100,82.833,83.333,83.900,84.500,85.100,,,,,,,
12,86.300,86.967,87.400,87.900,88.467,89.033,89.700,90.200,90.733,91.400,92.067,92.767,93.400,94.033,96.833,97.233,97.733,,,
13,99.367,100.733,101.200,101.867,102.633,103.133,103.667,104.333,104.967,105.667,106.467,107.100,107.733,108.300,109.033,109.867,110.600,111.533,112.467,113.333
14,114.567,115.100,115.933,116.333,116.933,117.467,118.067,118.633,119.167,119.867,120.600,,,,,,,,,
15,121.500,122.100,122.800,123.367,124.000,124.767,125.500,,,,,,,,,,,,,
16,127.700,128.500,129.233,129.667,130.233,130.833,131.467,132.167,132.633,133.400,,,,,,,,,,
17,134.900,136.900,137.600,138.133,138.633,139.233,139.800,140.400,140.967,141.500,141.867,142.267,142.933,143.633,,,,,,
18,145.200,145.867,146.567,147.233,147.767,148.300,148.767,149.367,149.967,150.600,151.367,,,,,,,,,
19,152.500,152.967,153.367,153.900,154.667,155.167,156.100,156.933,157.667,158.467,160.233,160.900,161.300,161.733,162.233,162.900,,,,
20,164.567,165.200,165.800,166.700,167.133,167.733,168.933,169.800,170.433,171.000,171.667,172.333,173.000,173.600,,,,,,
21,174.467,175.167,175.533,176.000,176.400,177.233,177.700,178.400,179.100,179.767,,,,,,,,,,
