Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21
1,6.267,7.367,7.767,8.167,8.867,9.567,10.233,11.100,12.067,,,,,,,,,,,,
2,15.500,16.167,16.667,17.100,17.433,17.867,18.367,18.800,19.533,20.067,20.533,21.367,21.867,,,,,,,,
3,24.667,25.100,25.500,26.733,27.233,27.733,28.300,29.300,30.433,31.200,31.833,32.567,33.333,33.867,35.400,36.267,,,,,
4,38.167,39.133,40.333,41.867,42.467,43.100,43.800,44.533,45.300,46.067,46.633,49.133,49.867,50.733,51.833,52.667,,,,,
5,55.900,56.567,57.333,57.933,58.633,59.633,60.500,61.133,61.700,,,,,,,,,,,,
6,63.133,64.200,64.800,65.967,66.833,68.467,70.067,71.133,72.600,73.567,75.533,76.067,76.700,77.600,79.233,80.033,80.733,82.000,83.333,85.167,
7,89.833,90.467,90.933,91.567,92.067,92.733,93.967,94.600,95.400,96.133,96.800,97.367,,,,,,,,,
8,99.733,100.533,100.933,101.900,102.767,103.867,104.767,105.833,106.967,,,,,,,,,,,,
9,109.633,111.433,112.200,112.667,113.267,113.967,114.933,115.700,116.900,117.733,118.667,,,,,,,,,,
10,121.667,122.367,122.967,123.600,124.300,125.133,125.767,126.900,128.867,129.700,130.400,131.333,132.167,134.000,135.267,,,,,,
11,138.167,140.700,141.333,141.733,142.567,143.167,143.767,145.000,146.400,147.033,147.933,148.867,149.767,152.033,152.833,153.800,155.500,157.267,158.267,159.233,160.933
12,167.200,169.033,169.567,170.067,170.900,171.967,173.233,174.100,174.733,175.333,,,,,,,,,,,
13,178.033,178.667,179.333,179.967,,,,,,,,,,,,,,,,,
