Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20
1,9.800,11.467,12.467,13.200,13.600,14.100,14.900,15.567,16.233,,,,,,,,,,,
2,18.300,19.000,19.567,19.967,20.667,21.567,22.167,22.933,23.567,24.233,24.900,25.500,26.167,27.000,27.833,28.567,29.267,29.967,30.767,32.200
3,34.367,35.033,35.800,36.400,37.000,37.633,38.200,38.933,39.500,40.467,41.400,,,,,,,,,
4,43.233,43.800,44.300,44.833,45.633,46.833,47.767,48.933,49.967,,,,,,,,,,,
5,52.567,53.267,53.800,54.267,54.767,55.200,55.567,56.200,56.933,57.600,58.267,58.900,60.500,61.233,,,,,,
6,62.900,63.733,64.500,65.233,65.900,66.633,67.100,68.000,68.633,69.633,70.167,70.800,,,,,,,,
7,71.833,72.667,73.067,73.667,74.133,74.967,75.467,76.433,77.067,77.767,78.600,79.367,80.333,82.433,83.400,84.067,84.633,85.267,85.967,
8,89.300,90.633,91.200,91.767,92.367,93.233,93.767,94.600,95.267,95.867,96.500,97.000,97.600,,,,,,,
9,100.733,101.367,101.933,102.633,103.267,104.400,105.233,105.900,106.600,107.267,107.967,108.767,109.300,110.100,110.833,111.800,112.633,113.367,114.167,115.667
10,119.100,119.867,120.500,121.167,121.800,122.567,123.167,123.867,124.667,125.533,126.200,127.533,128.133,128.733,129.867,,,,,
11,133.033,133.967,134.733,135.233,136.100,136.633,137.233,,,,,,,,,,,,,
12,138.900,139.433,139.967,140.633,141.333,142.000,142.633,143.433,144.033,,,,,,,,,,,
13,145.100,146.133,146.633,147.233,148.067,148.667,149.333,150.500,151.200,,,,,,,,,,,
14,152.600,153.633,154.400,155.167,155.800,156.367,157.733,158.400,159.167,159.867,160.567,161.233,162.100,162.833,163.500,164.700,165.500,166.200,166.933,167.900
15,170.400,171.433,172.233,173.967,175.133,178.600,,,,,,,,,,,,,,
