Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18
1,3.033,3.700,4.067,4.433,4.867,5.367,5.900,6.533,7.067,7.600,8.033,8.533,9.233,9.800,10.267,10.833,11.500,12.500
2,13.833,14.367,14.867,15.500,16.167,16.733,17.400,17.967,18.533,19.133,19.600,20.067,20.767,21.600,,,,
3,22.767,23.200,23.633,24.167,24.567,25.100,25.700,26.233,26.800,27.433,,,,,,,,
4,29.533,30.033,30.533,31.133,31.633,32.167,32.800,33.367,33.967,35.000,,,,,,,,
5,35.833,36.467,37.033,37.700,38.233,38.700,39.200,39.733,40.633,41.100,41.933,,,,,,,
6,44.167,44.733,45.200,45.700,46.200,46.833,,,,,,,,,,,,
7,49.867,50.433,50.867,51.367,51.900,52.467,53.467,54.000,,,,,,,,,,
8,55.933,56.567,57.033,57.567,58.000,58.567,59.067,59.500,60.167,,,,,,,,,
9,61.533,62.000,62.567,63.100,63.633,64.100,64.633,65.100,,,,,,,,,,
10,66.267,66.733,67.267,67.733,68.167,68.633,,,,,,,,,,,,
11,70.167,70.733,71.167,71.767,72.300,72.767,73.200,73.633,74.167,74.900,75.367,,,,,,,
12,76.800,77.433,78.067,78.533,79.000,79.567,80.100,80.633,81.067,,,,,,,,,
13,85.267,85.667,86.067,86.533,87.100,87.500,88.000,88.467,89.000,89.433,89.900,90.433,90.867,91.933,,,,
14,93.300,93.833,94.500,94.867,95.233,95.767,,,,,,,,,,,,
15,96.367,97.000,97.433,97.800,98.400,98.867,99.333,99.833,100.367,100.900,101.600,102.433,,,,,,
16,103.767,104.500,105.233,106.167,106.833,107.333,107.867,108.400,108.933,109.500,110.100,110.633,111.200,111.833,112.367,112.900,,
17,115.100,115.667,116.167,116.867,117.367,117.867,118.200,118.700,119.067,119.667,120.400,,,,,,,
18,122.333,123.033,123.500,124.133,124.567,125.033,125.467,125.933,126.300,129.667,,,,,,,,
19,131.300,131.967,132.433,132.867,133.433,133.900,134.533,135.267,135.767,136.200,136.667,137.233,,,,,,
20,138.767,139.333,139.767,140.233,140.667,141.233,141.600,142.133,142.633,143.167,143.733,,,,,,,
21,145.600,146.033,146.500,147.100,147.633,148.200,148.700,149.167,149.633,,,,,,,,,
22,150.767,151.167,151.633,152.133,152.700,153.133,153.800,154.600,155.533,156.367,156.867,,,,,,,
23,157.433,157.933,158.367,158.833,159.333,159.733,160.333,161.000,161.367,162.033,162.800,163.600,,,,,,
24,164.933,165.467,166.267,166.733,167.167,167.733,168.167,168.567,169.033,169.467,169.933,170.333,171.033,,,,,
25,171.833,172.400,172.833,173.333,173.767,174.233,174.667,175.133,175.567,,,,,,,,,
26,176.933,177.267,177.700,178.200,178.700,179.133,179.600,,,,,,,,,,,
