Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15
1,2.467,2.800,3.300,3.800,4.167,4.733,5.133,5.533,,,,,,,
2,6.167,6.533,6.900,7.333,7.933,8.300,9.033,,,,,,,,
3,9.500,9.967,10.533,11.267,11.667,12.067,12.367,12.900,13.600,,,,,,
4,15.433,15.967,16.467,17.067,17.533,18.000,18.533,18.967,,,,,,,
5,19.967,20.500,20.967,21.367,21.800,22.967,23.500,24.067,24.800,25.300,25.800,26.267,26.700,27.800,28.600
6,30.467,31.067,31.700,32.200,32.633,33.067,33.567,33.933,35.100,,,,,,
7,36.600,37.167,37.633,38.300,38.800,39.133,39.633,40.200,,,,,,,
8,41.533,41.933,42.400,42.900,43.500,,,,,,,,,,
9,44.467,44.833,45.300,45.700,46.200,46.733,,,,,,,,,
10,48.867,49.333,49.900,50.567,51.267,51.733,52.167,52.667,53.167,53.800,54.567,55.200,,,
11,56.367,57.200,58.100,58.767,59.500,59.933,60.433,60.967,61.500,62.033,62.633,63.533,64.567,,
12,66.500,67.467,68.467,69.000,69.567,70.033,70.567,71.100,71.667,72.167,72.633,73.433,74.033,74.667,
13,75.967,77.033,77.967,78.467,79.033,79.533,80.100,80.733,81.333,81.800,,,,,
14,82.833,83.567,84.067,84.600,85.133,85.567,86.067,86.867,,,,,,,
15,88.867,89.300,89.867,90.200,90.933,91.400,92.100,,,,,,,,
16,92.833,93.300,93.767,94.233,94.633,95.733,,,,,,,,,
17,97.433,98.000,98.367,98.933,99.400,99.833,,,,,,,,,
18,101.067,101.600,102.100,102.633,103.067,103.500,103.900,104.300,,,,,,,
19,105.367,105.933,106.833,107.267,107.767,108.267,108.833,109.367,109.867,110.367,110.900,111.967,,,
20,114.033,114.667,115.367,115.833,116.333,116.833,117.300,117.867,118.367,119.033,,,,,
21,120.100,120.733,121.300,121.833,122.400,122.867,123.300,123.833,124.333,125.067,,,,,
22,126.500,127.067,127.500,128.067,128.467,129.000,129.933,130.533,,,,,,,
23,133.067,133.467,133.900,134.367,134.900,135.800,136.433,137.033,,,,,,,
24,138.633,139.300,139.833,140.300,140.733,141.200,141.667,142.267,143.067,143.800,,,,,
25,145.500,145.967,146.400,146.767,147.333,148.133,149.400,,,,,,,,
26,151.133,151.500,151.867,152.300,152.700,153.133,153.700,,,,,,,,
27,154.933,155.333,155.733,156.167,156.600,157.533,158.367,159.233,,,,,,,
28,161.367,162.133,162.667,163.400,164.000,164.867,,,,,,,,,
29,166.233,166.667,167.033,167.367,168.233,,,,,,,,,,
30,169.700,170.067,170.500,171.000,171.467,172.033,173.500,,,,,,,,
31,174.800,175.400,176.000,176.500,177.000,,,,,,,,,,
32,178.067,178.500,178.833,179.200,179.767,,,,,,,,,,
