Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26
1,3.900,4.900,5.333,5.833,6.400,6.967,7.500,8.100,8.600,9.267,9.833,10.500,11.067,11.600,12.167,12.733,13.267,13.733,14.233,,,,,,,
2,15.233,16.167,17.000,17.700,18.400,18.900,19.400,19.967,20.600,21.200,21.967,22.500,22.933,23.767,24.567,,,,,,,,,,,
3,27.100,27.967,28.633,29.367,29.967,30.567,31.133,31.733,32.367,33.100,33.867,34.200,34.800,35.367,36.267,,,,,,,,,,,
4,38.833,39.533,40.000,40.567,41.133,41.667,42.467,42.900,43.367,43.967,44.667,45.333,45.833,46.467,47.300,48.167,48.633,49.933,,,,,,,,
5,51.000,51.600,52.067,52.633,53.400,53.967,54.667,55.133,55.633,56.500,57.000,57.600,58.067,58.633,59.233,59.700,,,,,,,,,,
6,60.867,61.400,61.833,62.400,62.933,63.600,64.100,64.767,65.467,66.333,,,,,,,,,,,,,,,,
7,71.033,72.333,72.800,73.233,73.867,74.267,74.733,75.467,76.100,76.700,77.233,77.833,78.400,79.167,79.700,80.100,80.600,81.333,82.333,,,,,,,
8,84.667,86.000,86.500,86.967,87.867,88.400,88.933,89.600,90.067,90.867,91.533,92.167,92.733,93.233,93.767,94.767,95.300,95.933,96.600,97.400,98.100,98.567,99.100,99.600,100.400,101.833
9,103.867,104.433,104.900,105.433,106.033,106.700,107.433,107.833,108.333,109.100,109.567,110.133,110.600,111.267,111.967,112.367,113.067,114.000,114.533,115.200,115.967,116.433,117.200,120.233,,
10,122.900,124.400,125.167,125.600,126.400,127.033,127.667,128.267,128.800,129.500,130.133,130.733,131.400,131.967,132.667,133.267,134.000,134.600,135.100,135.667,136.333,137.267,137.967,,,
11,141.500,142.400,142.933,143.633,144.300,145.167,145.867,146.500,146.967,147.700,148.367,149.033,149.433,150.233,151.067,151.567,152.167,152.933,153.500,154.267,155.267,156.200,,,,
12,159.167,159.733,160.500,161.433,161.867,162.333,162.933,163.433,163.933,164.533,165.233,165.867,166.467,167.000,167.567,167.933,168.433,169.033,169.900,170.667,171.433,171.967,173.233,,,
13,174.500,175.100,175.667,176.300,176.800,177.333,177.933,178.600,179.300,179.900,,,,,,,,,,,,,,,,
