Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19
1,3.800,4.300,4.900,5.300,5.767,6.233,6.700,7.133,7.667,8.200,8.633,9.133,9.567,10.400,10.867,,,,
2,11.833,12.367,12.933,13.433,13.867,14.367,14.900,15.367,15.800,16.333,16.833,17.467,,,,,,,
3,18.967,19.633,20.133,20.600,21.067,21.533,22.000,22.433,23.033,23.433,23.933,24.400,24.800,25.333,25.733,26.233,26.733,,
4,27.700,28.267,28.833,29.333,29.800,30.400,30.867,31.367,31.867,32.400,32.900,33.267,33.767,34.267,,,,,
5,36.200,36.533,36.933,37.567,38.067,38.533,39.033,39.533,39.933,40.367,41.067,,,,,,,,
6,42.333,43.000,43.533,44.300,45.033,45.400,45.900,46.333,46.800,47.267,47.733,48.233,48.667,49.233,49.700,50.133,,,
7,51.433,52.033,52.833,53.200,53.600,54.100,54.600,55.067,55.533,56.067,56.567,56.967,57.367,58.000,58.433,58.867,59.367,59.767,60.267
8,61.900,62.667,63.167,63.667,64.167,64.733,65.200,65.700,66.067,66.600,67.067,67.433,68.133,,,,,,
9,69.067,69.800,70.367,70.900,71.400,71.933,72.367,72.833,73.767,74.267,74.700,75.200,75.800,76.467,77.033,,,,
10,78.067,78.633,79.100,79.567,80.033,80.567,81.200,81.533,81.900,82.533,83.100,83.533,,,,,,,
11,84.767,85.400,85.900,86.633,87.067,87.500,88.033,88.533,89.000,89.500,89.967,90.500,,,,,,,
12,91.600,92.467,93.000,93.567,94.167,94.600,95.200,95.700,96.167,96.700,97.167,97.667,98.100,98.667,99.200,99.900,100.300,,
13,101.000,101.600,102.100,102.600,103.067,103.633,104.133,104.667,105.167,105.600,106.100,106.600,107.100,107.600,108.033,108.533,109.067,109.600,
14,110.467,111.000,111.567,112.133,112.600,113.233,113.667,114.233,114.800,115.400,115.833,116.300,,,,,,,
15,116.533,116.967,117.400,117.900,118.300,118.700,119.267,119.833,120.600,121.033,122.067,,,,,,,,
16,122.767,123.400,124.067,124.533,125.067,125.533,125.967,126.533,127.033,127.500,127.967,128.500,129.033,129.500,,,,,
17,130.033,130.600,131.133,131.600,132.167,132.867,133.267,133.800,134.300,134.867,135.400,,,,,,,,
18,137.133,137.800,138.300,138.700,139.200,139.700,140.200,140.700,141.133,141.533,142.067,142.567,143.133,143.667,144.233,144.733,145.200,145.733,
19,146.533,147.167,147.733,148.200,148.700,149.200,149.667,150.267,150.767,151.333,151.800,152.267,152.800,153.233,,,,,
20,154.500,155.667,156.033,156.700,157.333,157.900,158.367,158.833,159.233,159.833,160.233,160.767,,,,,,,
21,161.833,162.367,162.800,163.200,163.767,164.200,164.767,165.333,165.867,166.300,166.867,167.267,,,,,,,
22,168.300,168.767,169.500,170.000,170.533,171.167,171.633,172.233,172.733,173.200,,,,,,,,,
23,174.067,174.833,175.300,175.833,176.433,176.900,177.300,177.767,178.267,178.867,179.400,,,,,,,,
