Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16
1,4.100,5.367,6.033,6.667,7.367,8.000,8.833,9.800,10.633,11.367,,,,,,
2,12.967,13.667,14.300,15.033,15.900,16.567,17.167,17.733,18.533,,,,,,,
3,20.233,21.000,21.733,22.367,23.167,23.833,24.367,25.033,25.667,26.800,27.267,27.967,,,,
4,29.400,30.033,30.667,31.333,31.933,32.433,33.200,33.733,34.233,34.967,,,,,,
5,36.867,37.667,38.467,39.267,39.967,40.700,41.300,42.033,42.700,43.300,44.233,44.767,45.867,,,
6,47.900,49.033,49.767,50.467,51.200,51.833,52.700,53.200,53.900,54.567,55.333,56.300,,,,
7,58.000,58.767,59.500,60.333,61.133,61.833,62.467,63.333,63.933,64.700,65.467,67.600,,,,
8,70.100,70.933,71.700,72.433,73.133,73.933,74.600,75.300,75.900,76.900,77.500,78.233,78.867,79.733,80.633,
9,82.400,83.533,84.233,85.067,85.800,86.467,87.167,87.767,88.700,89.300,90.067,90.933,91.533,92.567,93.367,93.767
10,97.233,99.400,100.200,101.167,101.900,102.700,103.400,104.200,104.700,105.500,106.200,107.067,107.767,108.767,109.367,
11,113.233,114.067,114.767,115.367,116.533,117.333,118.033,118.767,119.467,120.267,120.900,121.667,122.500,123.267,,
12,124.500,125.400,126.300,127.167,128.067,128.733,129.600,130.300,,,,,,,,
13,133.033,133.967,134.900,135.733,136.500,137.267,138.133,138.867,139.833,140.400,141.500,142.033,144.667,,,
14,146.300,147.333,148.033,148.767,149.533,150.633,151.400,152.400,153.200,153.833,,,,,,
15,156.000,157.167,157.633,158.667,159.467,160.267,161.500,162.167,163.033,163.733,164.467,165.167,166.533,167.133,167.933,
16,169.767,170.933,171.867,172.800,173.500,174.367,175.067,176.000,176.833,177.533,178.400,179.100,179.933,,,
