Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17
1,3.200,4.000,4.567,5.067,5.467,6.000,6.467,7.067,7.600,8.100,8.767,,,,,,
2,10.100,10.700,11.200,11.700,12.200,12.667,13.267,13.767,14.300,14.933,15.667,,,,,,
3,17.367,17.933,18.367,18.867,19.433,19.833,20.333,20.867,21.433,22.067,,,,,,,
4,23.433,24.000,24.600,25.167,25.633,26.200,26.833,27.433,27.900,28.567,29.100,,,,,,
5,30.400,30.933,31.433,31.967,32.467,33.067,33.500,34.300,,,,,,,,,
6,35.433,35.933,36.400,36.833,37.433,38.000,38.567,,,,,,,,,,
7,41.367,42.033,42.567,43.133,43.667,44.200,44.667,45.167,45.600,46.167,46.667,47.100,47.600,,,,
8,48.967,49.433,49.933,50.333,50.967,51.533,52.067,52.667,53.233,,,,,,,,
9,55.600,56.267,56.867,57.433,57.967,58.500,59.133,59.667,60.200,60.767,61.400,,,,,,
10,63.367,64.133,64.800,66.333,66.933,67.400,67.833,68.500,69.067,69.600,70.167,71.400,,,,,
11,72.633,73.267,73.700,74.333,74.733,75.300,75.867,76.500,77.067,77.700,78.300,,,,,,
12,80.867,81.367,81.833,82.333,82.867,83.400,84.233,85.200,85.767,,,,,,,,
13,88.133,88.767,89.833,90.267,91.167,91.733,92.367,92.833,93.300,93.867,94.600,95.200,,,,,
14,97.367,97.933,98.533,98.967,99.367,99.933,100.433,101.000,101.500,102.067,102.667,103.733,,,,,
15,105.867,106.367,106.800,107.300,107.833,108.500,108.933,109.500,110.067,110.667,111.333,111.967,112.833,,,,
16,113.933,114.567,115.167,115.600,116.167,116.767,117.300,117.933,118.500,119.167,119.733,,,,,,
17,122.433,122.900,123.367,123.833,124.367,124.767,125.233,125.833,126.333,126.833,127.400,128.033,128.633,129.200,130.067,,
18,132.033,132.700,133.200,133.867,134.733,135.400,136.000,136.667,137.367,137.867,138.467,139.033,139.667,140.233,140.833,141.333,141.967
19,144.533,145.300,145.967,146.567,147.167,147.767,148.433,149.100,149.733,150.533,151.033,152.000,,,,,
20,153.633,154.133,154.700,155.267,155.833,156.333,156.800,157.367,157.933,158.567,159.267,160.033,,,,,
21,162.500,163.000,163.533,163.933,164.433,165.067,165.733,166.300,166.867,168.000,,,,,,,
22,169.800,170.300,170.767,171.400,171.967,172.567,173.100,173.633,174.200,174.800,175.500,,,,,,
23,177.433,177.933,178.533,179.033,179.667,,,,,,,,,,,,
