Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19
1,3.133,4.133,4.567,4.967,5.367,5.833,6.433,7.100,7.500,8.167,8.767,9.333,10.067,,,,,,
2,11.233,11.867,12.367,12.867,13.300,13.800,14.367,14.900,15.567,16.300,16.867,17.467,18.233,,,,,,
3,19.633,20.233,21.067,21.833,22.567,23.200,23.700,24.233,24.833,25.567,26.100,,,,,,,,
4,27.133,27.900,28.567,29.267,29.867,30.500,31.100,31.667,32.267,32.800,33.400,34.133,34.733,,,,,,
5,36.233,36.733,37.367,37.867,38.567,39.067,39.467,40.200,40.700,41.267,41.967,42.500,43.300,43.967,44.700,,,,
6,47.133,47.733,48.333,48.933,49.533,50.000,50.567,51.100,51.767,52.400,53.033,53.767,54.333,55.100,55.733,56.467,57.233,57.933,58.533
7,59.333,59.967,60.467,60.967,61.467,62.000,62.733,63.267,63.867,64.300,64.867,65.567,66.333,,,,,,
8,67.533,68.333,69.100,69.600,70.133,70.767,71.500,72.000,72.667,73.200,73.900,74.933,75.900,,,,,,
9,77.400,78.133,78.933,79.467,80.000,80.433,81.100,81.700,82.300,82.933,83.600,84.633,85.367,85.967,86.667,,,,
10,88.000,88.533,89.200,89.667,90.367,90.867,91.467,92.200,92.933,93.500,94.267,94.900,95.567,,,,,,
11,97.100,97.767,98.300,98.733,99.333,99.833,100.533,101.133,101.700,102.533,103.133,103.700,104.167,,,,,,
12,105.533,106.200,106.733,107.267,107.900,108.467,109.033,109.633,110.133,110.700,111.367,112.000,112.633,113.300,,,,,
13,115.100,115.700,116.400,117.067,117.667,118.267,118.933,119.467,120.033,120.667,121.500,122.333,,,,,,,
14,124.033,124.733,125.533,126.100,126.567,127.033,127.533,128.200,128.867,129.767,130.533,131.233,131.867,132.567,,,,,
15,133.967,134.533,135.000,135.400,135.867,136.567,137.067,137.600,138.633,139.600,140.033,140.767,141.467,,,,,,
16,142.633,143.700,144.267,145.000,145.500,145.967,146.533,147.100,147.700,148.300,148.967,149.867,150.667,,,,,,
17,151.400,152.067,152.567,153.033,153.667,154.200,154.667,155.267,156.233,157.233,158.000,158.967,,,,,,,
18,160.500,161.067,161.600,162.333,162.833,163.467,164.333,164.800,165.367,166.067,166.900,167.500,168.467,,,,,,
19,169.800,170.033,170.733,171.367,171.867,172.300,173.433,174.133,175.200,,,,,,,,,,
20,176.400,177.000,177.367,177.767,178.500,179.267,179.833,,,,,,,,,,,,
