Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25,Chew_26,Chew_27,Chew_28,Chew_29,Chew_30,Chew_31,Chew_32
1,5.400,6.800,7.533,8.000,8.600,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9.967,11.300,11.933,12.600,13.067,13.533,14.000,14.633,15.200,15.800,16.467,17.633,18.433,19.167,,,,,,,,,,,,,,,,,,
3,20.533,21.233,22.033,22.567,23.200,23.867,24.733,25.267,26.000,26.733,27.433,28.067,29.133,30.467,31.533,,,,,,,,,,,,,,,,,
4,32.833,33.633,34.233,34.900,35.300,35.967,36.567,37.100,37.500,38.400,39.467,40.333,41.300,41.933,42.533,43.267,44.000,44.800,45.333,46.567,47.800,,,,,,,,,,,
5,48.900,49.733,50.467,51.167,51.967,52.667,53.133,53.967,54.767,55.800,57.567,59.833,60.733,63.000,63.700,65.133,,,,,,,,,,,,,,,,
6,72.167,73.100,73.800,74.400,74.900,75.633,76.500,78.733,79.533,80.133,81.233,83.367,88.267,90.500,91.267,,,,,,,,,,,,,,,,,
7,97.067,98.167,99.067,99.667,100.433,101.033,101.533,102.233,102.733,103.367,104.367,105.033,105.800,106.600,107.233,107.900,109.200,110.000,110.467,,,,,,,,,,,,,
8,113.133,113.833,114.467,115.167,115.600,116.233,116.800,117.400,118.100,118.733,119.333,120.133,120.867,122.367,123.433,124.300,125.333,126.067,127.300,127.967,130.233,131.567,132.467,133.700,134.767,135.833,137.633,,,,,
9,140.733,141.600,143.067,143.933,144.433,145.233,145.967,146.633,147.133,147.667,148.400,149.000,149.767,150.333,151.367,152.267,153.133,153.767,154.433,154.900,157.533,158.967,160.367,163.133,163.833,164.733,166.633,167.933,168.867,171.067,172.367,173.033
10,175.333,175.933,176.700,177.967,179.567,,,,,,,,,,,,,,,,,,,,,,,,,,,
